time,Donor,PlasmidFreeDonor,Recipient,Transconjugant,Total,SIM
0.0,100000.0,0.0,100000.0,0.0,200000.0,nan
1.0,100027.78163932032,0.0,100027.78163929253,2.7789380344357288e-08,200055.56327864065,9.99861200254308e-15
2.0,100055.57100173074,0.0,100055.57100167514,5.5601965949685826e-08,200111.1420034615,9.99922115241666e-15
3.0,100083.36808723897,0.0,100083.36808715553,8.34377568392223e-08,200166.73617447793,9.999829875772022e-15
4.0,100111.17289584501,0.0,100111.1728957337,1.1129675301296672e-07,200222.34579169,1.0000438172792157e-14
5.0,100138.98542754886,0.0,100138.98542740969,1.3917895447091913e-07,200277.97085509772,1.0000247238067636e-14
6.0,100166.80568235053,0.0,100166.80568218345,1.670843612130795e-07,200333.61136470106,1.0000322330848818e-14
7.0,100194.6336615595,0.0,100194.63366136448,1.9501298243287414e-07,200389.267323119,9.999978839979112e-15
8.0,100222.46937568444,0.0,100222.46937546146,2.229648919080284e-07,200444.93875136887,9.999872827752534e-15
9.0,100250.31282700834,0.0,100250.31282675738,2.509401056668633e-07,200500.62565401665,9.999924992592464e-15
10.0,100278.16401553122,0.0,100278.16401525226,2.789386237093786e-07,200556.3280310624,1.0000087753699145e-14
11.0,100306.02294125309,0.0,100306.0229409461,3.069604460355745e-07,200612.04588250615,9.999968041557951e-15
12.0,100333.88960417394,0.0,100333.8896038389,3.35005572645451e-07,200667.77920834787,9.999969018935581e-15
13.0,100361.76400429376,0.0,100361.76400393067,3.6307400353900793e-07,200723.5280085875,1.0000062736346626e-14
14.0,100389.6460803779,0.0,100389.64607998673,3.9116530791038074e-07,200779.29216075578,9.999944301807445e-15
15.0,100417.53600337225,0.0,100417.53600295295,4.1928068841979656e-07,200835.07200674448,9.999922062586e-15
16.0,100445.4336675752,0.0,100445.43366712777,4.474194014220012e-07,200890.8673351504,9.999977906758817e-15
17.0,100473.33907513796,0.0,100473.33907466236,4.755814620512874e-07,200946.67815027593,1.0000097979939922e-14
18.0,100501.2522282117,0.0,100501.25222770793,5.03766885441948e-07,201002.50445642337,1.0000050016556157e-14
19.0,100529.17312894762,0.0,100529.17312841563,5.319756867282758e-07,201058.34625789523,1.0000070372577969e-14
20.0,100557.1017796562,0.0,100557.10177909599,5.602078821855188e-07,201114.20355931242,9.999949450858534e-15
21.0,100585.03818513428,0.0,100585.03818454582,5.884635058957836e-07,201170.07637026857,1.000008699106782e-14
22.0,100612.98234870008,0.0,100612.98234808333,6.167425813513977e-07,201225.96469740014,1.0000085378277532e-14
23.0,100640.93427280274,0.0,100640.9342721577,6.450451258206969e-07,201281.8685456055,9.99996277975965e-15
24.0,100668.89395989144,0.0,100668.89395921807,6.73371156572017e-07,201337.7879197829,1.0000066292821455e-14
25.0,100696.86141241534,0.0,100696.86141171362,7.017206908736941e-07,201393.72282483068,1.0000050031381154e-14
26.0,100724.83663282357,0.0,100724.83663209347,7.300937459940643e-07,201449.67326564714,1.0000080999255645e-14
27.0,100752.8196235653,0.0,100752.81962280681,7.584903392014636e-07,201505.6392471306,1.0000006426278936e-14
28.0,100780.8103870897,0.0,100780.8103863028,7.869104877642279e-07,201561.6207741794,9.999979822839308e-15
29.0,100808.80892584592,0.0,100808.80892503056,8.153542089506932e-07,201617.61785169182,9.999996182688958e-15
30.0,100836.81524228312,0.0,100836.8152414393,8.438215200291956e-07,201673.63048456624,1.0000051167087565e-14
31.0,100864.82933885045,0.0,100864.82933797814,8.72312438268071e-07,201729.6586777009,1.0000012622330548e-14
32.0,100892.85121799709,0.0,100892.85121709625,9.008269809356555e-07,201785.70243599417,1.0000013674722442e-14
33.0,100920.88088217218,0.0,100920.8808812428,9.293651653002849e-07,201841.76176434435,1.0000050685985109e-14
34.0,100948.91833382487,0.0,100948.91833286693,9.579270086302955e-07,201897.83666764974,1.0000003447092515e-14
35.0,100976.96357540434,0.0,100976.96357441782,9.86512528194023e-07,201953.92715080868,9.999992830750853e-15
36.0,101005.01660935974,0.0,101005.01660834461,1.0151217412598037e-06,202010.03321871944,1.0000015749772078e-14
37.0,101033.07743814022,0.0,101033.07743709646,1.0437546650959731e-06,202066.15487628043,1.000006945072454e-14
38.0,101061.14606419494,0.0,101061.14606312253,1.0724113169708677e-06,202122.29212838988,1.0000046845130263e-14
39.0,101089.22248997308,0.0,101089.22248887198,1.1010917141528233e-06,202178.44497994616,1.0000055740714657e-14
