time,Donor,PlasmidFreeDonor,Recipient,Transconjugant
0.0,100000.0,0.0,100000.0,0.0
1.0,100033.0,0.0,100034.0,0.0
2.0,100060.0,0.0,100066.0,0.0
3.0,100088.0,0.0,100088.0,0.0
4.0,100116.0,0.0,100120.0,0.0
5.0,100140.0,0.0,100147.0,0.0
6.0,100159.0,0.0,100188.0,0.0
7.0,100186.0,0.0,100217.0,0.0
8.0,100221.0,0.0,100247.0,0.0
9.0,100241.0,0.0,100276.0,0.0
10.0,100262.0,0.0,100307.0,0.0
11.0,100297.0,0.0,100343.0,0.0
12.0,100322.0,0.0,100367.0,0.0
13.0,100343.0,0.0,100391.0,0.0
14.0,100368.0,0.0,100423.0,0.0
15.0,100387.0,0.0,100447.0,0.0
16.0,100422.0,0.0,100473.0,0.0
17.0,100444.0,0.0,100504.0,0.0
18.0,100474.0,0.0,100532.0,0.0
19.0,100487.0,0.0,100556.0,0.0
20.0,100519.0,0.0,100589.0,0.0
21.0,100545.0,0.0,100611.0,0.0
22.0,100576.0,0.0,100639.0,0.0
23.0,100605.0,0.0,100675.0,0.0
24.0,100641.0,0.0,100714.0,0.0
25.0,100672.0,0.0,100743.0,0.0
26.0,100693.0,0.0,100765.0,0.0
27.0,100727.0,0.0,100787.0,0.0
28.0,100751.0,0.0,100814.0,0.0
29.0,100779.0,0.0,100848.0,0.0
30.0,100811.0,0.0,100874.0,0.0
31.0,100838.0,0.0,100894.0,0.0
32.0,100867.0,0.0,100919.0,0.0
33.0,100900.0,0.0,100948.0,0.0
34.0,100925.0,0.0,100978.0,0.0
35.0,100951.0,0.0,101003.0,0.0
36.0,100979.0,0.0,101028.0,0.0
37.0,101004.0,0.0,101053.0,0.0
38.0,101031.0,0.0,101073.0,0.0
39.0,101058.0,0.0,101103.0,0.0
40.0,101085.0,0.0,101135.0,0.0
41.0,101112.0,0.0,101164.0,0.0
42.0,101129.0,0.0,101196.0,0.0
43.0,101170.0,0.0,101227.0,0.0
44.0,101202.0,0.0,101258.0,0.0
45.0,101233.0,0.0,101289.0,0.0
46.0,101263.0,0.0,101313.0,0.0
47.0,101295.0,0.0,101335.0,0.0
48.0,101315.0,0.0,101370.0,0.0
49.0,101349.0,0.0,101390.0,0.0
50.0,101379.0,0.0,101417.0,0.0
51.0,101405.0,0.0,101457.0,0.0
52.0,101436.0,0.0,101477.0,0.0
53.0,101461.0,0.0,101498.0,0.0
54.0,101481.0,0.0,101530.0,0.0
55.0,101499.0,0.0,101566.0,0.0
56.0,101533.0,0.0,101599.0,0.0
57.0,101562.0,0.0,101623.0,0.0
58.0,101594.0,0.0,101643.0,0.0
59.0,101618.0,0.0,101668.0,0.0
60.0,101642.0,0.0,101691.0,0.0
61.0,101670.0,0.0,101716.0,0.0
62.0,101698.0,0.0,101743.0,0.0
63.0,101720.0,0.0,101776.0,0.0
64.0,101746.0,0.0,101804.0,0.0
65.0,101770.0,0.0,101837.0,0.0
66.0,101797.0,0.0,101869.0,0.0
67.0,101816.0,0.0,101889.0,0.0
68.0,101840.0,0.0,101911.0,0.0
69.0,101874.0,0.0,101936.0,0.0
70.0,101898.0,0.0,101960.0,0.0
71.0,101927.0,0.0,101986.0,0.0
72.0,101947.0,0.0,102018.0,0.0
73.0,101968.0,0.0,102048.0,0.0
74.0,102005.0,0.0,102069.0,0.0
75.0,102032.0,0.0,102096.0,0.0
76.0,102068.0,0.0,102122.0,0.0
77.0,102107.0,0.0,102157.0,0.0
78.0,102145.0,0.0,102185.0,0.0
79.0,102174.0,0.0,102208.0,0.0
80.0,102209.0,0.0,102238.0,0.0
81.0,102251.0,0.0,102270.0,0.0
82.0,102288.0,0.0,102291.0,0.0
83.0,102314.0,0.0,102322.0,0.0
84.0,102351.0,0.0,102348.0,0.0
85.0,102383.0,0.0,102379.0,0.0
86.0,102421.0,0.0,102397.0,0.0
87.0,102459.0,0.0,102427.0,0.0
88.0,102488.0,0.0,102456.0,0.0
89.0,102512.0,0.0,102481.0,0.0
90.0,102542.0,0.0,102507.0,0.0
91.0,102565.0,0.0,102530.0,0.0
92.0,102592.0,0.0,102562.0,0.0
93.0,102622.0,0.0,102585.0,0.0
94.0,102647.0,0.0,102614.0,0.0
95.0,102684.0,0.0,102642.0,0.0
96.0,102709.0,0.0,102666.0,0.0
97.0,102737.0,0.0,102688.0,0.0
98.0,102765.0,0.0,102716.0,0.0
99.0,102804.0,0.0,102745.0,0.0
100.0,102830.0,0.0,102777.0,0.0
101.0,102858.0,0.0,102810.0,0.0
102.0,102887.0,0.0,102829.0,0.0
103.0,102919.0,0.0,102850.0,0.0
104.0,102940.0,0.0,102878.0,0.0
105.0,102972.0,0.0,102903.0,0.0
106.0,102999.0,0.0,102919.0,0.0
107.0,103038.0,0.0,102945.0,0.0
108.0,103069.0,0.0,102975.0,0.0
109.0,103103.0,0.0,103002.0,0.0
110.0,103129.0,0.0,103026.0,0.0
111.0,103164.0,0.0,103062.0,0.0
112.0,103191.0,0.0,103091.0,0.0
113.0,103228.0,0.0,103117.0,0.0
114.0,103249.0,0.0,103151.0,0.0
115.0,103277.0,0.0,103189.0,0.0
116.0,103306.0,0.0,103217.0,0.0
117.0,103335.0,0.0,103242.0,0.0
118.0,103359.0,0.0,103265.0,0.0
119.0,103377.0,0.0,103290.0,0.0
120.0,103400.0,0.0,103317.0,0.0
121.0,103434.0,0.0,103344.0,0.0
122.0,103462.0,0.0,103369.0,0.0
123.0,103499.0,0.0,103398.0,0.0
124.0,103533.0,0.0,103422.0,0.0
125.0,103558.0,0.0,103448.0,0.0
126.0,103590.0,0.0,103474.0,0.0
127.0,103616.0,0.0,103490.0,0.0
128.0,103635.0,0.0,103514.0,0.0
129.0,103670.0,0.0,103545.0,0.0
130.0,103699.0,0.0,103575.0,0.0
131.0,103724.0,0.0,103605.0,0.0
132.0,103752.0,0.0,103630.0,0.0
133.0,103773.0,0.0,103657.0,0.0
134.0,103803.0,0.0,103687.0,0.0
135.0,103823.0,0.0,103725.0,0.0
136.0,103852.0,0.0,103761.0,0.0
137.0,103887.0,0.0,103790.0,0.0
138.0,103925.0,0.0,103827.0,0.0
139.0,103963.0,0.0,103861.0,0.0
140.0,103989.0,0.0,103902.0,0.0
141.0,104013.0,0.0,103928.0,0.0
142.0,104043.0,0.0,103958.0,0.0
143.0,104082.0,0.0,104000.0,0.0
144.0,104112.0,0.0,104034.0,0.0
145.0,104148.0,0.0,104070.0,0.0
146.0,104183.0,0.0,104107.0,0.0
147.0,104207.0,0.0,104135.0,0.0
148.0,104223.0,0.0,104151.0,0.0
149.0,104257.0,0.0,104179.0,0.0
150.0,104274.0,0.0,104199.0,0.0
151.0,104302.0,0.0,104223.0,0.0
152.0,104327.0,0.0,104248.0,0.0
153.0,104362.0,0.0,104276.0,0.0
154.0,104405.0,0.0,104306.0,0.0
155.0,104425.0,0.0,104340.0,0.0
156.0,104450.0,0.0,104365.0,0.0
157.0,104478.0,0.0,104387.0,0.0
158.0,104512.0,0.0,104429.0,0.0
159.0,104541.0,0.0,104460.0,0.0
160.0,104567.0,0.0,104487.0,0.0
161.0,104592.0,0.0,104520.0,0.0
162.0,104613.0,0.0,104561.0,0.0
163.0,104634.0,0.0,104581.0,0.0
164.0,104667.0,0.0,104612.0,0.0
165.0,104698.0,0.0,104638.0,0.0
166.0,104728.0,0.0,104669.0,0.0
167.0,104765.0,0.0,104700.0,0.0
168.0,104796.0,0.0,104731.0,0.0
169.0,104821.0,0.0,104756.0,0.0
170.0,104845.0,0.0,104782.0,0.0
171.0,104873.0,0.0,104811.0,0.0
172.0,104901.0,0.0,104838.0,0.0
173.0,104930.0,0.0,104863.0,0.0
174.0,104961.0,0.0,104896.0,0.0
175.0,104980.0,0.0,104925.0,0.0
176.0,105007.0,0.0,104954.0,0.0
177.0,105035.0,0.0,104986.0,0.0
178.0,105060.0,0.0,105015.0,0.0
179.0,105083.0,0.0,105045.0,0.0
180.0,105112.0,0.0,105081.0,0.0
181.0,105144.0,0.0,105116.0,0.0
182.0,105170.0,0.0,105142.0,0.0
183.0,105204.0,0.0,105172.0,0.0
184.0,105232.0,0.0,105192.0,0.0
185.0,105262.0,0.0,105224.0,0.0
186.0,105311.0,0.0,105251.0,0.0
187.0,105336.0,0.0,105287.0,0.0
188.0,105365.0,0.0,105316.0,0.0
189.0,105397.0,0.0,105338.0,0.0
190.0,105423.0,0.0,105368.0,0.0
191.0,105452.0,0.0,105385.0,0.0
192.0,105471.0,0.0,105422.0,0.0
193.0,105502.0,0.0,105444.0,0.0
194.0,105533.0,0.0,105476.0,0.0
195.0,105560.0,0.0,105502.0,0.0
196.0,105592.0,0.0,105537.0,0.0
197.0,105626.0,0.0,105572.0,0.0
198.0,105661.0,0.0,105608.0,0.0
199.0,105701.0,0.0,105639.0,0.0
200.0,105722.0,0.0,105663.0,0.0
201.0,105753.0,0.0,105688.0,0.0
202.0,105774.0,0.0,105712.0,0.0
203.0,105802.0,0.0,105747.0,0.0
204.0,105838.0,0.0,105776.0,0.0
205.0,105872.0,0.0,105800.0,0.0
206.0,105901.0,0.0,105825.0,0.0
207.0,105921.0,0.0,105848.0,0.0
208.0,105944.0,0.0,105878.0,0.0
209.0,105973.0,0.0,105904.0,0.0
210.0,106005.0,0.0,105931.0,0.0
211.0,106039.0,0.0,105964.0,0.0
212.0,106064.0,0.0,105991.0,0.0
213.0,106084.0,0.0,106014.0,0.0
214.0,106116.0,0.0,106049.0,0.0
215.0,106145.0,0.0,106078.0,0.0
216.0,106167.0,0.0,106100.0,0.0
217.0,106211.0,0.0,106124.0,0.0
218.0,106235.0,0.0,106152.0,0.0
219.0,106262.0,0.0,106176.0,0.0
220.0,106301.0,0.0,106208.0,0.0
221.0,106321.0,0.0,106231.0,0.0
222.0,106351.0,0.0,106269.0,0.0
223.0,106388.0,0.0,106296.0,0.0
224.0,106418.0,0.0,106325.0,0.0
225.0,106456.0,0.0,106350.0,0.0
226.0,106484.0,0.0,106380.0,0.0
227.0,106515.0,0.0,106409.0,0.0
228.0,106549.0,0.0,106448.0,0.0
229.0,106582.0,0.0,106469.0,0.0
230.0,106609.0,0.0,106494.0,0.0
231.0,106646.0,0.0,106525.0,0.0
232.0,106672.0,0.0,106554.0,0.0
233.0,106705.0,0.0,106578.0,0.0
234.0,106740.0,0.0,106612.0,0.0
235.0,106768.0,0.0,106637.0,0.0
236.0,106790.0,0.0,106668.0,0.0
237.0,106818.0,0.0,106703.0,0.0
238.0,106845.0,0.0,106723.0,0.0
239.0,106881.0,0.0,106756.0,0.0
240.0,106907.0,0.0,106782.0,0.0
241.0,106934.0,0.0,106807.0,0.0
242.0,106962.0,0.0,106837.0,0.0
243.0,106994.0,0.0,106848.0,0.0
244.0,107026.0,0.0,106886.0,0.0
245.0,107060.0,0.0,106926.0,0.0
246.0,107088.0,0.0,106955.0,0.0
