,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,4.585833333333333,6.403888888888889,6.403888888888889,6.403888888888889,n/a,n/a
1,E0_I1,1.0831017082062049e-14,6.757303149845147e-15,6.752482923959614e-15,1.2244522117908925e-15,0.04,4
2,E1_I1,1.0042263119295139e-14,1.6829609213555321e-15,1.682378061509291e-15,3.0484685789295576e-16,0.05,1
3,E2_I1,1.0746643717316548e-14,5.0284125714425634e-15,5.028668783077544e-15,9.104728863175725e-16,0.04,3
4,E3_I1,1.3093265000749426e-14,6.721243750365776e-15,6.719960693505849e-15,1.2172827377337e-15,0.02,4
5,E4_I1,inf,1.509696676566011e-14,1.5096602112850777e-14,2.733751871430932e-15,0.0,9
6,E5_I1,1.0666952245193836e-14,1.1645753912197748e-14,1.1654822735740387e-14,2.107115143184097e-15,0.04,7
7,E6_I1,1.5427537333693482e-14,1.345504676719295e-14,1.345124394983495e-14,2.437060226162107e-15,0.01,8
8,E7_I1,9.369656621531238e-15,3.3439432834926338e-15,3.3449266086049262e-15,6.053267994411916e-16,0.06,2
9,E8_I1,1.079071244265325e-14,1.6830245564326737e-14,1.6824386667001097e-14,3.048602148246895e-15,0.04,10
10,E9_I1,1.0093269932215684e-14,5.074580695160983e-15,5.070311743967531e-15,9.196517482142117e-16,0.05,3
11,E10_I1,1.173874014888444e-14,5.0420300407736095e-15,5.040956375878748e-15,9.131792530944589e-16,0.03,3
12,E11_I1,1.06639091279819e-14,1.3305628579979163e-14,1.331635953636968e-14,2.4073759748483407e-15,0.04,8
13,E12_I1,1.1690609029923224e-14,1.0042612594718116e-14,1.0044515613414299e-14,1.8181230706194813e-15,0.03,6
14,E13_I1,8.848602032527229e-15,1.169363008994935e-14,1.1698061394358826e-14,2.1166235211973317e-15,0.07,7
15,E14_I1,1.3135375505263451e-14,1.0114376749982538e-14,1.0109256493060435e-14,1.8323850379714145e-15,0.02,6
16,E15_I1,8.437103484524339e-15,3.3541160850472016e-15,3.354108422810263e-15,6.073480157532922e-16,0.08,2
17,E16_I1,1.533247980477128e-14,2.0058041859318608e-14,2.0064384325691194e-14,3.630821981106603e-15,0.01,12
18,E17_I1,9.40719876405351e-15,1.3429513768745282e-14,1.3428188250601876e-14,2.4319808356144548e-15,0.06,8
19,E18_I1,1.0818594619776814e-14,1.0124300211969111e-14,1.0118218314266169e-14,1.8343611339928793e-15,0.04,6
20,E19_I1,1.0694515694963736e-14,2.6687796957288032e-14,2.6701861819475305e-14,4.8299535553885555e-15,0.04,16
21,E20_I1,9.988468660275528e-15,1.6739241351432192e-14,1.674224682059492e-14,3.030510515432523e-15,0.05,10
22,E21_I1,8.071433780028815e-15,1.3462896949413469e-14,1.345833550408527e-14,2.4386230170490394e-15,0.09,8
23,E22_I1,9.984517633430429e-15,2.8445397735665676e-14,2.845163568165572e-14,5.149626354027214e-15,0.05,17
24,E23_I1,1.0790084305203302e-14,1.1780488375978065e-14,1.1776450646212874e-14,2.1338848561350476e-15,0.04,7
25,E24_I1,7.0962864478460435e-15,8.40145325188506e-15,8.399858774217696e-15,1.5215831332225536e-15,0.12,5
26,E25_I1,1.0702445521943038e-14,3.338454878352977e-15,3.339971493071477e-15,6.042366131995577e-16,0.04,2
27,E26_I1,inf,5.049613579027289e-15,5.0478009206574e-15,9.146875191749218e-16,0.0,3
28,E27_I1,1.077451758349389e-14,0.0,0.0,0.0,0.04,0
29,E28_I1,1.0775877326791785e-14,5.0421209980896856e-15,5.041039735874492e-15,9.131976191397856e-16,0.04,3
30,E29_I1,8.476264144699741e-15,8.424294628133435e-15,8.42046400727747e-15,1.5261241095805882e-15,0.08,5
31,E30_I1,9.416170834347645e-15,3.3605809354280147e-15,3.3599427987214515e-15,6.08633096656337e-16,0.06,2
32,E31_I1,1.0772017368425202e-14,3.360206493467731e-15,3.359604356380183e-15,6.085585354715019e-16,0.04,2
33,E32_I1,8.92050810841668e-15,3.3682502998804073e-15,3.3668601732746397e-15,6.101574681626557e-16,0.07,2
34,E33_I1,1.0023074541850596e-14,1.0078427617941563e-14,1.007682216639898e-14,1.8252370137369286e-15,0.05,6
35,E34_I1,1.0006079847422997e-14,5.0306430259343895e-15,5.030683584747689e-15,9.1091653314026e-16,0.05,3
36,E35_I1,9.971321548561772e-15,0.0,0.0,0.0,0.05,0
37,E36_I1,9.398993988573772e-15,8.386092336149737e-15,8.385996676414967e-15,1.5185298302837202e-15,0.06,5
38,E37_I1,1.004340023818801e-14,8.415744493172928e-15,8.412751753587588e-15,1.5244241473759138e-15,0.05,5
39,E38_I1,1.1677256509195031e-14,6.687414838628067e-15,6.689425016667658e-15,1.2105593722253013e-15,0.03,4
40,E39_I1,9.41206480586e-15,5.038668352951422e-15,5.037926430645104e-15,9.12511742750739e-16,0.06,3
41,E40_I1,8.943165831634405e-15,8.442060873435434e-15,8.436482479160697e-15,1.5296562473804643e-15,0.07,5
42,E41_I1,8.032022788518116e-15,1.3397013051323879e-14,1.3398885210319577e-14,2.425528355287728e-15,0.09,8
43,E42_I1,1.0020454580767154e-14,6.717178990841579e-15,6.716293188586295e-15,1.2164748053142387e-15,0.05,4
44,E43_I1,1.0862547591193566e-14,1.6942547605110474e-15,1.6925640013402827e-15,3.0709351195727073e-16,0.04,1
45,E44_I1,7.716395579399579e-15,6.729814756797386e-15,6.727693420410811e-15,1.2189865918879971e-15,0.1,4
46,E45_I1,8.441203179143875e-15,1.3422995544494426e-14,1.3422330120966447e-14,2.430690593452406e-15,0.08,8
47,E46_I1,9.97745895693815e-15,3.009730725746198e-14,3.010599576468156e-14,5.448305670951595e-15,0.05,18
48,E47_I1,9.990307127425515e-15,1.1719616872248953e-14,1.1721523939787703e-14,2.121786849655107e-15,0.05,7
49,E48_I1,8.36289703246895e-15,2.4934104816364894e-14,2.495558211113294e-14,4.511062601275958e-15,0.08,15
50,E49_I1,1.073573578872399e-14,1.6744312721995409e-15,1.6746839141254395e-15,3.031521387228124e-16,0.04,1
51,E50_I1,7.341535776727702e-15,1.0018869783190148e-14,1.00230808873574e-14,1.8134063831263495e-15,0.11,6
52,E51_I1,1.1794235810782282e-14,1.6886387116894235e-15,1.687501396122911e-15,3.0597644266039484e-16,0.03,1
53,E52_I1,1.537498965931756e-14,3.3522793729687303e-15,3.3524494872749297e-15,6.069827238899706e-16,0.01,2
54,E53_I1,1.2985082645576174e-14,1.6663987379308498e-15,1.6674292500065512e-15,3.0155606519224213e-16,0.02,1
55,E54_I1,1.0002133634093025e-14,2.681950809204123e-14,2.6820741364365918e-14,4.85611400404559e-15,0.05,16
56,E55_I1,1.0041137166233485e-14,5.048306180264995e-15,5.0466223850640156e-15,9.144277789053628e-16,0.05,3
57,E56_I1,8.896622422987963e-15,3.3592094466208174e-15,3.3587056197295017e-15,6.083605470249493e-16,0.07,2
58,E57_I1,9.975328567231716e-15,3.1762574137163864e-14,3.1772413139847716e-14,5.749638651694192e-15,0.05,19
59,E58_I1,9.378308730220342e-15,7.028768216461586e-14,7.030212986321027e-14,1.272477501626737e-14,0.06,42
60,E59_I1,8.872769178619236e-15,2.01010958721948e-14,2.010335655291947e-14,3.639399575120781e-15,0.07,12
61,E60_I1,1.001160345573067e-14,1.6778088421422221e-15,1.6777317839145093e-15,3.038232243567848e-16,0.05,1
62,E61_I1,1.1710366872689823e-14,1.6766034291122376e-14,1.6766449104924685e-14,3.03583878308489e-15,0.03,10
63,E62_I1,8.049633103161244e-15,8.391533576172432e-15,8.39090894317281e-15,1.5196116699574802e-15,0.09,5
64,E63_I1,1.0766737974315211e-14,8.396386105875838e-15,8.395287721244364e-15,1.5205761564801062e-15,0.04,5
65,E64_I1,1.309541666780733e-14,5.04176317774061e-15,5.040719609349809e-15,9.131270886360244e-16,0.02,3
66,E65_I1,9.405470416325309e-15,6.71350565965352e-15,6.712978397856104e-15,1.2157446723161886e-15,0.06,4
67,E66_I1,7.673158547853547e-15,1.6730056419676531e-15,1.6733969474754373e-15,3.02868866896922e-16,0.1,1
68,E67_I1,1.0791748801828448e-14,1.0099121778924981e-14,1.0095508820983083e-14,1.8293545367813588e-15,0.04,6
69,E68_I1,1.1615575196351328e-14,1.164102299924054e-14,1.165054020122442e-14,2.1061738899804565e-15,0.03,7
70,E69_I1,1.000078932015203e-14,5.02797547093367e-15,5.028277645884414e-15,9.103867656686399e-16,0.05,3
71,E70_I1,9.401149713183495e-15,1.0065628724236964e-14,1.0065283612582371e-14,1.8226955309145405e-15,0.06,6
72,E71_I1,1.0765488553522826e-14,0.0,0.0,0.0,0.04,0
73,E72_I1,8.06680494731508e-15,2.0182739252734883e-14,2.0177032383874743e-14,3.655627019962693e-15,0.09,12
74,E73_I1,1.0010631982199568e-14,5.032935261240523e-15,5.0327536031473686e-15,9.113723862593186e-16,0.05,3
75,E74_I1,9.985125975610381e-15,3.3467220569971155e-15,3.3474357338846515e-15,6.058789972133372e-16,0.05,2
76,E75_I1,1.0019624539432767e-14,8.395777473343225e-15,8.39473749448718e-15,1.5204549542567595e-15,0.05,5
77,E76_I1,8.874782079862222e-15,5.0264162586573745e-15,5.02687044380349e-15,9.100769420361957e-16,0.07,3
78,E77_I1,1.3078153966752675e-14,1.4433915451389947e-13,1.4432833264740464e-13,2.613835563896201e-14,0.02,86
79,E78_I1,1.074464297078375e-14,8.379122747604737e-15,8.37970327172806e-15,1.5171440592241262e-15,0.04,5
80,E79_I1,1.1793948303636843e-14,6.754390350936758e-15,6.749856783835385e-15,1.2238729504726886e-15,0.03,4
81,E80_I1,1.0008381097435556e-14,1.677271011058981e-15,1.6772433533355595e-15,3.03715659550405e-16,0.05,1
82,E81_I1,8.353195565208682e-15,9.962054837336123e-15,9.971755369257821e-15,1.8021228652540393e-15,0.08,6
83,E82_I1,1.0681014081874954e-14,2.6654024242740326e-14,2.6671363595716077e-14,4.823247012403845e-15,0.04,16
84,E83_I1,1.0013638909292819e-14,1.6781502551394004e-15,1.6780402987455182e-15,3.0389117132935e-16,0.05,1
85,E84_I1,7.118772037766505e-15,5.056880232156467e-15,5.0543561540101865e-15,9.16132529457575e-16,0.12,3
86,E85_I1,1.078886228525902e-14,0.0,0.0,0.0,0.04,0
87,E86_I1,1.1683637914289294e-14,1.505491593446853e-14,1.5058646370191993e-14,2.7253958884256616e-15,0.03,9
88,E87_I1,8.440303192825383e-15,5.033086496698718e-15,5.032888401181849e-15,9.11402072754012e-16,0.08,3
89,E88_I1,9.420027012805463e-15,1.17668570216277e-14,1.1764155462812967e-14,2.131175480429529e-15,0.06,7
90,E89_I1,1.1625351619449485e-14,4.99321909125247e-15,4.996890529943198e-15,9.034816043750174e-16,0.03,3
91,E90_I1,1.1793893236238794e-14,6.754357583624415e-15,6.7498282833966534e-15,1.223866664303998e-15,0.03,4
92,E91_I1,1.0814678888266021e-14,0.0,0.0,0.0,0.04,0
93,E92_I1,9.414575141382462e-15,3.360009831668111e-15,3.359427813830228e-15,6.085196427008182e-16,0.06,2
94,E93_I1,8.898091168718557e-15,0.0,0.0,0.0,0.07,0
95,E94_I1,1.1703749883779974e-14,2.3459182178897558e-14,2.346103141534511e-14,4.247532698020205e-15,0.03,14
96,E95_I1,1.172519261267862e-14,1.0072386609532451e-14,1.0071388454594649e-14,1.824040089979407e-15,0.03,6
97,E96_I1,1.0000730530349198e-14,2.84916819814233e-14,2.849342182071561e-14,5.158824980540997e-15,0.05,17
98,E97_I1,1.0777412901325762e-14,1.6809466720172213e-15,1.6805631460968329e-15,3.0444692186852154e-16,0.04,1
99,E98_I1,9.334565147061436e-15,3.8310966490934514e-14,3.833630684530632e-14,6.932586862356236e-15,0.06,23
100,E99_I1,1.0705443931837947e-14,1.6696979347325167e-15,1.6704089784577943e-15,3.0221140801232106e-16,0.04,1
101,E0_I2_P0,,8.401009908367073e-15,8.399450195256375e-15,1.5214931198437837e-15,,5
102,E0_I2_P1,,1.5073802844310083e-14,1.5075697923664652e-14,2.729149126110588e-15,,9
103,E0_I2_P2,,1.667838648525846e-14,1.6687313629871298e-14,3.0184240654914993e-15,,10
