,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,1.4377777777777778,2.0233333333333334,2.0233333333333334,2.0233333333333334,n/a,n/a
1,E0_I1,9.505257063309057e-07,0.0,0.0,0.0,0.92,0
2,E1_I1,9.6597130418504e-07,0.0,0.0,0.0,0.92,0
3,E2_I1,8.66574645538803e-07,0.0,0.0,0.0,0.93,0
4,E3_I1,1.4338710231545759e-06,0.0,0.0,0.0,0.89,0
5,E4_I1,4.983160891056268e-07,0.0,0.0,0.0,0.96,0
6,E5_I1,8.542972405380959e-07,0.0,0.0,0.0,0.93,0
7,E6_I1,8.836368281668895e-07,0.0,0.0,0.0,0.92,0
8,E7_I1,1.1531915772678476e-06,0.00019974907444008364,0.0002214025609479257,9.677667952511221e-05,0.9,106
9,E8_I1,8.008689894783848e-07,0.0,0.0,0.0,0.94,0
10,E9_I1,7.460911768331749e-07,0.00014400998533491315,0.00015094366201031151,6.871938747873134e-05,0.94,67
11,E10_I1,7.272741044040369e-07,0.0,0.0,0.0,0.95,0
12,E11_I1,5.130224334073023e-07,0.0,0.0,0.0,0.96,0
13,E12_I1,8.062200292394897e-07,0.0,0.0,0.0,0.93,0
14,E13_I1,1.0712149447259322e-06,0.0,0.0,0.0,0.91,0
15,E14_I1,1.0315759222426856e-06,1.0481348675701691e-05,1.0436088307520665e-05,4.5599762458069425e-06,0.92,5
16,E15_I1,4.712293693568999e-07,0.0,0.0,0.0,0.96,0
17,E16_I1,1.2026785610841654e-06,0.0,0.0,0.0,0.92,0
18,E17_I1,1.9917293858199886e-06,4.036644533175911e-05,4.0946294816735475e-05,1.771054236682295e-05,0.85,20
19,E18_I1,1.2542721413111131e-06,8.9803067437281e-05,9.094362661247018e-05,4.161181564731184e-05,0.91,40
20,E19_I1,8.929340592225525e-07,0.0,0.0,0.0,0.93,0
21,E20_I1,9.300082327643635e-07,0.0,0.0,0.0,0.93,0
22,E21_I1,4.86346613516352e-07,0.0,0.0,0.0,0.96,0
23,E22_I1,9.700555669764854e-07,0.0,0.0,0.0,0.92,0
24,E23_I1,5.85577127677846e-07,0.0,0.0,0.0,0.96,0
25,E24_I1,1.6820794617643935e-06,0.0,0.0,0.0,0.87,0
26,E25_I1,8.146396708697372e-07,0.0,0.0,0.0,0.93,0
27,E26_I1,1.014117118321766e-06,0.0,0.0,0.0,0.92,0
28,E27_I1,7.528693837288205e-07,2.0785304150456534e-06,2.064814723327554e-06,8.970918891491183e-07,0.94,1
29,E28_I1,6.819595265883881e-07,0.0,0.0,0.0,0.94,0
30,E29_I1,8.054622943275062e-07,0.0,0.0,0.0,0.94,0
31,E30_I1,1.015707540325154e-06,0.0,0.0,0.0,0.93,0
32,E31_I1,7.744468733360114e-07,0.0,0.0,0.0,0.93,0
33,E32_I1,8.326777380871699e-07,0.0,0.0,0.0,0.94,0
34,E33_I1,1.317700510844219e-06,0.0001896707348264606,0.00022015793792614396,8.859428526421042e-05,0.87,124
35,E34_I1,9.61220925775214e-07,5.575267801304789e-06,5.995601658124007e-06,2.2271568181018852e-06,0.9,4
36,E35_I1,1.4342118265927425e-06,0.0,0.0,0.0,0.89,0
37,E36_I1,9.763005480560174e-07,0.0,0.0,0.0,0.92,0
38,E37_I1,9.393509975943046e-07,0.0,0.0,0.0,0.93,0
39,E38_I1,9.01461396367862e-07,0.0,0.0,0.0,0.93,0
40,E39_I1,1.4561349220762372e-06,0.0,0.0,0.0,0.9,0
41,E40_I1,9.592080900205344e-07,0.0,0.0,0.0,0.92,0
42,E41_I1,9.513438146184493e-07,0.0,0.0,0.0,0.91,0
43,E42_I1,6.327817826208816e-07,0.0,0.0,0.0,0.95,0
44,E43_I1,1.0385282648089846e-06,0.0,0.0,0.0,0.91,0
45,E44_I1,1.1231669437862864e-06,0.0,0.0,0.0,0.92,0
46,E45_I1,1.334966144194197e-06,0.0,0.0,0.0,0.89,0
47,E46_I1,1.1704846469703227e-06,0.0002193005952949047,0.0002372154360323683,0.00010990662667028037,0.91,102
48,E47_I1,8.847133910530889e-07,0.0,0.0,0.0,0.93,0
49,E48_I1,1.0034241159213752e-06,2.064363739921939e-06,2.05217787510955e-06,8.887341306522713e-07,0.92,1
50,E49_I1,6.853459385862664e-07,0.0,0.0,0.0,0.94,0
51,E50_I1,9.319582210806002e-07,0.0,0.0,0.0,0.93,0
52,E51_I1,1.1019723997708046e-06,0.0,0.0,0.0,0.92,0
53,E52_I1,1.2219763353156861e-06,0.0,0.0,0.0,0.91,0
54,E53_I1,2.1505217701537716e-06,0.0,0.0,0.0,0.84,0
55,E54_I1,1.6146322423221696e-06,7.10933620398789e-06,7.31382832916964e-06,2.98621756078085e-06,0.86,4
56,E55_I1,9.026501753409717e-07,0.0,0.0,0.0,0.93,0
57,E56_I1,8.647718041838049e-07,0.0,0.0,0.0,0.93,0
58,E57_I1,1.3698838422351963e-06,0.0,0.0,0.0,0.88,0
59,E58_I1,8.704835847490575e-07,0.0012116855628467199,0.0020108964270161684,0.0013030515486767656,0.93,511
60,E59_I1,1.0285300923701418e-06,0.0,0.0,0.0,0.91,0
61,E60_I1,7.531222207295249e-07,0.0,0.0,0.0,0.93,0
62,E61_I1,1.413184342137517e-06,0.0,0.0,0.0,0.89,0
63,E62_I1,6.346088226080379e-07,0.0,0.0,0.0,0.95,0
