,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.352777777777778,4.2675,4.2675,4.2675,n/a,n/a
1,E0_I1,1.3182222648947523e-06,7.798718495998898e-07,7.659585938550362e-07,1.849470392354369e-07,0.52,33
2,E1_I1,8.539293293185459e-07,1.388730798605976e-06,1.4051255262116699e-06,3.227501445900224e-07,0.61,72
3,E2_I1,1.209828339851129e-06,6.962835925261489e-07,7.038913994187557e-07,1.6053199977587542e-07,0.51,37
4,E3_I1,8.862793298552931e-07,1.0557821016453014e-06,1.0564302062576878e-06,2.467850040052916e-07,0.63,51
5,E4_I1,9.408600265493684e-07,8.399341734708092e-07,8.493886377763696e-07,1.932922345191355e-07,0.57,45
6,E5_I1,1.3509739936326526e-06,1.0344278316113626e-06,1.0115820273865252e-06,2.469573991787697e-07,0.54,42
7,E6_I1,1.1062995069530893e-06,1.4430008591901293e-06,1.4607615742474958e-06,3.3534223113859177e-07,0.54,75
8,E7_I1,1.0391565603262628e-06,5.180610653368834e-07,5.189862198175519e-07,1.1996790635364736e-07,0.58,26
9,E8_I1,1.0401926195083534e-06,8.202482499879402e-07,8.111374061211237e-07,1.926041041176705e-07,0.57,37
10,E9_I1,9.369802958223936e-07,7.035855848572236e-07,6.916172902472376e-07,1.6666220907755712e-07,0.62,30
11,E10_I1,1.2590635120450517e-06,7.773841258736375e-07,7.726742417287019e-07,1.8234886508938363e-07,0.53,36
12,E11_I1,8.354962413713617e-07,4.963757587790062e-07,4.976723922513206e-07,1.1495292432100403e-07,0.63,25
13,E12_I1,1.219093156234661e-06,9.717232842467285e-07,9.890759518602485e-07,2.232172938053739e-07,0.49,54
14,E13_I1,1.6397568283805184e-06,8.05435372212205e-07,7.910763259991759e-07,1.9114839427596475e-07,0.44,34
15,E14_I1,9.329064151183979e-07,1.2311250685587352e-06,1.2399361600098293e-06,2.86775244297806e-07,0.6,62
16,E15_I1,1.3006562012725753e-06,1.4042516016010517e-06,1.4307749462860486e-06,3.241841546514262e-07,0.46,77
17,E16_I1,1.2696371300097126e-06,1.221837010287458e-06,1.2212644043435042e-06,2.8663125834503244e-07,0.51,58
18,E17_I1,1.4570166089248809e-06,7.864155985241677e-07,7.645460444832145e-07,1.8798187645626605e-07,0.51,31
19,E18_I1,1.1570522548682438e-06,4.891791533751914e-07,4.915853450330886e-07,1.1315407381677882e-07,0.55,25
20,E19_I1,1.321982669880057e-06,1.692166949105468e-06,1.670830527628757e-06,4.0341072485814286e-07,0.56,72
21,E20_I1,6.572278338171544e-07,5.906131019795669e-07,5.90749547260973e-07,1.3734466841628665e-07,0.69,29
