,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,4.3436111111111115,7.889444444444444,7.889444444444444,7.889444444444444,n/a,n/a
1,E0_I1,1.4236806423610096e-06,9.533084943028783e-07,1.214279183534742e-06,1.5265763188797905e-07,0.26,56
2,E1_I1,1.077154186400357e-06,9.59420264846733e-07,1.1995350058127757e-06,1.5394109895964765e-07,0.39,48
3,E2_I1,1.0487300422469083e-06,8.108657966896389e-07,1.0008555151379644e-06,1.2711866723217154e-07,0.41,43
4,E3_I1,1.1178083482286042e-06,7.562780095622145e-07,9.177747508728553e-07,1.1812750262453767e-07,0.39,36
5,E4_I1,8.294869279017863e-07,8.79211894182211e-07,1.1105795110691256e-06,1.3931781180158302e-07,0.44,52
6,E5_I1,8.310288253027415e-07,9.355080340947185e-07,1.1783010023877542e-06,1.4949541189413802e-07,0.45,51
7,E6_I1,9.523323281537239e-07,8.875564225801031e-07,1.1188615920336929e-06,1.4050610397124808e-07,0.37,52
8,E7_I1,9.921328672881607e-07,1.0455653172019099e-06,1.3582093903837194e-06,1.7022728745426042e-07,0.37,64
9,E8_I1,1.0215104665134957e-06,9.084092648667827e-07,1.1332359390583316e-06,1.446727774338984e-07,0.38,47
10,E9_I1,1.0535063219062498e-06,7.690478168779659e-07,9.331524914518215e-07,1.1991642680844216e-07,0.4,37
11,E10_I1,8.26899589211992e-07,1.080102690105781e-06,1.4203784511209727e-06,1.7653049064600975e-07,0.43,71
12,E11_I1,8.685211642811993e-07,9.91421406180061e-07,1.2791871415419876e-06,1.5968009667477595e-07,0.4,62
13,E12_I1,1.4161001721757012e-06,1.0780617541394516e-06,1.3716319994290589e-06,1.75973666639176e-07,0.27,55
14,E13_I1,1.0202836953500163e-06,9.68261755368046e-07,1.2104695608253421e-06,1.555515377726379e-07,0.41,48
15,E14_I1,1.163557101680176e-06,5.837760457150137e-07,6.907740676394052e-07,8.945401825421534e-08,0.39,26
16,E15_I1,7.734951430014779e-07,8.30763310261958e-07,1.0277030725467378e-06,1.305945296463662e-07,0.48,44
17,E16_I1,9.669194691647964e-07,7.844400136473921e-07,9.631496353330973e-07,1.2293466641153547e-07,0.42,40
18,E17_I1,1.0721472142706656e-06,1.123606232475187e-06,1.4311213647145125e-06,1.8475708468112768e-07,0.4,55
19,E18_I1,7.385374089114024e-07,9.114086767622202e-07,1.15483371764633e-06,1.4489697849440668e-07,0.48,54
20,E19_I1,1.556049971517945e-06,9.72332689729538e-07,1.2043455327294085e-06,1.56652550344184e-07,0.27,44
21,E20_I1,8.44020002684706e-07,7.134400390543347e-07,8.645589128877695e-07,1.1123589223672055e-07,0.5,34
22,E21_I1,8.747674421917032e-07,8.461727657435541e-07,1.0354961023436075e-06,1.3358093583713358e-07,0.46,40
23,E22_I1,8.356792245365931e-07,9.048897217506907e-07,1.131136239243533e-06,1.4392382095150043e-07,0.47,48
24,E23_I1,8.656233143060049e-07,1.0862864805610862e-06,1.4008066450246405e-06,1.7756928987733162e-07,0.45,61
25,E24_I1,8.554691335095291e-07,1.1951032784026634e-06,1.5960565155142303e-06,1.990007860550184e-07,0.41,78
26,E25_I1,9.206468444606834e-07,8.596382585127076e-07,1.0749490843570985e-06,1.3576972542523437e-07,0.41,48
27,E26_I1,1.0889171579648213e-06,7.745561922022326e-07,9.394527488199988e-07,1.2133485494559727e-07,0.39,36
28,E27_I1,9.855702572130859e-07,9.375372894009695e-07,1.1647117405914368e-06,1.497600174967624e-07,0.42,46
29,E28_I1,8.471790425261539e-07,6.721652211717674e-07,8.119657577012803e-07,1.0351355624783634e-07,0.46,34
30,E29_I1,1.1052921421257737e-06,8.76895249655686e-07,1.087684542077819e-06,1.3890736517189365e-07,0.37,45
31,E30_I1,9.428006515718541e-07,7.065417677454211e-07,8.670084053727662e-07,1.089931748655933e-07,0.4,40
32,E31_I1,1.2895893453683938e-06,1.0563050301369519e-06,1.3466350922254668e-06,1.7184904652452015e-07,0.32,56
