Day,Set,Experiment,Time,p0,Corrected,Method
1,D,1,1.25,0.30952381,3.34E-08,LDM
1,D,2,1.25,0.238095238,5.40E-08,LDM
1,D,3,1.25,0.083333333,8.10E-08,LDM
2,D,1,1.25,0.464285714,1.35E-07,LDM
2,D,2,1.25,0.547619048,2.70E-07,LDM
2,D,3,1.25,0.666666667,2.76E-07,LDM
1,G,1,4,0.226190476,2.19E-14,LDM
1,G,2,4,0.297619048,6.60E-14,LDM
1,G,3,4,0.380952381,7.55E-14,LDM
2,G,1,4,0.761904762,1.52E-13,LDM
2,G,2,4,0.630952381,5.69E-13,LDM
2,G,3,4,0.714285714,2.90E-13,LDM
1,G,1,5,NA,3.23E-11,SIM
1,G,2,5,NA,4.71E-11,SIM
1,G,3,5,NA,7.96E-11,SIM
2,G,1,5,NA,4.58E-12,SIM
2,G,2,5,NA,7.84E-12,SIM
2,G,3,5,NA,6.79E-11,SIM
1,G,1,24,NA,2.77E-10,SIM
1,G,2,24,NA,1.17E-09,SIM
1,G,3,24,NA,6.96E-10,SIM
2,G,1,24,NA,3.86E-11,SIM
2,G,2,24,NA,4.49E-11,SIM
2,G,3,24,NA,7.62E-10,SIM
1,D,1,3,NA,1.32E-06,SIM
1,D,2,3,NA,2.50E-06,SIM
1,D,3,3,NA,1.92E-06,SIM
2,D,1,3,NA,7.87E-08,SIM
2,D,2,3,NA,5.11E-08,SIM
2,D,3,3,NA,4.78E-08,SIM
