,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,1.6097222222222223,2.8602777777777777,2.8602777777777777,2.8602777777777777,n/a,n/a
1,E0_I1,9.862160393813065e-07,8.17539327562146e-07,4.867122056989896e-07,1.589829336022591e-07,0.66,25
2,E1_I1,9.666689730610488e-07,2.066470299581098e-06,1.2529342293904145e-06,4.1550880474996196e-07,0.67,62
3,E2_I1,1.262375156250483e-06,6.42495072702413e-07,3.711254588024708e-07,1.3041546812127966e-07,0.65,16
4,E3_I1,9.824957789830337e-07,1.3812614770720083e-06,8.21058425661812e-07,2.7127896725358725e-07,0.66,41
5,E4_I1,1.189347208302413e-06,2.209728603603229e-06,1.3575413838220332e-06,4.377884072338205e-07,0.59,72
6,E5_I1,9.65881335183806e-07,8.205574808364491e-07,4.830842626113148e-07,1.627708531947495e-07,0.69,23
7,E6_I1,1.1603605313318967e-06,2.975829022915708e-06,1.8028394662534877e-06,5.828922127974195e-07,0.59,95
8,E7_I1,8.107718889334825e-07,4.968521461635165e-07,3.0778322727191714e-07,9.360284311025543e-08,0.66,19
9,E8_I1,1.0751659597158008e-06,1.0009563813145822e-06,5.939532996416834e-07,1.9805608079103775e-07,0.64,29
10,E9_I1,8.821555480721475e-07,1.0801108174193605e-06,6.682986405891076e-07,2.1660434407908e-07,0.69,35
11,E10_I1,1.1614904747973343e-06,9.931745877900608e-07,5.995897873491188e-07,1.9287969491388912e-07,0.6,32
12,E11_I1,8.945670707776816e-07,1.7918906171669867e-06,1.1122718889861835e-06,3.51733967765242e-07,0.66,62
13,E12_I1,1.0259277155031666e-06,1.9630666234242645e-06,1.1789768994789194e-06,3.919194334783912e-07,0.65,58
14,E13_I1,9.66388903393969e-07,1.8972331259449667e-06,1.062532826306553e-06,3.8791477558671526e-07,0.74,42
15,E14_I1,1.3742843139194546e-06,1.324081908816301e-06,7.924824588438945e-07,2.692043540833518e-07,0.6,37
16,E15_I1,9.665598972279017e-07,1.1302382852545699e-06,6.66950928814463e-07,2.2698665979438583e-07,0.68,31
17,E16_I1,1.1818934993129932e-06,1.601343699550061e-06,9.56470733902491e-07,3.209303543325503e-07,0.63,46
18,E17_I1,6.687307642036002e-07,1.2466706899716852e-06,7.464940763424055e-07,2.473930310466795e-07,0.76,37
19,E18_I1,1.1292136471285031e-06,1.0258090680531141e-06,5.884841021162378e-07,2.081203571717263e-07,0.68,25
20,E19_I1,1.236084215639058e-06,1.0472656207132567e-06,6.416627213441688e-07,2.0700459903321647e-07,0.6,34
21,E20_I1,1.1977893855518713e-06,1.958112775789728e-06,1.1747609472227515e-06,3.846112051530765e-07,0.6,60
22,E21_I1,1.1499043146940397e-06,1.2601942899478552e-06,8.138458013701543e-07,2.461198566015552e-07,0.56,51
23,E22_I1,8.799578876927949e-07,1.2698018226791747e-06,7.682856302009955e-07,2.4481401831345566e-07,0.66,42
24,E23_I1,7.753399213789138e-07,1.7863486628438594e-06,1.1365175943412758e-06,3.5171793402763307e-07,0.69,67
25,E24_I1,1.1744518964679583e-06,7.866927009006463e-07,4.5960311967047835e-07,1.5451433320288945e-07,0.63,22
26,E25_I1,1.3044112837462031e-06,1.795966992875809e-06,1.067713450000745e-06,3.653280958194972e-07,0.61,49
27,E26_I1,9.754434110650808e-07,1.6790344231555942e-06,1.0269745426206749e-06,3.299092010194726e-07,0.66,55
28,E27_I1,1.1196965571437196e-06,2.6057798315837094e-06,1.5004394155767816e-06,5.227228298734703e-07,0.67,66
29,E28_I1,7.398146131227369e-07,8.679009996140977e-07,5.39228192175291e-07,1.72936215697045e-07,0.72,29
30,E29_I1,1.17442560452684e-06,1.3938615115485135e-06,8.279188944167812e-07,2.772724483886503e-07,0.65,40
31,E30_I1,8.188786071996702e-07,6.97037941567941e-07,4.121074120634134e-07,1.3776109670509938e-07,0.72,20
32,E31_I1,9.723736920366635e-07,1.650419688972092e-06,1.0047123003929744e-06,3.297572783046333e-07,0.67,51
33,E32_I1,1.132940352588672e-06,1.2516792480482617e-06,7.346248157756003e-07,2.4745480439302246e-07,0.63,35
34,E33_I1,1.0301890357444742e-06,2.26654536892046e-06,1.326048855019757e-06,4.6657669239626595e-07,0.68,57
35,E34_I1,1.14687798917115e-06,1.5609507287624266e-06,9.117139728497093e-07,3.0547442263079337e-07,0.63,44
36,E35_I1,1.0575057788876236e-06,6.894109731887769e-07,4.199424876293006e-07,1.3609190530230762e-07,0.62,22
37,E36_I1,1.2753001213469193e-06,1.9670260909180596e-06,1.2208207468508682e-06,3.818533235018322e-07,0.56,70
38,E37_I1,1.2439492264658238e-06,2.0129002981817032e-06,1.2558589933293894e-06,3.9283176054140407e-07,0.54,72
39,E38_I1,9.677015285494515e-07,8.177126279791465e-07,4.938466215465555e-07,1.597264784414066e-07,0.66,26
40,E39_I1,1.2486768255784298e-06,1.9478413534971683e-06,1.2199908403313154e-06,3.794173494168044e-07,0.55,71
41,E40_I1,9.92034638613754e-07,1.8201400281443229e-06,1.0955332246627723e-06,3.585522252799188e-07,0.66,56
42,E41_I1,1.1887974392612433e-06,1.1408939614181232e-06,6.675335684318759e-07,2.30434835581564e-07,0.67,30
43,E42_I1,1.0509533055663454e-06,6.540683864336403e-07,3.8847274211256774e-07,1.267755884034099e-07,0.65,20
44,E43_I1,1.2326654844540436e-06,8.452148673381896e-07,4.973965673973453e-07,1.696485211906581e-07,0.64,23
45,E44_I1,1.1584198421253219e-06,1.4022456461187833e-06,8.15975823846107e-07,2.7449431602815353e-07,0.63,39
46,E45_I1,6.429120021763645e-07,1.379155390510727e-06,8.449076108322854e-07,2.7201677687664085e-07,0.75,45
47,E46_I1,1.009063470872812e-06,9.569117632492863e-07,5.798610133197746e-07,1.888616160460298e-07,0.65,30
48,E47_I1,1.1602893439359148e-06,2.454211750490753e-06,1.4659008796931397e-06,5.02434727683956e-07,0.64,67
49,E48_I1,1.0295037786556613e-06,1.5827736362710355e-06,9.341680955021311e-07,3.224224259282837e-07,0.69,42
50,E49_I1,8.017060722324181e-07,8.341537727322798e-07,5.027060627461394e-07,1.6130776428191157e-07,0.69,27
51,E50_I1,1.1629918212500302e-06,1.264316543085732e-06,7.424810821807473e-07,2.512098145623784e-07,0.64,35
52,E51_I1,8.07096383800106e-07,9.833873275000663e-07,5.931171375477713e-07,1.976628474242048e-07,0.72,29
53,E52_I1,8.554797666141355e-07,1.1328050972120322e-06,6.736711779234161e-07,2.216216672494162e-07,0.7,34
54,E53_I1,8.760249300154595e-07,1.308776810653608e-06,7.467022907313936e-07,2.6307487213288833e-07,0.73,32
55,E54_I1,8.927660048654754e-07,2.2454849471546738e-06,1.3953333413740823e-06,4.524342363399863e-07,0.69,73
56,E55_I1,8.50954574781373e-07,2.1616862245630452e-06,1.3118443925946127e-06,4.220329483548767e-07,0.7,70
57,E56_I1,1.3538674066097462e-06,1.677882387691092e-06,9.60395526745799e-07,3.354186028356121e-07,0.6,42
58,E57_I1,1.0171444883323384e-06,9.096290634308989e-07,5.31345824503757e-07,1.7991619732022394e-07,0.68,25
59,E58_I1,9.324959274721415e-07,1.2914108109417275e-06,7.879636521443036e-07,2.536049693552036e-07,0.66,42
60,E59_I1,1.1220789372767375e-06,6.941126511883812e-07,4.168949473340894e-07,1.3725587226859638e-07,0.63,21
61,E60_I1,8.604431460378659e-07,3.023841772371698e-06,1.7779229022380735e-06,6.009722494830106e-07,0.7,84
62,E61_I1,9.264909509498791e-07,1.9716930689888482e-06,1.132124956609713e-06,4.1229605878411735e-07,0.73,45
63,E62_I1,5.673271541358618e-07,8.988649359247086e-07,5.335194472852103e-07,1.753215250005274e-07,0.78,27
64,E63_I1,1.0398552557185927e-06,1.4009790932505234e-06,8.624175676580775e-07,2.7288353776543933e-07,0.61,48
65,E64_I1,9.937825781682079e-07,1.405744201419304e-06,8.4061623143878e-07,2.8631230254995124e-07,0.68,39
66,E65_I1,1.2371334954889555e-06,2.343914381998586e-06,1.4262558533e-06,4.718338732046216e-07,0.6,71
67,E66_I1,9.161244615232641e-07,1.097571415718427e-06,6.585195450777427e-07,2.1218474562654584e-07,0.66,35
68,E67_I1,1.0265023574035064e-06,1.5552290466276549e-06,9.468539339025458e-07,3.136049977801779e-07,0.66,47
69,E68_I1,9.480551106404392e-07,9.241630326880734e-07,5.429751965280934e-07,1.8552872928597274e-07,0.69,25
70,E69_I1,8.681398609631573e-07,2.5893855597734054e-06,1.4675433149325739e-06,5.277952352020061e-07,0.73,60
71,E70_I1,8.724987917532753e-07,1.0158241125009638e-06,5.983049727980113e-07,1.9475328227074488e-07,0.69,31
72,E71_I1,7.750744043157724e-07,9.8858155063729e-07,5.933752139244218e-07,1.925093711384927e-07,0.7,31
73,E72_I1,7.947399864361478e-07,1.9831534549062823e-06,1.1961785862981864e-06,3.97213076081163e-07,0.71,59
74,E73_I1,8.238899285840762e-07,5.476522564596012e-07,3.2363125135593545e-07,1.0736516875301432e-07,0.71,16
75,E74_I1,1.134177993305743e-06,2.532826757791993e-06,1.4473835603640708e-06,5.065226326412527e-07,0.66,63
76,E75_I1,1.158478652135047e-06,8.438647002333635e-07,4.872236423734061e-07,1.6785525059332408e-07,0.64,22
