,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.352777777777778,4.265833333333333,4.265833333333333,4.265833333333333,n/a,n/a
1,E0_I1,1.4775248886828817e-06,1.0965370289870175e-06,1.1243734017253183e-06,2.507343286023832e-07,0.4,64
2,E1_I1,5.078326809202685e-07,1.810538505960034e-06,1.7764914705741736e-06,4.3477187012824897e-07,0.8,73
3,E2_I1,1.4667332009898808e-06,8.014176366628607e-07,8.156302546711651e-07,1.8344033225237616e-07,0.4,45
4,E3_I1,8.774275740608782e-07,1.0259325405370605e-06,1.0451423294456857e-06,2.3580643355666944e-07,0.6,57
5,E4_I1,9.253161240738482e-07,9.582585203947897e-07,9.62299384811359e-07,2.2258709100760545e-07,0.6,48
6,E5_I1,1.716489571723896e-06,6.580593144698621e-07,6.553558934701194e-07,1.5389776906137408e-07,0.4,31
7,E6_I1,1.001517640292031e-06,1.262997347199986e-06,1.2632935262944997e-06,2.963149291936231e-07,0.6,60
8,E7_I1,1.3670003190498299e-06,8.669652665833153e-07,8.940484379545067e-07,1.962118123235882e-07,0.4,54
9,E8_I1,1.7080417555778638e-06,8.819923866891863e-07,8.806989017764912e-07,2.063326482175449e-07,0.4,42
10,E9_I1,3.771375335088761e-07,1.5886792797268972e-06,1.613090970198149e-06,3.6863917577706667e-07,0.8,84
11,E10_I1,3.0982898643346213e-06,3.1461739805941855e-07,3.1278147133841863e-07,7.316214672421319e-08,0.2,15
12,E11_I1,9.179108997635778e-07,1.1065092779002522e-06,1.1070943994542564e-06,2.5908794210989874e-07,0.6,53
13,E12_I1,1.6573616654789099e-06,9.24877302310758e-07,9.33270948786767e-07,2.1402071834914252e-07,0.4,48
14,E13_I1,8.273034137929065e-07,7.682891179325798e-07,7.865503399522392e-07,1.7515720516018024e-07,0.6,45
15,E14_I1,2.5364822173317823e-06,1.0911172342337922e-06,1.116912049752447e-06,2.486207600180624e-07,0.2,64
16,E15_I1,8.494688844847561e-07,4.791210176585516e-07,4.851368557852948e-07,1.0998620274201984e-07,0.6,26
17,E16_I1,9.993247579206122e-07,5.592458819178284e-07,5.554433767415891e-07,1.3082898839934567e-07,0.6,26
18,E17_I1,9.647005995876357e-07,5.196543591201973e-07,5.158001341399329e-07,1.2170166322823627e-07,0.6,24
19,E18_I1,1.8006433670840551e-06,7.395834480601139e-07,7.342810758274374e-07,1.734953438978016e-07,0.4,34
20,E19_I1,8.532685666901651e-07,1.474942028592053e-06,1.5018482705690437e-06,3.4106110802788264e-07,0.6,80
21,E20_I1,9.343224322795598e-07,7.696148827055168e-07,7.686762345901506e-07,1.796094849879336e-07,0.6,37
22,E21_I1,8.86784405093604e-07,7.20664578991826e-07,7.270497486194797e-07,1.6598198724016618e-07,0.6,38
23,E22_I1,2.0203432233845315e-06,1.1085337960045164e-06,1.0850562534916885e-06,2.64820641318574e-07,0.4,45
24,E23_I1,3.7412956806664963e-07,1.489650260509645e-06,1.5223930099763941e-06,3.4351661200074707e-07,0.8,83
25,E24_I1,2.9601666771631553e-06,2.0491016997011933e-06,2.0691586031536296e-06,4.802133909386947e-07,0.2,102
26,E25_I1,-0.0,7.963702670860195e-07,7.94888937717031e-07,1.8609930301398633e-07,1.0,38
27,E26_I1,2.504906307054191e-06,1.0171829911458972e-06,1.0499983550834416e-06,2.308461870662872e-07,0.2,63
28,E27_I1,1.847825068983674e-06,7.145919744697875e-07,7.043152754843853e-07,1.6889193493520452e-07,0.4,31
29,E28_I1,1.009188965037432e-06,7.997573466586277e-07,7.953253952047903e-07,1.8766399630919965e-07,0.6,37
30,E29_I1,1.6886532404376819e-06,1.075230581667521e-06,1.0737678200273619e-06,2.5185812851502723e-07,0.4,51
31,E30_I1,1.5071911314469946e-06,1.8103779443689511e-06,1.8628085826709543e-06,4.165118049358268e-07,0.4,105
32,E31_I1,1.717286031313134e-06,4.961123829771371e-07,4.950893242848457e-07,1.1544988769650739e-07,0.4,24
33,E32_I1,3.071643855488178e-06,1.0208951594656256e-06,1.0236425979774526e-06,2.3818831952620371e-07,0.2,50
34,E33_I1,1.1415165668262086e-06,6.579814334360411e-07,6.436208235133686e-07,1.5654683095866072e-07,0.6,27
35,E34_I1,3.765354523530234e-07,1.1604715989508934e-06,1.1798778636257316e-06,2.677659026845713e-07,0.8,63
36,E35_I1,3.514790620135273e-07,8.577696001794964e-07,8.794753559723133e-07,1.951364889395764e-07,0.8,51
37,E36_I1,1.0749962697840696e-06,6.319834682064098e-07,6.182275865220171e-07,1.502579165507052e-07,0.6,26
38,E37_I1,2.9409629851009834e-06,1.0922491911094118e-06,1.096457364820023e-06,2.5453466100001245e-07,0.2,54
39,E38_I1,4.193321825689996e-07,8.830472027977427e-07,8.804573208153043e-07,2.0625983965550013e-07,0.8,42
40,E39_I1,4.450047401851836e-07,2.40542371127678e-06,2.418542850244071e-06,5.685249378863439e-07,0.8,114
41,E40_I1,9.732832801339633e-07,1.1358958939620677e-06,1.1422695402960646e-06,2.64185421180173e-07,0.6,57
42,E41_I1,2.5973139945837724e-06,6.222218281796457e-07,6.355333969161396e-07,1.419103217042686e-07,0.2,36
43,E42_I1,8.716681231027018e-07,1.7182356906621246e-06,1.7422465623208825e-06,4.002997778829681e-07,0.6,89
44,E43_I1,2.686060534040784e-06,1.14539724890993e-06,1.1686481311551327e-06,2.6337220544371044e-07,0.2,64
45,E44_I1,1.9588231488399e-06,1.179881147951087e-06,1.158881699223479e-06,2.8121209646754365e-07,0.4,49
46,E45_I1,1.5760033053568173e-06,1.0814895052745993e-06,1.090204696799006e-06,2.5136735541940756e-07,0.4,55
47,E46_I1,1.747752038783898e-06,4.559997186156091e-07,4.550527022156821e-07,1.0619506788592119e-07,0.4,22
48,E47_I1,1.5980785466088897e-06,7.360187835566986e-07,7.39423447189451e-07,1.7088105670767556e-07,0.4,37
49,E48_I1,1.6303912113341419e-06,1.0383949701207474e-06,1.0494515203936172e-06,2.4063292479053577e-07,0.4,54
50,E49_I1,9.041973314959053e-07,1.071029710612661e-06,1.0756184299882428e-06,2.496618899977199e-07,0.6,53
51,E50_I1,8.926858013202308e-07,2.122618182613634e-06,2.171913607472029e-06,4.928670371671628e-07,0.6,116
52,E51_I1,1.1262598851717122e-06,9.421803381460955e-07,9.207710921324121e-07,2.2505494605461077e-07,0.6,38
53,E52_I1,3.4949234039272826e-06,5.988857306664101e-07,5.869935090140433e-07,1.421322337495604e-07,0.2,25
54,E53_I1,3.984406999923332e-07,8.956788374775521e-07,9.035573633811206e-07,2.065531370588736e-07,0.8,47
55,E54_I1,3.552110914706094e-07,7.280535986623875e-07,7.459064365989439e-07,1.6576473349150107e-07,0.8,43
56,E55_I1,3.5414730382329484e-07,5.937620031577581e-07,6.070506087783165e-07,1.3490147632722021e-07,0.8,35
57,E56_I1,9.800735255030052e-07,1.412361075051722e-06,1.410911965714222e-06,3.3238968311907355e-07,0.6,66
58,E57_I1,4.3035726134309145e-07,6.845882649640524e-07,6.810412919835902e-07,1.602376421878459e-07,0.8,32
59,E58_I1,inf,1.4525881386633795e-06,1.4725868565372822e-06,3.3737233168653825e-07,0.0,76
60,E59_I1,3.5809444885922825e-07,8.264185360283656e-07,8.433892243040417e-07,1.891639729035175e-07,0.8,47
61,E60_I1,3.4336691371565476e-07,7.332701579368184e-07,7.5463670899869e-07,1.661839023687359e-07,0.8,45
62,E61_I1,3.94520767091579e-06,1.0482098204758674e-06,1.0018571315203636e-06,2.554875506620795e-07,0.2,36
63,E62_I1,3.7276136952767966e-07,6.000238018219146e-07,6.107883060287686e-07,1.3703540082270767e-07,0.8,34
64,E63_I1,2.4222045094434053e-06,1.3067961797597061e-06,1.3445662827212916e-06,2.982992819237384e-07,0.2,78
65,E64_I1,-0.0,1.0059266251926387e-06,1.0270661247971283e-06,2.3062126357829466e-07,1.0,57
66,E65_I1,inf,1.349657381925726e-06,1.3297285114907975e-06,3.213592468498774e-07,0.0,57
67,E66_I1,3.05207403968754e-06,1.1064472841841493e-06,1.108508081260019e-06,2.567917853040905e-07,0.2,55
68,E67_I1,4.902310964420211e-07,7.604530894919055e-07,7.427032421902713e-07,1.8091814300892084e-07,0.8,31
69,E68_I1,1.0836422724975985e-06,9.586406042051107e-07,9.443547862564764e-07,2.2736667864925033e-07,0.6,41
70,E69_I1,1.024554834117578e-06,7.098065713735298e-07,7.031216762707424e-07,1.6696637130315583e-07,0.6,32
71,E70_I1,1.0210149338757466e-06,9.99124720288594e-07,9.849015567477766e-07,2.3673873278115456e-07,0.6,43
72,E71_I1,8.243754734717991e-07,7.326436270487832e-07,7.452784422267144e-07,1.677505711275325e-07,0.6,41
73,E72_I1,8.220794855897512e-07,1.1419461976939775e-06,1.1605175853173941e-06,2.633325120177041e-07,0.6,62
74,E73_I1,1.7719434605467638e-06,9.342902566365421e-07,9.370655626149907e-07,2.177341335804974e-07,0.4,46
75,E74_I1,4.729849175552599e-07,7.646773203677509e-07,7.592392690595327e-07,1.7962287545026695e-07,0.8,35
76,E75_I1,1.9311184700040114e-06,8.632192911811007e-07,8.501807460601596e-07,2.0454824938317265e-07,0.4,37
77,E76_I1,4.1935251784914823e-07,1.0923667545676734e-06,1.095792045134898e-06,2.5433641967478426e-07,0.8,54
78,E77_I1,3.985483716972363e-07,1.4416438980832516e-06,1.4600822062993777e-06,3.34949449373685e-07,0.8,75
