,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.352777777777778,4.265833333333333,4.265833333333333,4.265833333333333,n/a,n/a
1,E0_I1,-0.0,0.0,0.0,0.0,1.0,0
2,E1_I1,-0.0,0.0,0.0,0.0,1.0,0
3,E2_I1,-0.0,0.0,0.0,0.0,1.0,0
4,E3_I1,-0.0,0.0,0.0,0.0,1.0,0
5,E4_I1,-0.0,0.0,0.0,0.0,1.0,0
6,E5_I1,-0.0,0.0,0.0,0.0,1.0,0
7,E6_I1,-0.0,0.0,0.0,0.0,1.0,0
8,E7_I1,-0.0,0.0,0.0,0.0,1.0,0
9,E8_I1,1.2270438917678313e-05,0.0,0.0,0.0,0.8,0
10,E9_I1,-0.0,0.0,0.0,0.0,1.0,0
11,E10_I1,-0.0,0.0,0.0,0.0,1.0,0
12,E11_I1,-0.0,0.0,0.0,0.0,1.0,0
13,E12_I1,-0.0,0.0,0.0,0.0,1.0,0
14,E13_I1,-0.0,0.0,0.0,0.0,1.0,0
15,E14_I1,-0.0,0.0,0.0,0.0,1.0,0
16,E15_I1,-0.0,0.0,0.0,0.0,1.0,0
17,E16_I1,-0.0,0.0,0.0,0.0,1.0,0
18,E17_I1,-0.0,0.0,0.0,0.0,1.0,0
19,E18_I1,-0.0,0.0,0.0,0.0,1.0,0
20,E19_I1,1.173603896889631e-05,0.0,0.0,0.0,0.8,0
21,E20_I1,-0.0,0.0,0.0,0.0,1.0,0
22,E21_I1,-0.0,0.0,0.0,0.0,1.0,0
23,E22_I1,-0.0,0.0,0.0,0.0,1.0,0
24,E23_I1,-0.0,0.0,0.0,0.0,1.0,0
25,E24_I1,-0.0,0.0,0.0,0.0,1.0,0
26,E25_I1,-0.0,0.0,0.0,0.0,1.0,0
27,E26_I1,-0.0,0.0,0.0,0.0,1.0,0
28,E27_I1,-0.0,0.0,0.0,0.0,1.0,0
29,E28_I1,-0.0,0.0,0.0,0.0,1.0,0
30,E29_I1,-0.0,0.0,0.0,0.0,1.0,0
31,E30_I1,1.1623683428869461e-05,0.0,0.0,0.0,0.8,0
32,E31_I1,-0.0,0.0,0.0,0.0,1.0,0
33,E32_I1,-0.0,0.0,0.0,0.0,1.0,0
34,E33_I1,-0.0,0.0,0.0,0.0,1.0,0
35,E34_I1,-0.0,0.0,0.0,0.0,1.0,0
36,E35_I1,-0.0,0.0,0.0,0.0,1.0,0
37,E36_I1,-0.0,0.0,0.0,0.0,1.0,0
38,E37_I1,1.1914319645734336e-05,0.0,0.0,0.0,0.8,0
39,E38_I1,-0.0,0.0,0.0,0.0,1.0,0
40,E39_I1,-0.0,8.442152650221304e-05,8.49101012449439e-05,5.991836123282028e-05,1.0,2
41,E40_I1,-0.0,0.0,0.0,0.0,1.0,0
42,E41_I1,-0.0,0.0,0.0,0.0,1.0,0
43,E42_I1,-0.0,0.0,0.0,0.0,1.0,0
44,E43_I1,-0.0,0.0,0.0,0.0,1.0,0
45,E44_I1,1.2821119241851752e-05,0.0,0.0,0.0,0.8,0
46,E45_I1,-0.0,0.0,0.0,0.0,1.0,0
47,E46_I1,-0.0,0.0,0.0,0.0,1.0,0
48,E47_I1,-0.0,0.0,0.0,0.0,1.0,0
49,E48_I1,-0.0,0.0,0.0,0.0,1.0,0
50,E49_I1,-0.0,0.0,0.0,0.0,1.0,0
51,E50_I1,-0.0,0.0,0.0,0.0,1.0,0
52,E51_I1,-0.0,0.0,0.0,0.0,1.0,0
53,E52_I1,-0.0,0.0,0.0,0.0,1.0,0
54,E53_I1,-0.0,0.0,0.0,0.0,1.0,0
55,E54_I1,-0.0,0.0,0.0,0.0,1.0,0
56,E55_I1,-0.0,0.0,0.0,0.0,1.0,0
57,E56_I1,-0.0,0.0,0.0,0.0,1.0,0
58,E57_I1,-0.0,0.0,0.0,0.0,1.0,0
59,E58_I1,-0.0,0.0,0.0,0.0,1.0,0
60,E59_I1,-0.0,0.0,0.0,0.0,1.0,0
61,E60_I1,-0.0,0.0,0.0,0.0,1.0,0
62,E61_I1,-0.0,0.0,0.0,0.0,1.0,0
63,E62_I1,-0.0,0.0,0.0,0.0,1.0,0
64,E63_I1,-0.0,0.0,0.0,0.0,1.0,0
65,E64_I1,-0.0,0.0,0.0,0.0,1.0,0
66,E65_I1,1.3319489470900986e-05,0.0,0.0,0.0,0.8,0
