,Experiments,LDM,SIM
0,time,4.610277777777778,6.561944444444444
1,E0_I1,4.893497878503384e-15,3.51922365842039e-14
2,E1_I1,inf,0.0
3,E2_I1,inf,5.9515081098167996e-15
4,E3_I1,inf,0.0
5,E4_I1,inf,7.107990785054475e-14
6,E5_I1,inf,1.5553985570644308e-14
7,E6_I1,inf,2.908186470677917e-14
8,E7_I1,inf,2.8240142407886417e-14
9,E8_I1,inf,8.145668589693713e-15
10,E9_I1,inf,0.0
11,E10_I1,inf,7.202730738593484e-15
12,E11_I1,inf,0.0
13,E12_I1,inf,7.380219276258923e-15
14,E13_I1,inf,8.604849188607169e-15
15,E14_I1,inf,1.0529590488970854e-14
16,E15_I1,inf,8.141986584017655e-15
17,E16_I1,inf,8.35683958002084e-15
18,E17_I1,inf,4.1590314740812096e-15
19,E18_I1,inf,0.0
20,E19_I1,inf,0.0
21,E20_I1,inf,1.8503252747319807e-14
22,E21_I1,inf,0.0
23,E22_I1,inf,2.0582335953311935e-14
24,E23_I1,inf,0.0
25,E24_I1,inf,0.0
26,E25_I1,inf,6.288788507853455e-15
27,E26_I1,inf,0.0
28,E27_I1,inf,1.3159700168248383e-14
29,E28_I1,inf,7.520539072600156e-14
30,E29_I1,inf,6.48652096860472e-15
31,E30_I1,inf,0.0
32,E31_I1,inf,9.718704149558287e-15
33,E32_I1,inf,2.842405736305425e-14
34,E33_I1,inf,5.139848158012002e-15
35,E34_I1,inf,0.0
36,E35_I1,inf,2.203131095863963e-14
37,E36_I1,inf,5.03302777827898e-15
38,E37_I1,inf,7.699764775452453e-15
39,E38_I1,inf,1.6627655335924417e-14
40,E39_I1,inf,9.039201940107864e-15
41,E40_I1,inf,6.174305804886839e-15
42,E41_I1,inf,1.9026659347643356e-14
43,E42_I1,inf,6.387662279159672e-15
44,E43_I1,inf,8.412766747673779e-14
45,E44_I1,inf,4.91870598996925e-15
46,E45_I1,inf,3.854424778439931e-14
47,E46_I1,inf,2.374663360537929e-14
48,E47_I1,inf,0.0
49,E48_I1,1.1421839888550465e-14,0.0
50,E49_I1,inf,5.08356295925451e-15
51,E50_I1,inf,8.51256921895467e-15
52,E51_I1,inf,7.459870046592673e-15
53,E52_I1,inf,8.757697381277552e-15
54,E53_I1,inf,0.0
55,E54_I1,inf,3.313431036490198e-14
56,E55_I1,inf,0.0
57,E56_I1,inf,5.4119293781002996e-15
58,E57_I1,inf,9.441900093177903e-15
59,E58_I1,inf,0.0
60,E59_I1,inf,6.82932963022016e-14
61,E60_I1,inf,1.0056192208813854e-14
62,E61_I1,inf,3.978729946234297e-15
63,E62_I1,inf,1.4587903040368287e-14
64,E63_I1,inf,1.6460490247729016e-14
65,E64_I1,inf,3.3905688557507286e-14
66,E65_I1,inf,8.932274557028467e-15
67,E66_I1,inf,3.356783696326757e-14
68,E67_I1,inf,8.476431894397907e-15
69,E68_I1,inf,1.7643282588073234e-14
70,E69_I1,inf,8.64813868985591e-15
71,E70_I1,inf,1.77923162282839e-14
72,E71_I1,inf,3.4229041432537255e-14
73,E72_I1,inf,2.6509275952452428e-14
74,E73_I1,inf,2.945784019896115e-14
75,E74_I1,inf,7.358096097542556e-15
76,E75_I1,inf,5.342046225156394e-15
77,E76_I1,inf,7.0613044350298274e-15
78,E77_I1,inf,1.1287904598786312e-14
79,E78_I1,inf,9.165406777408067e-14
80,E79_I1,inf,1.3570491276382446e-14
81,E80_I1,inf,1.7937130878133327e-13
82,E81_I1,inf,5.692161761819467e-15
83,E82_I1,inf,1.5817699463474257e-14
84,E83_I1,inf,1.772524929017821e-14
85,E84_I1,inf,1.828830613942987e-14
86,E85_I1,inf,6.7541800621349996e-15
87,E86_I1,inf,4.8714576229992445e-14
88,E87_I1,inf,6.56467062270238e-15
89,E88_I1,inf,0.0
90,E89_I1,inf,0.0
91,E90_I1,inf,0.0
92,E91_I1,inf,2.0067953637048618e-14
93,E92_I1,inf,1.2061727481100615e-14
94,E93_I1,inf,0.0
95,E94_I1,inf,1.3919561951889136e-14
96,E95_I1,inf,7.463066223274928e-15
97,E96_I1,inf,8.912097955699442e-15
98,E97_I1,inf,9.948618198663946e-15
99,E98_I1,inf,6.119382829547548e-15
100,E99_I1,inf,0.0
101,E0_I2_P0,,1.547979370628021e-14
102,E0_I2_P1,,2.0899523911086536e-14
103,E0_I2_P2,,4.3988631728516704e-14
104,E0_I2_P3,,4.440191315817855e-15
105,E0_I2_P4,,8.317060978056058e-15
106,E0_I2_P5,,5.856664787448765e-15
107,E0_I2_P6,,1.556589526870927e-14
108,E0_I2_P7,,7.774607718377894e-15
109,E0_I2_P8,,2.8788163803928286e-14
110,E0_I2_P9,,2.2239318293920875e-14
111,E0_I2_P10,,0.0
112,E0_I2_P11,,1.0769666950707754e-14
113,E0_I2_P12,,2.8730177039334455e-14
114,E0_I2_P13,,0.0
115,E0_I2_P14,,0.0
116,E0_I2_P15,,1.4137384257133165e-14
117,E0_I2_P16,,0.0
118,E0_I2_P17,,0.0
119,E0_I2_P18,,8.534706336576185e-15
120,E0_I2_P19,,1.343126906572773e-14
121,E0_I2_P20,,0.0
122,E0_I2_P21,,2.019023808374499e-14
123,E0_I2_P22,,0.0
124,E0_I2_P23,,7.438014968858485e-15
125,E0_I2_P24,,2.7343898140783666e-14
126,E0_I2_P25,,7.182551777481029e-15
127,E0_I2_P26,,1.3108655750471795e-14
128,E0_I2_P27,,2.2442062404618343e-14
129,E0_I2_P28,,0.0
130,E0_I2_P29,,5.0304584504200136e-15
131,E0_I2_P30,,9.371142028653258e-15
132,E0_I2_P31,,6.831535550952334e-15
133,E0_I2_P32,,2.1740589634415217e-14
134,E0_I2_P33,,0.0
135,E0_I2_P34,,6.712116091970125e-14
136,E0_I2_P35,,0.0
137,E0_I2_P36,,2.0857817162034173e-14
138,E0_I2_P37,,1.084044577564766e-14
139,E0_I2_P38,,5.050447611728063e-15
140,E0_I2_P39,,0.0
141,E0_I2_P40,,0.0
142,E0_I2_P41,,3.0132751179285854e-14
143,E0_I2_P42,,1.1402888387882754e-14
144,E0_I2_P43,,1.9697461373546367e-14
145,E0_I2_P44,,0.0
146,E0_I2_P45,,2.337134936578815e-14
147,E0_I2_P46,,0.0
148,E0_I2_P47,,3.415467313646827e-14
149,E0_I2_P48,,8.033536213879993e-14
150,E0_I2_P49,,1.9955497848085232e-14
151,E0_I2_P50,,1.0285157372436259e-14
152,E0_I2_P51,,0.0
153,E0_I2_P52,,1.6178447975544295e-14
154,E0_I2_P53,,2.5073194539725176e-14
155,E0_I2_P54,,3.809645408223065e-14
156,E0_I2_P55,,0.0
157,E0_I2_P56,,9.303640914990996e-15
158,E0_I2_P57,,1.5891108190657724e-14
159,E0_I2_P58,,3.79821474498903e-14
160,E0_I2_P59,,1.0006004941011775e-14
161,E0_I2_P60,,0.0
162,E0_I2_P61,,0.0
163,E0_I2_P62,,7.106202303693322e-15
164,E0_I2_P63,,1.410338869077359e-14
165,E0_I2_P64,,9.649058714971838e-13
166,E0_I2_P65,,0.0
167,E0_I2_P66,,5.307124410062667e-15
168,E0_I2_P67,,0.0
169,E0_I2_P68,,1.805242378793722e-14
170,E0_I2_P69,,0.0
171,E0_I2_P70,,1.2203529065977874e-14
172,E0_I2_P71,,9.566851291955207e-15
173,E0_I2_P72,,1.0662883282557906e-14
174,E0_I2_P73,,2.1046252581782562e-14
175,E0_I2_P74,,1.101314037845321e-14
176,E0_I2_P75,,7.138183138574444e-15
177,E0_I2_P76,,0.0
178,E0_I2_P77,,0.0
179,E0_I2_P78,,0.0
180,E0_I2_P79,,0.0
181,E0_I2_P80,,2.1288166999884664e-14
182,E0_I2_P81,,0.0
183,E0_I2_P82,,2.032450601274351e-14
184,E0_I2_P83,,1.9323742806659795e-14
185,E0_I2_P84,,1.0955400041569902e-14
186,E0_I2_P85,,0.0
187,E0_I2_P86,,8.074024216981004e-15
188,E0_I2_P87,,1.762023904521593e-14
189,E0_I2_P88,,1.0371681361126846e-14
190,E0_I2_P89,,0.0
191,E0_I2_P90,,1.8039579078488036e-14
192,E0_I2_P91,,0.0
193,E0_I2_P92,,6.863118409236283e-15
194,E0_I2_P93,,0.0
195,E0_I2_P94,,6.37680059501176e-15
196,E0_I2_P95,,0.0
197,E0_I2_P96,,1.6253684476368737e-14
198,E0_I2_P97,,0.0
199,E0_I2_P98,,2.348463645385605e-14
200,E0_I2_P99,,0.0
201,E1_I2_P0,,6.3817586088092634e-15
202,E1_I2_P1,,2.7416682775781745e-14
203,E1_I2_P2,,7.027936309466853e-14
204,E1_I2_P3,,0.0
205,E1_I2_P4,,2.0451110440580292e-14
206,E1_I2_P5,,1.609545996719579e-14
207,E1_I2_P6,,0.0
208,E1_I2_P7,,6.2030353792567226e-15
209,E1_I2_P8,,0.0
210,E1_I2_P9,,6.687423268049783e-14
211,E1_I2_P10,,1.5941569125554632e-14
212,E1_I2_P11,,5.8767380817797535e-15
213,E1_I2_P12,,1.0774067977429004e-14
214,E1_I2_P13,,1.4854463994013542e-13
215,E1_I2_P14,,0.0
216,E1_I2_P15,,0.0
217,E1_I2_P16,,1.2012548235171538e-14
218,E1_I2_P17,,1.3697840913453097e-14
219,E1_I2_P18,,0.0
220,E1_I2_P19,,0.0
221,E1_I2_P20,,2.657348937420534e-14
222,E1_I2_P21,,6.230582727448415e-15
223,E1_I2_P22,,1.908884471752286e-14
224,E1_I2_P23,,9.619071960564293e-14
225,E1_I2_P24,,1.6478416159738515e-14
226,E1_I2_P25,,1.014669267726252e-14
227,E1_I2_P26,,8.838103663464193e-15
228,E1_I2_P27,,1.9033558560071618e-14
229,E1_I2_P28,,4.6855635021611235e-14
230,E1_I2_P29,,7.021448933565959e-14
231,E1_I2_P30,,8.819788193283432e-15
232,E1_I2_P31,,6.523581118564579e-15
233,E1_I2_P32,,1.3573234316790935e-14
234,E1_I2_P33,,1.2261372174532478e-14
235,E1_I2_P34,,1.693618170897875e-14
236,E1_I2_P35,,1.466701774403615e-14
237,E1_I2_P36,,8.553576974523701e-15
238,E1_I2_P37,,2.2430702304267607e-14
239,E1_I2_P38,,0.0
240,E1_I2_P39,,0.0
241,E1_I2_P40,,0.0
242,E1_I2_P41,,7.072423901873203e-15
243,E1_I2_P42,,9.340242309064957e-15
244,E1_I2_P43,,0.0
245,E1_I2_P44,,2.630423654147986e-14
246,E1_I2_P45,,0.0
247,E1_I2_P46,,8.797618547586744e-15
248,E1_I2_P47,,9.408243520496648e-15
249,E1_I2_P48,,1.8509572798734256e-14
250,E1_I2_P49,,3.2346866596463156e-14
251,E1_I2_P50,,0.0
252,E1_I2_P51,,6.359885495021554e-14
253,E1_I2_P52,,6.2059896527325256e-15
254,E1_I2_P53,,9.778852244153624e-15
255,E1_I2_P54,,1.3337139484062432e-14
256,E1_I2_P55,,6.338858181850519e-15
257,E1_I2_P56,,2.1484861755914015e-14
258,E1_I2_P57,,7.909605204102534e-15
259,E1_I2_P58,,7.424548925919016e-15
260,E1_I2_P59,,1.5687966646553037e-14
261,E1_I2_P60,,7.431699891608681e-15
262,E1_I2_P61,,0.0
263,E1_I2_P62,,0.0
264,E1_I2_P63,,7.617919045965105e-15
265,E1_I2_P64,,0.0
266,E1_I2_P65,,6.04754334350371e-14
267,E1_I2_P66,,1.6972826484998423e-14
268,E1_I2_P67,,0.0
269,E1_I2_P68,,7.629277937294613e-15
270,E1_I2_P69,,0.0
271,E1_I2_P70,,0.0
272,E1_I2_P71,,0.0
273,E1_I2_P72,,9.710426173848184e-15
274,E1_I2_P73,,4.251041937656079e-14
275,E1_I2_P74,,0.0
276,E1_I2_P75,,9.012330052705958e-15
277,E1_I2_P76,,6.554022710585184e-15
278,E1_I2_P77,,0.0
279,E1_I2_P78,,1.963122749438803e-14
280,E1_I2_P79,,1.0136018031611823e-14
281,E1_I2_P80,,8.501861246107865e-15
282,E1_I2_P81,,6.865990332845109e-15
283,E1_I2_P82,,2.0073912575329236e-14
284,E1_I2_P83,,4.516651662270617e-14
285,E1_I2_P84,,0.0
286,E1_I2_P85,,0.0
287,E1_I2_P86,,1.9832147018114115e-14
288,E1_I2_P87,,0.0
289,E1_I2_P88,,7.224724097411343e-15
290,E1_I2_P89,,0.0
291,E1_I2_P90,,4.864455216527197e-14
292,E1_I2_P91,,0.0
293,E1_I2_P92,,1.6697572915116975e-14
294,E1_I2_P93,,9.355716084014084e-15
295,E1_I2_P94,,2.5654813160881556e-14
296,E1_I2_P95,,0.0
297,E1_I2_P96,,1.450515008552232e-14
298,E1_I2_P97,,1.3316695717552074e-14
299,E1_I2_P98,,5.073974788285133e-14
300,E1_I2_P99,,1.123820306477118e-13
301,E2_I2_P0,,0.0
302,E2_I2_P1,,8.152445571749012e-15
303,E2_I2_P2,,2.589234537878317e-14
304,E2_I2_P3,,1.2711753940159958e-13
305,E2_I2_P4,,1.3259701828719034e-14
306,E2_I2_P5,,0.0
307,E2_I2_P6,,1.5856802238227896e-14
308,E2_I2_P7,,0.0
309,E2_I2_P8,,0.0
