,Experiments,LDM,SIM
0,time,4.610277777777778,6.561944444444444
1,E0_I1,8.01598022327898e-15,0.0
2,E1_I1,1.0955201436641741e-14,0.0
3,E2_I1,1.1972241474589664e-14,0.0
4,E3_I1,9.238689922653543e-15,0.0
5,E4_I1,1.811644251454019e-14,1.443539468871728e-14
6,E5_I1,5.153875213599311e-15,1.52718627658908e-14
7,E6_I1,1.4899654866660284e-14,0.0
8,E7_I1,9.515156522509975e-15,0.0
9,E8_I1,7.323621479329309e-15,2.02619912076923e-14
10,E9_I1,1.786880949998799e-14,4.222427700963398e-14
11,E10_I1,1.8655289959305877e-14,0.0
12,E11_I1,1.2334384950354089e-14,0.0
13,E12_I1,9.498512822450836e-15,0.0
14,E13_I1,5.762470508509332e-15,0.0
15,E14_I1,8.141441554558873e-15,0.0
16,E15_I1,1.1775041997008852e-14,2.3357112697489324e-14
17,E16_I1,8.258226486681562e-15,0.0
18,E17_I1,1.7752065777951146e-14,0.0
19,E18_I1,1.7814304412468048e-14,0.0
20,E19_I1,1.3383927180029922e-14,0.0
21,E20_I1,1.055717301588939e-14,1.3697787467796335e-14
22,E21_I1,5.428345428111991e-15,0.0
23,E22_I1,1.0812249873293921e-14,5.069648965441536e-13
24,E23_I1,1.0860334267122927e-14,0.0
25,E24_I1,1.1066327012585308e-14,3.050724580978965e-14
26,E25_I1,8.9682412250556e-15,0.0
27,E26_I1,9.055761961834366e-15,1.077292779050648e-14
28,E27_I1,1.3232049100573535e-14,0.0
29,E28_I1,inf,0.0
30,E29_I1,6.687078142982826e-15,0.0
31,E30_I1,1.30707779122557e-14,0.0
32,E31_I1,1.157585400422752e-14,0.0
33,E32_I1,7.384603169511574e-15,0.0
34,E33_I1,1.0698067082603164e-14,0.0
35,E34_I1,1.9869262155013912e-14,0.0
36,E35_I1,8.916869355567007e-15,0.0
37,E36_I1,7.686128322305902e-15,0.0
38,E37_I1,1.3832645032595843e-14,0.0
39,E38_I1,7.857881946804213e-15,1.735656913805232e-13
40,E39_I1,1.3225366863432219e-14,0.0
41,E40_I1,7.310259277256359e-15,1.7126003107276913e-14
42,E41_I1,9.481248129887521e-15,0.0
43,E42_I1,9.81742039489291e-15,2.38899104847505e-14
44,E43_I1,6.3412722125097714e-15,0.0
45,E44_I1,9.429025298552897e-15,1.2511202501285068e-12
46,E45_I1,6.425624923142281e-15,0.0
47,E46_I1,1.3088021735565581e-14,1.1153996380574966e-14
48,E47_I1,1.8527126714906806e-14,0.0
49,E48_I1,1.0689423821970217e-14,0.0
50,E49_I1,7.939183108680751e-15,1.8892479491593874e-14
51,E50_I1,6.408003413261041e-15,1.2359070458844354e-14
52,E51_I1,8.642469735168394e-15,0.0
53,E52_I1,6.700721297010956e-15,0.0
54,E53_I1,9.109333389582046e-15,0.0
55,E54_I1,1.1269637389242665e-14,3.599986893649735e-14
56,E55_I1,1.0840969218109758e-14,2.870276946628364e-14
57,E56_I1,1.2020753927831602e-14,1.880625365030066e-14
58,E57_I1,1.921957507601127e-14,0.0
59,E58_I1,5.5802720246890104e-15,1.561655997673088e-14
60,E59_I1,8.332393038564168e-15,0.0
61,E60_I1,1.1897095174240881e-14,0.0
62,E61_I1,1.6012895027320464e-14,1.628869062591833e-14
63,E62_I1,1.0331384990049613e-14,4.352310812419345e-14
64,E63_I1,1.154526593475033e-14,0.0
65,E64_I1,1.0648298425248075e-14,5.820108242202676e-14
66,E65_I1,2.2518731550683776e-14,0.0
67,E66_I1,1.1846073352670569e-14,1.1146463017309202e-13
68,E67_I1,1.1059873140899819e-14,1.0598486933275913e-13
69,E68_I1,5.917177953950074e-15,1.2393775027643196e-14
70,E69_I1,6.576197915186894e-15,0.0
71,E70_I1,8.175831815245045e-15,0.0
72,E71_I1,1.327659764813848e-14,0.0
73,E72_I1,1.7660444370483655e-14,0.0
74,E73_I1,1.9170843700375266e-14,0.0
75,E74_I1,7.445643975663186e-15,0.0
76,E75_I1,1.0412404330639707e-14,2.0307528754762573e-14
77,E76_I1,7.679079067745972e-15,0.0
78,E77_I1,1.1663536745080774e-14,2.5637976204648142e-14
79,E78_I1,7.908845921709682e-15,2.0486112223041e-14
80,E79_I1,1.4401979993021355e-14,0.0
81,E80_I1,8.395060686866911e-15,0.0
82,E81_I1,6.8342596105350986e-15,0.0
83,E82_I1,1.2767088803277854e-14,3.712263789911534e-14
84,E83_I1,1.0712269200473835e-14,1.5811676191972673e-13
85,E84_I1,1.0004591102087189e-14,1.0790126858805868e-14
86,E85_I1,1.903107449801707e-14,0.0
87,E86_I1,7.882596637242653e-15,0.0
88,E87_I1,1.243928507688908e-14,0.0
89,E88_I1,3.77472825514338e-15,0.0
90,E89_I1,8.435762467196247e-15,0.0
91,E90_I1,1.151908415332252e-14,0.0
92,E91_I1,6.58644289962163e-15,2.5366203350353984e-14
93,E92_I1,1.0310889205865866e-14,0.0
94,E93_I1,7.639037583811622e-15,0.0
95,E94_I1,1.5797656285542753e-14,4.048279645963778e-14
96,E95_I1,1.0535716713868979e-14,0.0
97,E96_I1,1.2412796970989276e-14,0.0
98,E97_I1,9.528560890218658e-15,0.0
99,E98_I1,1.0758544317942149e-14,0.0
100,E99_I1,8.835024614245378e-15,1.7382806819067564e-14
101,E0_I2_P0,,0.0
102,E0_I2_P1,,0.0
103,E0_I2_P2,,4.913140049242555e-14
104,E0_I2_P3,,3.5965315441715326e-14
105,E0_I2_P4,,0.0
106,E0_I2_P5,,0.0
107,E0_I2_P6,,0.0
108,E0_I2_P7,,0.0
109,E0_I2_P8,,3.517873781607274e-14
110,E0_I2_P9,,2.854584323109476e-14
111,E0_I2_P10,,0.0
112,E0_I2_P11,,3.8854460136678455e-14
113,E0_I2_P12,,0.0
114,E0_I2_P13,,0.0
115,E0_I2_P14,,0.0
116,E0_I2_P15,,0.0
117,E0_I2_P16,,0.0
118,E0_I2_P17,,0.0
119,E0_I2_P18,,0.0
120,E0_I2_P19,,2.418130081144819e-14
121,E0_I2_P20,,0.0
122,E0_I2_P21,,1.949055793564513e-14
123,E0_I2_P22,,0.0
124,E0_I2_P23,,3.1352658024605576e-14
125,E0_I2_P24,,7.617410323174887e-14
126,E0_I2_P25,,1.5232524601466526e-14
127,E0_I2_P26,,2.2227861112359665e-14
128,E0_I2_P27,,0.0
129,E0_I2_P28,,0.0
130,E0_I2_P29,,0.0
131,E0_I2_P30,,0.0
132,E0_I2_P31,,0.0
133,E0_I2_P32,,3.909090148361323e-14
134,E0_I2_P33,,0.0
135,E0_I2_P34,,0.0
136,E0_I2_P35,,0.0
137,E0_I2_P36,,1.7288766228186665e-14
138,E0_I2_P37,,0.0
139,E0_I2_P38,,0.0
140,E0_I2_P39,,0.0
141,E0_I2_P40,,0.0
142,E0_I2_P41,,0.0
143,E0_I2_P42,,0.0
144,E0_I2_P43,,2.6388286195827113e-14
