,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,4.610277777777778,6.561944444444444,6.561944444444444,6.561944444444444,n/a,n/a
1,E0_I1,inf,1.29180980697688e-14,1.2916841848920053e-14,1.9117411810293084e-15,0.0,94
2,E1_I1,inf,6.855640085519908e-15,6.8562128202461945e-15,1.014377303453947e-15,0.0,50
3,E2_I1,inf,1.018314489521754e-14,1.0181074284098334e-14,1.5071563064507033e-15,0.0,74
4,E3_I1,inf,6.085595696128554e-15,6.081909281547676e-15,9.010604286438667e-16,0.0,44
5,E4_I1,inf,6.999126501201583e-15,6.999205916183721e-15,1.0356828097045714e-15,0.0,51
6,E5_I1,inf,1.1736107787092622e-14,1.1730601375122104e-14,1.7374644644307665e-15,0.0,85
7,E6_I1,inf,8.434778135568604e-15,8.429832803525448e-15,1.24886647972976e-15,0.0,61
8,E7_I1,inf,1.179983517129554e-14,1.1800179197341955e-14,1.7460286343422e-15,0.0,86
9,E8_I1,inf,8.597041837678515e-15,8.601007519115375e-15,1.2715587874939204e-15,0.0,63
10,E9_I1,inf,1.1835162106406838e-14,1.1832700208578004e-14,1.7516712636513337e-15,0.0,86
11,E10_I1,inf,8.694777415510585e-15,8.69099014341082e-15,1.2871677041095007e-15,0.0,63
12,E11_I1,inf,6.525716244628439e-15,6.5306538554051296e-15,9.649100520001426e-16,0.0,48
13,E12_I1,inf,6.747020026664654e-15,6.745315676281007e-15,9.986402927257376e-16,0.0,49
14,E13_I1,inf,8.248748954463734e-15,8.247693851597459e-15,1.2207637314623725e-15,0.0,60
15,E14_I1,inf,7.442688009217431e-15,7.44024078031785e-15,1.1016928356382426e-15,0.0,54
16,E15_I1,inf,1.0476834906870288e-14,1.0473235332987719e-14,1.5508406060091127e-15,0.0,76
17,E16_I1,inf,9.93811055580083e-15,9.944557988950856e-15,1.4696360020717869e-15,0.0,73
18,E17_I1,inf,7.421996248207928e-15,7.421195209116049e-15,1.0983872999456112e-15,0.0,54
19,E18_I1,inf,6.8729318404262775e-15,6.872131401220114e-15,1.0171388190713887e-15,0.0,50
20,E19_I1,inf,7.758563724629474e-15,7.763703001854559e-15,1.1473116790077356e-15,0.0,57
21,E20_I1,inf,1.4041967602376418e-14,1.4049507716322133e-14,2.0767392953530105e-15,0.0,103
22,E21_I1,inf,8.387846976380369e-15,8.386640092323271e-15,1.2413674233108074e-15,0.0,61
23,E22_I1,inf,1.25940017315735e-14,1.2596651456240188e-14,1.8631975537813768e-15,0.0,92
24,E23_I1,inf,4.25216742066538e-15,4.2523892474951945e-15,6.291805624718453e-16,0.0,31
25,E24_I1,inf,7.415864310284195e-15,7.415539852751372e-15,1.0974060883237985e-15,0.0,54
26,E25_I1,inf,7.531910546365496e-15,7.533275464422991e-15,1.1143308177544928e-15,0.0,55
27,E26_I1,inf,7.281997729741585e-15,7.281414153761758e-15,1.0776387855970035e-15,0.0,53
28,E27_I1,inf,5.089183943915479e-15,5.088336944506656e-15,7.531963183637149e-16,0.0,37
29,E28_I1,inf,6.1756682290294975e-15,6.1757375252202706e-15,9.138321528203906e-16,0.0,45
30,E29_I1,inf,8.522979552466842e-15,8.521944057815188e-15,1.2613390895014522e-15,0.0,62
31,E30_I1,inf,9.87625184947804e-15,9.876749206738604e-15,1.4613628795927352e-15,0.0,72
32,E31_I1,inf,8.12012531572121e-15,8.11838213838889e-15,1.2018319961207446e-15,0.0,59
33,E32_I1,inf,1.117087956636574e-14,1.1166665323180547e-14,1.6536337415280588e-15,0.0,81
34,E33_I1,inf,1.1316263874150904e-14,1.1322278433424096e-14,1.6736328293547045e-15,0.0,83
35,E34_I1,inf,9.881364222853441e-15,9.881449381102023e-15,1.4621781661363892e-15,0.0,72
36,E35_I1,inf,9.840873663226056e-15,9.844171560015872e-15,1.455714143182883e-15,0.0,72
37,E36_I1,inf,8.886732783726603e-15,8.889501365574844e-15,1.3146027494432046e-15,0.0,65
38,E37_I1,inf,1.0754772528276276e-14,1.0750895059429095e-14,1.592007807760355e-15,0.0,78
39,E38_I1,inf,1.3282578036501008e-14,1.328506860820959e-14,1.96512003925703e-15,0.0,97
40,E39_I1,inf,1.2676154061284853e-14,1.267229742438152e-14,1.876321342906594e-15,0.0,92
41,E40_I1,inf,1.069018751904907e-14,1.0691449177044817e-14,1.5816927599187552e-15,0.0,78
42,E41_I1,inf,1.0548863810865531e-14,1.0550447775557436e-14,1.560732852549364e-15,0.0,77
43,E42_I1,inf,1.1135009317733343e-14,1.113365049669196e-14,1.647903290399243e-15,0.0,81
44,E43_I1,inf,9.951828024130844e-15,9.957197217471411e-15,1.4718255055197384e-15,0.0,73
45,E44_I1,inf,1.170238654039838e-14,1.1699567459246099e-14,1.7320765212398838e-15,0.0,85
46,E45_I1,inf,8.236389522079934e-15,8.236308434226676e-15,1.2187883771844881e-15,0.0,60
47,E46_I1,inf,1.4160793189536742e-14,1.4158949333483114e-14,2.095715241590508e-15,0.0,103
48,E47_I1,inf,9.787671057136343e-15,9.784299048745761e-15,1.4488276527196583e-15,0.0,71
49,E48_I1,inf,5.890513350847082e-15,5.891427170970386e-15,8.71511960878152e-16,0.0,43
50,E49_I1,inf,7.068631650689954e-15,7.06316754614744e-15,1.0467881614937759e-15,0.0,51
51,E50_I1,inf,1.0546884887524789e-14,1.0548625510946027e-14,1.5604168585813674e-15,0.0,77
52,E51_I1,inf,8.362362148383885e-15,8.363181033950224e-15,1.237297744006221e-15,0.0,61
53,E52_I1,inf,9.205258939670835e-15,9.204544171239525e-15,1.3622525602261167e-15,0.0,67
54,E53_I1,inf,7.814407332943261e-15,7.815139468577202e-15,1.1562265513375713e-15,0.0,57
55,E54_I1,inf,1.1751641799463109e-14,1.1755789855786635e-14,1.73833180480262e-15,0.0,86
56,E55_I1,inf,4.6643562745446385e-15,4.664544474617585e-15,6.901789183158404e-16,0.0,34
57,E56_I1,inf,1.2020084594610161e-14,1.2024721662636778e-14,1.777985344753384e-15,0.0,88
58,E57_I1,inf,9.254354735616297e-15,9.249718285469973e-15,1.3700942341594304e-15,0.0,67
59,E58_I1,inf,7.513744331809643e-15,7.516544295805666e-15,1.111430321153585e-15,0.0,55
60,E59_I1,inf,1.0036147229492905e-14,1.0034851412637802e-14,1.485289822359835e-15,0.0,73
61,E60_I1,inf,9.469703561762996e-15,9.469787175660066e-15,1.401265325593139e-15,0.0,69
62,E61_I1,inf,9.629212159344552e-15,9.627528637660432e-15,1.4251300426764512e-15,0.0,70
63,E62_I1,inf,1.59091148271743e-14,1.5910133831396563e-14,2.354000560461271e-15,0.0,116
64,E63_I1,inf,9.900409414180604e-15,9.898990156613686e-15,1.465221455354637e-15,0.0,72
65,E64_I1,inf,8.659595131106426e-15,8.658613818782152e-15,1.2815477592540645e-15,0.0,63
66,E65_I1,inf,1.4016665833675294e-14,1.4015370143035018e-14,2.0743076727207537e-15,0.0,102
67,E66_I1,inf,2.039896233694174e-14,2.0403123723466497e-14,3.0179210891580832e-15,0.0,149
68,E67_I1,inf,1.1648280885634676e-14,1.1649752179266574e-14,1.7234338635763244e-15,0.0,85
69,E68_I1,inf,1.4247864543488764e-14,1.4250003885109403e-14,2.1080112152166e-15,0.0,104
70,E69_I1,inf,8.091465564011547e-15,8.091996733383938e-15,1.1972541018109084e-15,0.0,59
71,E70_I1,inf,9.326738280881325e-15,9.327276202575163e-15,1.3800434138591584e-15,0.0,68
72,E71_I1,inf,1.0251823032734323e-14,1.0255187023495866e-14,1.5165147879061176e-15,0.0,75
73,E72_I1,inf,1.1132579275134764e-14,1.1131413021240762e-14,1.6475150506219871e-15,0.0,81
74,E73_I1,inf,1.0368908525859134e-14,1.0373863891485085e-14,1.533605220948536e-15,0.0,76
75,E74_I1,inf,6.972049808671125e-15,6.974271998701383e-15,1.0313591635018766e-15,0.0,51
76,E75_I1,inf,1.21166434325735e-14,1.2124481786938277e-14,1.791799038550741e-15,0.0,89
77,E76_I1,inf,1.0252974288246032e-14,1.0256247939691539e-14,1.5166986872779213e-15,0.0,75
78,E77_I1,inf,6.4305914374031e-15,6.432214693986919e-15,9.513253909597906e-16,0.0,47
79,E78_I1,inf,1.0327398189999072e-14,1.0324771560870752e-14,1.5285846582070748e-15,0.0,75
80,E79_I1,inf,8.864739271930464e-15,8.858339378682347e-15,1.3127053481930958e-15,0.0,64
81,E80_I1,inf,1.5285670035978463e-14,1.528169461204544e-14,2.2624845454911318e-15,0.0,111
82,E81_I1,inf,9.26175695981628e-15,9.267422072170136e-15,1.3696685536082856e-15,0.0,68
83,E82_I1,inf,1.1624989659994467e-14,1.1628307304584928e-14,1.7197155868368185e-15,0.0,85
84,E83_I1,inf,1.5234216091337354e-14,1.523433360309642e-14,2.2542663596555716e-15,0.0,111
85,E84_I1,inf,1.3733031576088495e-14,1.3721503434249955e-14,2.0338512803250583e-15,0.0,99
86,E85_I1,inf,6.719818989386686e-15,6.7202775764170924e-15,9.94295979925794e-16,0.0,49
87,E86_I1,inf,1.1278806332031002e-14,1.1287763031682543e-14,1.6676546526266736e-15,0.0,83
88,E87_I1,inf,6.730079442238497e-15,6.729725112070712e-15,9.959348224438942e-16,0.0,49
89,E88_I1,inf,8.277370230213766e-15,8.274035156051612e-15,1.2253360112245035e-15,0.0,60
90,E89_I1,inf,6.9910148107877264e-15,6.991735756122755e-15,1.0343871275412294e-15,0.0,51
91,E90_I1,inf,6.45906985313044e-15,6.4584372028962995e-15,9.558734149938748e-16,0.0,47
92,E91_I1,inf,1.562835619060671e-14,1.5629855865364613e-14,2.3123797283139482e-15,0.0,114
93,E92_I1,inf,7.710869178877068e-15,7.708926191833102e-15,1.1413021485777118e-15,0.0,56
94,E93_I1,inf,8.204437514584307e-15,8.206891061421371e-15,1.2136870433982936e-15,0.0,60
95,E94_I1,inf,8.399120088303551e-15,8.397017680329226e-15,1.243168458225659e-15,0.0,61
96,E95_I1,inf,7.892506307259046e-15,7.897906831203244e-15,1.1670932989559554e-15,0.0,58
97,E96_I1,inf,8.62693019599365e-15,8.628533002072332e-15,1.2763300549798414e-15,0.0,63
98,E97_I1,inf,9.66024412262455e-15,9.666955338339276e-15,1.4284801967153351e-15,0.0,71
99,E98_I1,inf,6.187307684906629e-15,6.186456028074071e-15,9.156917739147715e-16,0.0,45
100,E99_I1,inf,8.793831311059749e-15,8.793073933860595e-15,1.3013730371097913e-15,0.0,64
101,E0_I2_P0,,1.4058964992145907e-14,1.4054292672619884e-14,2.081062945283631e-15,,102
102,E0_I2_P1,,1.1379921591808083e-14,1.1380910659268558e-14,1.6837964943359157e-15,,83
103,E0_I2_P2,,1.2230046920003048e-14,1.2228929892035158e-14,1.809906048692476e-15,,89
104,E0_I2_P3,,1.1047522090532292e-14,1.1053083729777392e-14,1.6339334902857184e-15,,81
105,E0_I2_P4,,1.488470656261157e-14,1.487987300386439e-14,2.203280023838742e-15,,108
