,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,3.226111111111111,6.273611111111111,6.273611111111111,6.273611111111111,n/a,n/a
1,E0_I1,1.2577480835754963e-06,2.4827722200996015e-06,6.732248920748047e-07,4.776904831764731e-07,0.66,33
2,E1_I1,1.1745465940322577e-06,2.9075756500544e-06,7.640318720229175e-07,5.723112152207388e-07,0.71,35
3,E2_I1,9.466456369470045e-07,2.77299221383153e-06,7.844343993432422e-07,5.297580176624501e-07,0.7,41
4,E3_I1,9.676516973595448e-07,2.514922197185028e-06,7.180386898909768e-07,4.803914591672753e-07,0.72,38
5,E4_I1,1.428034034640782e-06,5.382899463789804e-06,1.4087097180104766e-06,1.1376755414800966e-06,0.68,59
6,E5_I1,1.0083294531782616e-06,2.0048782143394718e-06,5.055393180190953e-07,3.8081839358801666e-07,0.73,23
7,E6_I1,1.1503869152068384e-06,3.571965178811846e-05,3.462340570438592e-05,2.3007768183467336e-05,0.67,1849
8,E7_I1,6.694785021761599e-07,1.6291855658363926e-06,4.3543341702454213e-07,3.017751838256716e-07,0.79,22
9,E8_I1,8.948886306391025e-07,2.7920945656816625e-06,7.597504463175917e-07,5.41846963264789e-07,0.75,37
10,E9_I1,9.750180143132028e-07,1.4374685060253715e-06,3.807798772169286e-07,2.6645878076159775e-07,0.71,19
11,E10_I1,1.1676306980326982e-06,1.1424870908862936e-05,3.832942243815524e-06,2.8789843382176494e-06,0.71,175
12,E11_I1,1.0148356527229957e-06,1.593085259428587e-06,4.0177743726275794e-07,3.0651938901811367e-07,0.75,18
13,E12_I1,6.343426581961605e-07,2.512204377116296e-06,7.067045895547982e-07,4.866975576806113e-07,0.81,36
14,E13_I1,1.267337453141905e-06,2.9815655101526176e-06,8.104783086290793e-07,5.835301006842348e-07,0.67,39
15,E14_I1,7.697496549991763e-07,1.6062778089787992e-06,4.5561869135864435e-07,2.9674647211006756e-07,0.75,25
16,E15_I1,9.238117307886285e-07,1.975685635044509e-06,5.3637720778812e-07,3.72797118383824e-07,0.72,27
17,E16_I1,1.0585137029057747e-06,9.390591044571716e-07,2.436573247538712e-07,1.7225078184089598e-07,0.71,12
18,E17_I1,1.1415441461235978e-06,2.4989427271815408e-06,7.138037748608691e-07,4.754464243739652e-07,0.67,38
19,E18_I1,9.000920004662697e-07,2.3128280837150487e-06,6.038021753318232e-07,4.4781284432409564e-07,0.77,28
20,E19_I1,1.0114268541089902e-06,8.283796638292268e-06,2.7030894719620613e-06,1.9123328344093043e-06,0.73,133
21,E20_I1,9.737301298943849e-07,1.4896968274418786e-06,3.8687909725019065e-07,2.7410381313677704e-07,0.73,19
22,E21_I1,1.0382245446139085e-06,4.742883773596793e-06,1.4499535526930936e-06,9.771119644045736e-07,0.7,76
23,E22_I1,9.78678200833009e-07,5.979518624978035e-06,1.7642067318637828e-06,1.2809329342797552e-06,0.73,84
