,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.620833333333333,4.5744444444444445,4.5744444444444445,4.5744444444444445,n/a,n/a
1,E0_I1,9.816878565439822e-07,5.888013800478723e-07,1.0982143769565774e-06,1.280379095279875e-07,0.38,55
2,E1_I1,7.064152617191972e-07,5.956661022066066e-07,1.1096621741568743e-06,1.3085423689135863e-07,0.54,51
3,E2_I1,1.0569355572641e-06,5.753855795399125e-07,1.0729527640189552e-06,1.2471040655838416e-07,0.36,55
4,E3_I1,9.442925931549768e-07,5.1521483879928e-07,9.601162527651528e-07,1.1227475054705627e-07,0.42,47
5,E4_I1,1.0408541836558146e-06,4.844213506022862e-07,9.014396086787863e-07,1.0644835197538286e-07,0.42,41
6,E5_I1,1.151936254082748e-06,6.562627779946926e-07,1.221911094957355e-06,1.4521337431907522e-07,0.38,53
7,E6_I1,1.100352012936516e-06,5.809933424281175e-07,1.0831063927893891e-06,1.24354785541779e-07,0.31,61
8,E7_I1,8.300507757595709e-07,5.823580523252529e-07,1.087003916362171e-06,1.2568202929307525e-07,0.44,58
9,E8_I1,1.2689534048818884e-06,5.48073248235455e-07,1.020595823987914e-06,1.203193337745871e-07,0.33,47
10,E9_I1,9.230664563789585e-07,6.278550352181351e-07,1.1715174367324496e-06,1.325378784640992e-07,0.35,74
11,E10_I1,1.2030061281485566e-06,5.497727667028477e-07,1.0228412150895698e-06,1.206194113237167e-07,0.34,47
12,E11_I1,7.931785552555195e-07,4.1710296997577504e-07,7.780251218072056e-07,8.954604636874582e-08,0.46,43
13,E12_I1,7.47432240230605e-07,5.600555039237136e-07,1.0458921309963475e-06,1.2059547623762692e-07,0.46,57
14,E13_I1,9.825355999033382e-07,6.145516097174165e-07,1.1483622770012307e-06,1.3202648192361965e-07,0.35,64
15,E14_I1,8.881197111005692e-07,6.766034230309838e-07,1.2665336384060326e-06,1.4375156775388123e-07,0.35,78
16,E15_I1,1.011708809342074e-06,5.164858555900869e-07,9.641482870390081e-07,1.1104551302370675e-07,0.36,53
17,E16_I1,1.0541129056228457e-06,4.021107428177173e-07,7.477508568670151e-07,8.830310243335201e-08,0.41,34
18,E17_I1,1.2992714628393017e-06,4.5145686255332665e-07,8.400095606296871e-07,9.892233565626599e-08,0.33,39
19,E18_I1,1.08893738917671e-06,4.921884552928843e-07,9.176654208933311e-07,1.066730867893372e-07,0.37,47
20,E19_I1,9.122720230133296e-07,5.475643735679507e-07,1.020947586654773e-06,1.1906963568907945e-07,0.41,51
21,E20_I1,7.540847378530403e-07,5.56713624668751e-07,1.040245637100685e-06,1.1932501571501002e-07,0.44,59
22,E21_I1,8.138248105920653e-07,5.183109629058808e-07,9.664707931838674e-07,1.1249631650326277e-07,0.46,49
23,E22_I1,8.757542102669288e-07,5.049711293474562e-07,9.425739536925117e-07,1.0772557455029561e-07,0.39,55
24,E23_I1,1.1176878786430803e-06,6.082703861082783e-07,1.132419150315785e-06,1.342565498841392e-07,0.39,50
25,E24_I1,1.1620137918804181e-06,6.768359127012614e-07,1.259108605900095e-06,1.4949203581461874e-07,0.38,55
26,E25_I1,1.3600119868473287e-06,4.4063328255600465e-07,8.180347853240742e-07,9.817520142379182e-08,0.35,33
27,E26_I1,8.005399242245286e-07,6.445904522260691e-07,1.205901990274306e-06,1.3717147387327448e-07,0.4,73
28,E27_I1,1.1000513291501019e-06,6.210984715845171e-07,1.1557931193477893e-06,1.3740466085179263e-07,0.41,50
29,E28_I1,9.527775748712036e-07,5.203437652406594e-07,9.718538403767774e-07,1.1125218771467203e-07,0.38,56
