,LDM,SIM,ASM,TDR
0,2.352777778,3.469722222,3.469722222,3.469722222
1,1.04E-06,2.53E-06,2.44E-06,7.36E-07
2,1.03E-06,6.39E-07,6.57E-07,1.76E-07
3,1.09E-06,8.36E-07,8.79E-07,2.31E-07
4,8.29E-07,1.75E-07,1.75E-07,4.80E-08
5,9.16E-07,5.75E-07,5.80E-07,1.59E-07
6,7.44E-07,2.63E-06,2.62E-06,7.34E-07
7,9.84E-07,2.28E-07,2.31E-07,6.49E-08
8,9.05E-07,6.53E-07,6.72E-07,1.85E-07
9,1.35E-06,5.26E-07,5.17E-07,1.48E-07
10,7.95E-07,6.14E-07,6.15E-07,1.72E-07
11,1.07E-06,1.05E-06,1.07E-06,2.91E-07
12,1.16E-06,6.19E-07,6.07E-07,1.73E-07
13,1.02E-06,2.91E-06,2.87E-06,8.13E-07
14,1.11E-06,7.43E-07,7.19E-07,2.09E-07
15,9.36E-07,6.40E-07,6.48E-07,1.81E-07
16,1.00E-06,1.80E-06,1.81E-06,5.04E-07
17,1.02E-06,7.05E-07,7.07E-07,2.02E-07
18,6.83E-07,9.29E-07,9.75E-07,2.54E-07
19,1.30E-06,5.89E-07,5.35E-07,1.74E-07
20,1.07E-06,3.30E-07,3.37E-07,9.34E-08
21,1.29E-06,1.66E-06,1.63E-06,4.76E-07
22,9.41E-07,6.63E-07,6.86E-07,1.84E-07
23,8.81E-07,1.22E-06,1.19E-06,3.38E-07
24,7.84E-07,8.49E-07,8.77E-07,2.40E-07
25,9.29E-07,5.80E-07,5.97E-07,1.61E-07
26,8.95E-07,6.20E-07,6.15E-07,1.70E-07
27,1.22E-06,1.50E-06,1.54E-06,4.21E-07
28,1.54E-06,4.61E-07,4.56E-07,1.32E-07
29,6.82E-07,1.64E-06,1.64E-06,4.59E-07
30,1.04E-06,1.31E-06,1.34E-06,3.59E-07
31,8.85E-07,9.18E-07,8.77E-07,2.61E-07
32,1.06E-06,7.23E-07,6.74E-07,2.14E-07
33,1.12E-06,1.21E-07,1.23E-07,3.49E-08
34,8.48E-07,9.63E-07,1.01E-06,2.64E-07
35,1.32E-06,6.05E-07,6.12E-07,1.70E-07
36,9.91E-07,6.65E-07,6.62E-07,1.89E-07
37,8.91E-07,1.15E-06,1.17E-06,3.30E-07
38,1.21E-06,3.62E-07,3.64E-07,1.04E-07
39,7.27E-07,6.72E-07,7.34E-07,1.83E-07
40,1.18E-06,1.18E-06,1.17E-06,3.33E-07
41,1.02E-06,1.02E-06,1.02E-06,2.90E-07
42,9.71E-07,7.91E-07,8.00E-07,2.21E-07
43,8.16E-07,5.19E-07,5.20E-07,1.42E-07
44,1.13E-06,1.51E-06,1.49E-06,4.31E-07
45,1.17E-06,1.23E-06,1.25E-06,3.49E-07
46,1.19E-06,2.29E-07,2.22E-07,6.52E-08
47,9.52E-07,1.89E-06,1.89E-06,5.24E-07
48,1.04E-06,9.63E-07,9.75E-07,2.68E-07
49,7.03E-07,2.16E-06,2.13E-06,5.99E-07
50,1.26E-06,1.12E-06,1.11E-06,3.23E-07
51,9.56E-07,5.31E-07,5.40E-07,1.46E-07
52,9.66E-07,7.26E-07,7.25E-07,2.09E-07
53,1.00E-06,1.06E-07,1.12E-07,2.99E-08
54,1.31E-06,1.64E-06,1.52E-06,4.75E-07
55,1.04E-06,8.76E-07,9.06E-07,2.41E-07
56,1.20E-06,7.80E-07,7.90E-07,2.17E-07
57,9.14E-07,4.04E-07,4.00E-07,1.13E-07
58,8.03E-07,7.56E-07,7.49E-07,2.14E-07
59,1.06E-06,3.56E-06,3.62E-06,9.94E-07
60,1.08E-06,1.25E-06,1.30E-06,3.47E-07
61,1.15E-06,1.04E-06,1.04E-06,2.97E-07
62,1.22E-06,8.22E-07,8.34E-07,2.31E-07
63,1.11E-06,6.62E-07,6.69E-07,1.88E-07
64,9.54E-07,1.71E-06,1.70E-06,4.77E-07
65,9.11E-07,3.72E-07,3.79E-07,1.03E-07
66,8.92E-07,7.74E-07,8.13E-07,2.15E-07
67,1.03E-06,1.28E-06,1.27E-06,3.50E-07
68,6.86E-07,9.17E-07,9.52E-07,2.50E-07
69,8.27E-07,5.93E-07,5.98E-07,1.65E-07
70,7.99E-07,1.33E-06,1.33E-06,3.70E-07
