,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.3308333333333335,4.111944444444444,4.111944444444444,4.111944444444444,n/a,n/a
1,E0_I1,9.36848041674416e-07,1.3950331337960833e-06,1.429397263019395e-06,3.3051039644473546e-07,0.56,59
2,E1_I1,1.1460834452800993e-06,1.0112316370096973e-06,1.0225787596091093e-06,2.4184896924360607e-07,0.56,39
3,E2_I1,1.0207023642709643e-06,8.783608594320787e-07,8.77499436100749e-07,2.122424762392131e-07,0.59,31
4,E3_I1,8.871698233035002e-07,1.2798491021520643e-06,1.3167049417117983e-06,3.019012556170243e-07,0.57,56
5,E4_I1,6.068872656969962e-07,1.338079481874838e-06,1.3724384837657812e-06,3.167874223792449e-07,0.69,57
6,E5_I1,1.043697507776851e-06,1.4964439754792861e-06,1.5105010506635254e-06,3.602000235202447e-07,0.58,56
7,E6_I1,1.1811679467264241e-06,1.349070809558009e-06,1.327931468150405e-06,3.3208673449997556e-07,0.57,42
8,E7_I1,1.0427330442887645e-06,1.7257009943831865e-06,1.7231568362901215e-06,4.2068502234561754e-07,0.6,59
9,E8_I1,1.2081374572330297e-06,1.3393793443290144e-06,1.3359502589409765e-06,3.256062853645494e-07,0.55,46
10,E9_I1,1.0623160928993187e-06,1.777418803126525e-06,1.783850693994998e-06,4.3150250208991227e-07,0.59,63
11,E10_I1,6.894631300726546e-07,2.8296279383760503e-06,2.8776036038151284e-06,6.856121141530302e-07,0.69,107
12,E11_I1,1.158393062115016e-06,5.578148321088296e-07,5.449231809503339e-07,1.368500372367811e-07,0.6,17
13,E12_I1,7.602826236943562e-07,1.343840773112982e-06,1.3428769917009337e-06,3.2570518926400226e-07,0.67,47
14,E13_I1,1.0354325623506427e-06,2.0376434341176207e-06,2.0582106175413624e-06,4.913848123650395e-07,0.58,76
15,E14_I1,9.437224421623992e-07,1.0869580293357584e-06,1.1284775291225936e-06,2.530698015076275e-07,0.53,52
16,E15_I1,9.47555487127357e-07,1.4492406345004983e-06,1.4350748547986636e-06,3.550794524066908e-07,0.65,47
17,E16_I1,9.651690203745448e-07,2.0381703007366206e-06,2.0777268942973496e-06,4.883012394542334e-07,0.58,81
18,E17_I1,9.327601844548755e-07,1.9090936650972142e-06,1.9500984254483996e-06,4.566330224118946e-07,0.6,77
19,E18_I1,8.025355664609879e-07,1.3668811301173566e-06,1.3774641624411093e-06,3.286030028377101e-07,0.64,51
20,E19_I1,1.378806094681295e-06,1.448397850140973e-06,1.4422964824138847e-06,3.529404063995335e-07,0.5,49
21,E20_I1,9.238392156484175e-07,1.7352958523108093e-06,1.786653214453671e-06,4.1115868342913254e-07,0.57,75
22,E21_I1,9.271785396036585e-07,1.1624395289860322e-06,1.1802006812401031e-06,2.773846436769306e-07,0.58,46
23,E22_I1,7.686234220731836e-07,8.061816565463592e-07,8.205917446851259e-07,1.911469497017952e-07,0.63,33
24,E23_I1,8.194466230258777e-07,2.4861557119752195e-06,2.502905817356716e-06,6.062418021914263e-07,0.65,88
25,E24_I1,1.3058593871738468e-06,4.68555385214213e-07,4.6114051029638483e-07,1.1433664252100818e-07,0.54,15
26,E25_I1,8.750840768553609e-07,6.863771377297204e-07,6.797416808558726e-07,1.6653995185465557e-07,0.65,23
27,E26_I1,8.724668126407163e-07,1.8464374850705563e-06,1.8934820339662877e-06,4.396680997130905e-07,0.6,77
28,E27_I1,8.069297619208298e-07,1.9345591630890887e-06,1.8988033052732837e-06,4.799828051798463e-07,0.69,58
29,E28_I1,1.0075820799605553e-06,1.5090460623928972e-06,1.4948930971961814e-06,3.697864986359858e-07,0.61,49
30,E29_I1,8.515030074169217e-07,2.0521786098330533e-06,2.158134544921091e-06,4.781298742230966e-07,0.56,104
31,E30_I1,9.417360149873018e-07,6.120488463794843e-07,6.06778351100011e-07,1.4766219958400386e-07,0.62,21
32,E31_I1,1.0950086264023134e-06,1.588008845138174e-06,1.6226231337255224e-06,3.783900073022035e-07,0.53,65
33,E32_I1,1.0444088664805174e-06,1.996239090372956e-06,2.014047576506827e-06,4.834676964762629e-07,0.59,73
34,E33_I1,1.0628316719364422e-06,1.3430481199054872e-06,1.3500949340825443e-06,3.2396042922211265e-07,0.58,49
35,E34_I1,7.680526719372084e-07,4.91663062234757e-07,4.96084087600107e-07,1.1718537591869193e-07,0.66,19
36,E35_I1,1.3223841185294924e-06,9.494064045028716e-07,9.289769717650229e-07,2.3325364213266106e-07,0.56,29
37,E36_I1,1.0507112068444098e-06,6.828622152280776e-07,6.978288256841878e-07,1.610455173166429e-07,0.54,29
38,E37_I1,8.988478555255499e-07,3.0609094765731112e-06,3.0880524324237015e-06,7.491503563575628e-07,0.65,108
39,E38_I1,1.3035030852279232e-06,1.3002835800221952e-06,1.2848920459986015e-06,3.1810676485025093e-07,0.53,42
40,E39_I1,9.97822145260249e-07,1.3320994759199964e-06,1.3258379984975942e-06,3.2453622615409445e-07,0.6,45
41,E40_I1,9.419691742108174e-07,9.050758970580758e-07,8.92506796338426e-07,2.2136408933670857e-07,0.65,29
42,E41_I1,1.0245721411265395e-06,1.0462552962491629e-06,1.0425397583867298e-06,2.538774413562452e-07,0.59,36
43,E42_I1,1.1778654610998425e-06,3.086606617328561e-06,3.107148206939639e-06,7.57265632975479e-07,0.56,107
44,E43_I1,1.0771533891170282e-06,1.4696170940553841e-06,1.4799043190908664e-06,3.54550124508836e-07,0.56,54
45,E44_I1,1.2904880310095222e-06,7.62593622276718e-07,7.721406079412909e-07,1.816431353826035e-07,0.48,30
46,E45_I1,1.0342742692277379e-06,5.427226642927123e-07,5.325393815310221e-07,1.3279881961893126e-07,0.62,17
47,E46_I1,1.2543262262018855e-06,1.1009417205991924e-06,1.1155884117585336e-06,2.6304101577051404e-07,0.5,43
48,E47_I1,6.407004299662908e-07,2.426716150923558e-06,2.5191139857815763e-06,5.748254924832308e-07,0.67,109
49,E48_I1,1.0669490552185325e-06,2.1803382105033726e-06,2.184534737638842e-06,5.307903510054043e-07,0.59,76
50,E49_I1,1.0616288599208876e-06,1.0135931654063952e-06,9.978646314141383e-07,2.4848957053288944e-07,0.63,32
51,E50_I1,1.0269933065618202e-06,1.989852520212222e-06,1.985203755715323e-06,4.867595752393115e-07,0.62,67
52,E51_I1,1.1263372205016208e-06,1.5963897291978487e-06,1.6274398297490046e-06,3.798341804302093e-07,0.52,65
53,E52_I1,1.0512217405328384e-06,1.7791507321975512e-06,1.7609571910731815e-06,4.372703996889725e-07,0.62,57
54,E53_I1,1.1083989963601743e-06,7.516489301972005e-07,7.445022306020266e-07,1.8282523680507232e-07,0.59,25
55,E54_I1,8.913686514272461e-07,1.1061989906796843e-06,1.1298790289834956e-06,2.6227379564566736e-07,0.6,46
