,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.4702777777777776,4.4875,4.4875,4.4875,n/a,n/a
1,E0_I1,9.664508499209943e-07,6.940061981705473e-07,6.559394383109549e-07,1.6106915963093723e-07,0.6,35
2,E1_I1,9.250589344076204e-07,8.647524879248452e-07,8.34387784351276e-07,1.9574818268153019e-07,0.56,52
3,E2_I1,7.700556709244805e-07,1.3533785182701646e-06,1.3196434471176575e-06,3.0985125583142635e-07,0.62,82
4,E3_I1,1.1717945121182815e-06,9.745772212011085e-07,9.307774151778778e-07,2.267461273905943e-07,0.51,51
5,E4_I1,1.0203011216222718e-06,1.6061674515362857e-06,1.5100749392176108e-06,3.7899521177923186e-07,0.58,75
6,E5_I1,8.056738968755135e-07,9.170883307990143e-07,8.836534074394509e-07,2.1077678406067598e-07,0.6,52
7,E6_I1,9.006456658018346e-07,8.220571835756572e-07,8.033046297229336e-07,1.8542491316416624e-07,0.55,53
8,E7_I1,9.597343349446166e-07,1.0569657361082824e-06,1.0466470653226194e-06,2.3787123356755887e-07,0.5,73
9,E8_I1,1.1703956252593212e-06,9.767421005391343e-07,9.132015664784541e-07,2.2820105321612247e-07,0.53,46
10,E9_I1,1.243535211282969e-06,6.949726281233827e-07,6.561817366560883e-07,1.6114657983143554e-07,0.5,35
11,E10_I1,1.2412448019657525e-06,6.129222123942371e-07,5.65430911230059e-07,1.4536480778404026e-07,0.55,26
12,E11_I1,1.2071763508225493e-06,1.0766498877951818e-06,1.007370731865513e-06,2.5287825668243454e-07,0.53,50
13,E12_I1,7.130794636888767e-07,6.956656064908019e-07,6.735882354345976e-07,1.5694250556945634e-07,0.64,43
14,E13_I1,1.0492449172655176e-06,7.660174045722652e-07,7.321410412514183e-07,1.7473631743647846e-07,0.54,43
15,E14_I1,9.958749711033035e-07,9.355333939291918e-07,8.84032585506181e-07,2.1731585443421155e-07,0.58,47
16,E15_I1,1.097928713132704e-06,1.384924776387169e-06,1.2875749642159326e-06,3.2963100896982363e-07,0.58,60
17,E16_I1,9.004704354233235e-07,6.480333796575831e-07,6.164166052314496e-07,1.4858493029603917e-07,0.59,35
18,E17_I1,9.634928871499417e-07,1.0308576693219047e-06,9.765454510683718e-07,2.3994419398700655e-07,0.58,52
19,E18_I1,9.83396906040627e-07,8.95492994907569e-07,8.438535420175307e-07,2.0724959453584261e-07,0.57,45
20,E19_I1,1.0812434275899244e-06,1.586622086353295e-06,1.5130130787891342e-06,3.6845473041028476e-07,0.53,83
21,E20_I1,8.854322818418204e-07,1.495430748822555e-06,1.4323592267615685e-06,3.432041677556335e-07,0.59,83
22,E21_I1,7.373718357985673e-07,7.819850951320804e-07,7.487377145693095e-07,1.7866739690129772e-07,0.65,44
23,E22_I1,9.54679805495209e-07,8.955160567755178e-07,8.533197650544896e-07,2.0755395396456207e-07,0.57,47
24,E23_I1,1.1261865399872668e-06,9.742085933993882e-07,9.320223754559104e-07,2.2332851189684714e-07,0.52,54
25,E24_I1,7.952965893567899e-07,1.082103312240396e-06,1.0522773560307393e-06,2.474951546559945e-07,0.6,65
26,E25_I1,1.2692695339557754e-06,8.318525679104972e-07,7.696848153959404e-07,1.9513682287077226e-07,0.5,37
27,E26_I1,8.960823094773963e-07,8.842091173089921e-07,8.099514513836834e-07,2.069134173597709e-07,0.65,38
28,E27_I1,7.383914099097335e-07,9.928917510003349e-07,9.521559013315004e-07,2.2835540241527433e-07,0.64,55
29,E28_I1,7.792706607329163e-07,1.186014239861595e-06,1.1503915014939485e-06,2.6643828827079795e-07,0.59,75
30,E29_I1,9.563083345029902e-07,1.0219017174959796e-06,9.667666041855906e-07,2.3821296834902824e-07,0.6,51
31,E30_I1,8.153025559197822e-07,5.038733546089926e-07,4.934828681567082e-07,1.1253573437005518e-07,0.57,34
32,E31_I1,1.1884591864076135e-06,9.25513324374869e-07,8.791064342155551e-07,2.1574144548035037e-07,0.53,47
33,E32_I1,8.82946173099156e-07,5.907393720320494e-07,5.708760175708519e-07,1.334762107556099e-07,0.55,36
34,E33_I1,1.1172870745552248e-06,4.253954090553226e-07,3.918663009120341e-07,1.0077731863743383e-07,0.57,18
35,E34_I1,1.2432868649255082e-06,4.6259915821584733e-07,4.316111805434024e-07,1.0746581230290769e-07,0.5,22
36,E35_I1,1.478926583300291e-06,8.996335023388318e-07,8.40826874439124e-07,2.1223156274970028e-07,0.48,41
37,E36_I1,1.5383771869554654e-06,1.336168343584256e-06,1.2573233701858306e-06,3.147048219828116e-07,0.47,63
38,E37_I1,9.635374853715596e-07,9.76690567458066e-07,9.254290659389783e-07,2.2639250908119218e-07,0.59,50
39,E38_I1,8.289508421656835e-07,1.107822696861834e-06,1.076497721505662e-06,2.537384359635901e-07,0.6,66
40,E39_I1,1.0727573654478557e-06,8.18882569559515e-07,7.832252542542874e-07,1.8813710772697924e-07,0.54,45
41,E40_I1,7.854723156904893e-07,7.969739191658001e-07,7.697528556128764e-07,1.827867221766213e-07,0.6,46
42,E41_I1,1.1967511860399726e-06,9.650810064953171e-07,9.323385176500903e-07,2.2106796447845702e-07,0.49,56
43,E42_I1,1.0239165777698764e-06,4.0193882779961545e-07,3.79564182513686e-07,9.219854803633428e-08,0.56,21
44,E43_I1,1.0427015216574656e-06,8.359379229670579e-07,7.82120010476516e-07,1.9605427919060115e-07,0.58,39
45,E44_I1,9.671921151269536e-07,9.595871044365408e-07,9.026601625741828e-07,2.247663986938141e-07,0.6,46
46,E45_I1,1.2336470551871353e-06,1.1329973406113084e-06,1.0785908841106362e-06,2.628866669438848e-07,0.51,59
47,E46_I1,8.427493877763811e-07,7.68905788663955e-07,7.342552096861489e-07,1.7660423864075067e-07,0.61,42
48,E47_I1,8.064054200846204e-07,8.912735718790045e-07,8.363048460371253e-07,2.0917827822365455e-07,0.64,42
49,E48_I1,1.0797190255904083e-06,5.501264696083505e-07,5.32623894023115e-07,1.240998345048042e-07,0.51,34
50,E49_I1,1.7427257928546326e-06,6.830646798674412e-07,6.070963267014427e-07,1.6626726919177997e-07,0.51,23
51,E50_I1,1.6853120271347419e-06,9.95251557488966e-07,9.013291035054345e-07,2.425261869595632e-07,0.51,36
52,E51_I1,1.2168539619096663e-06,7.372297952464844e-07,6.531267528705381e-07,1.807356849444458e-07,0.64,24
53,E52_I1,1.199142405945606e-06,2.0546541036527427e-06,1.9599208540528706e-06,4.793197842801438e-07,0.51,106
54,E53_I1,1.0335275655939474e-06,6.168050672618872e-07,5.717142396645153e-07,1.457510605287454e-07,0.6,27
55,E54_I1,1.066017604551959e-06,7.773668479182104e-07,7.290017109747221e-07,1.8328690372493049e-07,0.59,36
56,E55_I1,9.723519814240935e-07,8.018704192164037e-07,7.584768740982689e-07,1.869070429441111e-07,0.58,40
57,E56_I1,1.2433389401305759e-06,6.396353323252476e-07,5.926185332084341e-07,1.5105875706098814e-07,0.55,28
58,E57_I1,1.261746382419543e-06,9.100882671052013e-07,8.624741845517238e-07,2.1181306774350937e-07,0.49,46
59,E58_I1,1.1916550431884134e-06,1.6463892696962329e-06,1.5701311680786756e-06,3.838823437360764e-07,0.52,85
60,E59_I1,8.177730304791049e-07,1.7270649294612229e-06,1.7035487239289998e-06,3.9361767802374715e-07,0.57,112
61,E60_I1,1.1981637684535244e-06,1.0068182426445213e-06,9.389783557313607e-07,2.3828511399660695e-07,0.55,45
62,E61_I1,8.590771461409061e-07,6.320837283648641e-07,5.964803251785542e-07,1.4239736806285515e-07,0.59,35
63,E62_I1,1.1951626061001224e-06,6.363495430237281e-07,6.024753170512049e-07,1.4678375508954325e-07,0.5,33
64,E63_I1,9.482001046897837e-07,1.2502020837300564e-06,1.2187816061475098e-06,2.8587970081417144e-07,0.56,76
