,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,4.610277777777778,6.561944444444444,6.561944444444444,6.561944444444444,n/a,n/a
1,E0_I1,inf,1.4052345314248639e-14,1.405093671466397e-14,2.15886896858122e-15,0.0,62
2,E1_I1,inf,7.462791241185257e-15,7.463413893813262e-15,1.1463007577367231e-15,0.0,33
3,E2_I1,inf,1.0212855975753473e-14,1.0210709614025404e-14,1.5691779042868835e-15,0.0,45
4,E3_I1,inf,4.790648863874564e-15,4.787601442580395e-15,7.363833729558042e-16,0.0,21
5,E4_I1,inf,6.7908367098956e-15,6.7908687484351414e-15,1.0431692217185576e-15,0.0,30
6,E5_I1,inf,1.1841780613838239e-14,1.1835964979836634e-14,1.8199689845988004e-15,0.0,52
7,E6_I1,inf,8.209623726135145e-15,8.204642042206298e-15,1.261886071344519e-15,0.0,36
8,E7_I1,inf,1.0861658107943801e-14,1.086201400093515e-14,1.6684589749859757e-15,0.0,48
9,E8_I1,inf,9.002974663480803e-15,9.007246438860376e-15,1.382335200198434e-15,0.0,40
10,E9_I1,inf,1.067056940605317e-14,1.0668011477444375e-14,1.6395524065645827e-15,0.0,47
11,E10_I1,inf,7.738917795716204e-15,7.73542434843504e-15,1.1893491261173969e-15,0.0,34
12,E11_I1,inf,6.2790310429620784e-15,6.2839023677944985e-15,9.638037520440713e-16,0.0,28
13,E12_I1,inf,6.3580187599389115e-15,6.356401504845435e-15,9.769342139496557e-16,0.0,28
14,E13_I1,inf,7.255536646925625e-15,7.254582948077749e-15,1.1147056982655717e-15,0.0,32
15,E14_I1,inf,7.0471624831957555e-15,7.044719532988161e-15,1.0829250603840896e-15,0.0,31
16,E15_I1,inf,1.2731187278707602e-14,1.2726705795125483e-14,1.956389714862635e-15,0.0,56
17,E16_I1,inf,1.0328883080766394e-14,1.0335802602178097e-14,1.5856078627411583e-15,0.0,46
18,E17_I1,inf,7.933658689270247e-15,7.932787858943263e-15,1.2188627184443471e-15,0.0,35
19,E18_I1,inf,7.027249811681341e-15,7.02645186297753e-15,1.079612762340068e-15,0.0,31
20,E19_I1,inf,6.735988384461336e-15,6.740520719929036e-15,1.034052258654222e-15,0.0,30
21,E20_I1,inf,1.528980549454087e-14,1.5298306515658356e-14,2.3474335388489144e-15,0.0,68
22,E21_I1,inf,8.843736376838015e-15,8.84248186447607e-15,1.358721398936332e-15,0.0,39
23,E22_I1,inf,1.332108084087754e-14,1.3323942335020592e-14,2.0458712677138843e-15,0.0,59
24,E23_I1,inf,2.488651404040937e-15,2.4887713508796132e-15,3.822754168395199e-16,0.0,11
25,E24_I1,inf,8.153776375627403e-15,8.153410015920308e-15,1.2525945944671419e-15,0.0,36
26,E25_I1,inf,7.453078827029634e-15,7.454499391500805e-15,1.1446857682624428e-15,0.0,33
27,E26_I1,inf,6.117498313002673e-15,6.117052938780424e-15,9.398076113225693e-16,0.0,27
28,E27_I1,inf,4.763801656610745e-15,4.762980443608543e-15,7.319172640660063e-16,0.0,21
29,E28_I1,inf,6.111132578968817e-15,6.111209359172916e-15,9.387485492218918e-16,0.0,27
30,E29_I1,inf,6.802142701275865e-15,6.80123932197211e-15,1.0450488842872274e-15,0.0,30
31,E30_I1,inf,9.954003582100415e-15,9.954534956056032e-15,1.5290019258160479e-15,0.0,44
32,E31_I1,inf,7.491549679683366e-15,7.489797917256597e-15,1.1510829793620182e-15,0.0,33
33,E32_I1,inf,1.18273747126034e-14,1.182275504916079e-14,1.81757257187914e-15,0.0,52
34,E33_I1,inf,1.1915626667286313e-14,1.1922378935709629e-14,1.8293818308048857e-15,0.0,53
35,E34_I1,inf,1.0862699396288277e-14,1.0862959724560695e-14,1.668630349849569e-15,0.0,48
36,E35_I1,inf,1.014510336436041e-14,1.0148537693920812e-14,1.557912635936722e-15,0.0,45
37,E36_I1,inf,7.216529191908477e-15,7.218785082047145e-15,1.1082196952137911e-15,0.0,32
38,E37_I1,inf,1.2278582642859198e-14,1.2274082298045553e-14,1.886863576351359e-15,0.0,54
