,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,4.585833333333333,6.403888888888889,6.403888888888889,6.403888888888889,n/a,n/a
1,E0_I1,inf,8.685331119454646e-15,8.679758323825964e-15,1.444893808177276e-15,0.0,14
2,E1_I1,inf,8.652286585554879e-15,8.649677184777668e-15,1.438903653946836e-15,0.0,14
3,E2_I1,inf,5.540348755929971e-15,5.540630594665247e-15,9.210547344556956e-16,0.0,9
4,E3_I1,inf,8.025009031872903e-15,8.023427426613745e-15,1.3344498633814267e-15,0.0,13
5,E4_I1,inf,1.4788170823281914e-14,1.4787691322163604e-14,2.458667380514642e-15,0.0,24
6,E5_I1,inf,1.4051321369025586e-14,1.4061605802949034e-14,2.334374326410831e-15,0.0,23
7,E6_I1,inf,1.4829764849469925e-14,1.4825550309305237e-14,2.4662007810497336e-15,0.0,24
8,E7_I1,inf,5.527768347915711e-15,5.529176140465446e-15,9.187771415647049e-16,0.0,9
9,E8_I1,inf,1.7928786332623415e-14,1.7922855413573997e-14,2.981714205379659e-15,0.0,29
10,E9_I1,inf,1.2426577306948845e-14,1.2416897942720881e-14,2.0675696487542102e-15,0.0,20
11,E10_I1,inf,6.789875645431234e-15,6.78857810552271e-15,1.1290551849111067e-15,0.0,11
12,E11_I1,inf,8.551373059879413e-15,8.557772825616009e-15,1.4206325112461834e-15,0.0,14
13,E12_I1,inf,1.1679382259730214e-14,1.1681495981822112e-14,1.941388318166117e-15,0.0,19
14,E13_I1,inf,1.3499192816839185e-14,1.3503806937359793e-14,2.2435229850454996e-15,0.0,22
15,E14_I1,inf,1.4240445115897327e-14,1.4233829001739244e-14,2.368620669082201e-15,0.0,23
16,E15_I1,inf,2.464353874618729e-15,2.4643030143248965e-15,4.097157915899528e-16,0.0,4
17,E16_I1,inf,1.841949009954217e-14,1.8424664990106657e-14,3.0614132455566104e-15,0.0,30
18,E17_I1,inf,1.3567144366468892e-14,1.3565665773589298e-14,2.2558239878959527e-15,0.0,22
19,E18_I1,inf,9.29848714065586e-15,9.293169797260871e-15,1.54679153067912e-15,0.0,15
20,E19_I1,5.628944446895509e-15,2.0830610167449058e-14,2.0840573182101482e-14,3.4615105709047746e-15,0.01,34
21,E20_I1,inf,1.9055021885815467e-14,1.905852790864069e-14,3.167378193842364e-15,0.0,31
22,E21_I1,inf,1.8542349355944102e-14,1.853663293606896e-14,3.0836855298980226e-15,0.0,30
23,E22_I1,inf,2.213471092696668e-14,2.2138240200972545e-14,3.6793901463978765e-15,0.0,36
24,E23_I1,inf,1.236664052664199e-14,1.236236932462846e-14,2.056708847638799e-15,0.0,20
25,E24_I1,inf,7.405245916792027e-15,7.40400506281232e-15,1.2313549881993655e-15,0.0,12
26,E25_I1,inf,3.67906777966198e-15,3.68055066985769e-15,6.114116663309477e-16,0.0,6
27,E26_I1,inf,1.1127956733790702e-14,1.1124293963986213e-14,1.8506719866244628e-15,0.0,18
28,E27_I1,inf,5.554998209225361e-15,5.5539719021259796e-15,9.237088884136437e-16,0.0,9
29,E28_I1,inf,1.1109732368053507e-14,1.1107701404834253e-14,1.847369539897912e-15,0.0,18
30,E29_I1,inf,1.0518170739221574e-14,1.0513954112822202e-14,1.749385135199538e-15,0.0,17
31,E30_I1,inf,6.170442954417753e-15,6.169462016959045e-15,1.0260212650721597e-15,0.0,10
32,E31_I1,inf,6.169972216142674e-15,6.1690324969249085e-15,1.0259357972593823e-15,0.0,10
33,E32_I1,inf,4.948755551215991e-15,4.9468558557891276e-15,8.230634144220241e-16,0.0,8
34,E33_I1,inf,6.169944270231464e-15,6.168998904248864e-15,1.0259291128972116e-15,0.0,10
35,E34_I1,inf,9.239525445708337e-15,9.239498477853124e-15,1.5361084276898582e-15,0.0,15
36,E35_I1,inf,5.5252150660457846e-15,5.526847289002945e-15,9.183142090427034e-16,0.0,9
37,E36_I1,inf,1.231732970965568e-14,1.2317477324962476e-14,2.0477757971218744e-15,0.0,20
38,E37_I1,inf,1.236420134907505e-14,1.2360150180574185e-14,2.056267082940163e-15,0.0,20
39,E38_I1,inf,9.209641606391765e-15,9.212279781634543e-15,1.53069614460406e-15,0.0,15
40,E39_I1,inf,4.935652899927761e-15,4.934930587870097e-15,8.20689856759005e-16,0.0,8
41,E40_I1,inf,1.4879875211928453e-14,1.4871156464945824e-14,2.475281706088099e-15,0.0,24
42,E41_I1,inf,1.599698818044716e-14,1.5998575176815844e-14,2.6592952376800667e-15,0.0,26
43,E42_I1,inf,6.784894117919353e-15,6.784048344671432e-15,1.1281538285227149e-15,0.0,11
44,E43_I1,inf,6.84330563924183e-15,6.8372002135852394e-15,1.1387390818358937e-15,0.0,11
45,E44_I1,inf,8.653218959432595e-15,8.6505377915885e-15,1.439074962034952e-15,0.0,14
46,E45_I1,inf,1.5406066761819226e-14,1.540540999274996e-14,2.5614231517162718e-15,0.0,25
47,E46_I1,inf,3.808051275303168e-14,3.809022100564968e-14,6.329421415227705e-15,0.0,62
48,E47_I1,inf,2.2136602854259854e-14,2.213997173727464e-14,3.679734441618442e-15,0.0,36
49,E48_I1,inf,1.6478998937091293e-14,1.649249331098981e-14,2.737451874765174e-15,0.0,27
50,E49_I1,inf,7.380760226739546e-15,7.381710659661922e-15,1.2269201769702545e-15,0.0,12
51,E50_I1,inf,1.1037517427776513e-14,1.1041940805409977e-14,1.8342923890757856e-15,0.0,18
52,E51_I1,inf,8.063391259761456e-15,8.058358505669611e-15,1.3414048114676962e-15,0.0,13
53,E52_I1,inf,7.387305131666301e-15,7.387665468032065e-15,1.2281044051680366e-15,0.0,12
54,E53_I1,inf,3.060509206512991e-15,3.0622201756668745e-15,5.085350987375641e-16,0.0,5
55,E54_I1,inf,1.9082710575067042e-14,1.9083743755256318e-14,3.17239248467858e-15,0.0,31
56,E55_I1,inf,5.561982896948641e-15,5.5603305623925434e-15,9.249744190168952e-16,0.0,9
57,E56_I1,inf,3.0850477743454327e-15,3.084572758456283e-15,5.12979143173267e-16,0.0,5
58,E57_I1,inf,2.946659411379081e-14,2.9475451452506035e-14,4.8974636090929905e-15,0.0,48
59,E58_I1,inf,5.287579451658104e-14,5.2884441349128714e-14,8.78938487870486e-15,0.0,86
60,E59_I1,inf,1.6613780584506793e-14,1.6615287386794313e-14,2.7618507360178707e-15,0.0,27
61,E60_I1,inf,4.929743301182346e-15,4.929549610126815e-15,8.196192852600914e-16,0.0,8
62,E61_I1,inf,1.5398888397485825e-14,1.539887909928834e-14,2.5601240168126094e-15,0.0,25
63,E62_I1,inf,6.164273661703859e-15,6.163845970226844e-15,1.0249038683725995e-15,0.0,10
64,E63_I1,inf,7.401808668123244e-15,7.400876703540968e-15,1.230732506148108e-15,0.0,12
65,E64_I1,inf,1.4814501981424455e-14,1.4811666225331256e-14,2.463437525104868e-15,0.0,24
66,E65_I1,inf,1.233121086740585e-14,1.2330119465168906e-14,2.0502906890647883e-15,0.0,20
67,E66_I1,inf,3.0723725605630785e-15,3.0730307631172576e-15,5.106834748768541e-16,0.0,5
68,E67_I1,inf,7.419299635065069e-15,7.416798167237258e-15,1.2339012015702576e-15,0.0,12
69,E68_I1,inf,1.7713923416626337e-14,1.7727142425979292e-14,2.9428037592384606e-15,0.0,29
70,E69_I1,inf,2.4625086317716693e-15,2.46262354695231e-15,4.0938173722962023e-16,0.0,4
71,E70_I1,5.661574302160453e-15,1.2940658108470442e-14,1.2940141021023132e-14,2.151515204249013e-15,0.01,21
72,E71_I1,inf,1.8499494310991938e-15,1.849761069576375e-15,3.075919794877234e-16,0.0,3
73,E72_I1,inf,2.4090915489662474e-14,2.4084753489209152e-14,4.006229621976054e-15,0.0,39
74,E73_I1,inf,5.545905864133769e-15,5.545694186917121e-15,9.220619236167522e-16,0.0,9
75,E74_I1,inf,7.989967931760302e-15,7.99152022804265e-15,1.3281031397761708e-15,0.0,13
76,E75_I1,inf,7.398976545290396e-15,7.398297619758295e-15,1.230219365175464e-15,0.0,12
77,E76_I1,inf,6.153100155233672e-15,6.153671628110264e-15,1.0228801337775835e-15,0.0,10
78,E77_I1,inf,1.0601606192000054e-13,1.0600990443566946e-13,1.7626706009198014e-14,0.0,172
79,E78_I1,inf,1.0462976181194494e-14,1.0463701530356743e-14,1.7393854075574984e-15,0.0,17
80,E79_I1,inf,8.063258712654882e-15,8.058236793026303e-15,1.341380565676793e-15,0.0,13
81,E80_I1,inf,4.928558485247475e-15,4.9284625422345944e-15,8.194030408565163e-16,0.0,8
82,E81_I1,inf,1.0369493715324854e-14,1.037852876065883e-14,1.7224624454943538e-15,0.0,17
83,E82_I1,inf,2.5083032016403257e-14,2.5098270876932733e-14,4.167617169403319e-15,0.0,41
84,E83_I1,inf,4.313518351307922e-15,4.313350399877301e-15,7.171657787029784e-16,0.0,7
85,E84_I1,inf,1.1763462127110775e-14,1.1758044283107592e-14,1.956619693150218e-15,0.0,19
86,E85_I1,inf,5.562990428841739e-15,5.561247587679726e-15,9.251569575282467e-16,0.0,9
87,E86_I1,inf,1.2284608117321523e-14,1.2287678552460263e-14,2.0418503244746105e-15,0.0,20
88,E87_I1,inf,6.163251690958905e-15,6.162913610389836e-15,1.0247183843259338e-15,0.0,10
