,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,3.0858333333333334,4.378333333333333,4.378333333333333,4.378333333333333,n/a,n/a
1,E0_I1,1.2101792115140733e-14,0.0,0.0,0.0,0.72,0
2,E1_I1,1.5931619126269283e-14,0.0,0.0,0.0,0.65,0
3,E2_I1,7.366948144064644e-15,0.0,0.0,0.0,0.82,0
4,E3_I1,1.0102007515031627e-14,0.0,0.0,0.0,0.76,0
5,E4_I1,1.062576847646782e-14,0.0,0.0,0.0,0.75,0
6,E5_I1,6.877608475901754e-15,0.0,0.0,0.0,0.83,0
7,E6_I1,1.010787199582859e-14,0.0,0.0,0.0,0.76,0
8,E7_I1,9.661306337838701e-15,0.0,0.0,0.0,0.77,0
9,E8_I1,8.202675585696677e-15,0.0,0.0,0.0,0.8,0
10,E9_I1,1.1663479496336387e-14,0.0,0.0,0.0,0.73,0
11,E10_I1,1.118336975259587e-14,0.0,0.0,0.0,0.74,0
12,E11_I1,1.3246870769510675e-14,0.0,0.0,0.0,0.7,0
13,E12_I1,1.0683887486964169e-14,0.0,0.0,0.0,0.75,0
14,E13_I1,1.0207378503111523e-14,3.7798638171918374e-13,2.2159115422127715e-13,7.028583277838052e-14,0.76,17
15,E14_I1,1.0584838093345433e-14,0.0,0.0,0.0,0.75,0
16,E15_I1,1.0679099830522104e-14,0.0,0.0,0.0,0.75,0
17,E16_I1,1.0102154151879232e-14,8.802615751737542e-14,5.170390854813359e-14,1.6346202159713006e-14,0.76,4
18,E17_I1,1.2139291467235305e-14,2.208112091193908e-14,1.2966519896592008e-14,4.104380728932909e-15,0.72,1
19,E18_I1,1.4354993458929728e-14,1.3350477312213072e-13,7.82558050411664e-14,2.4827579708081612e-14,0.68,6
20,E19_I1,1.1156227140673017e-14,1.3291609608263344e-13,7.796544860311141e-14,2.469952993294536e-14,0.74,6
21,E20_I1,1.3179741890481725e-14,0.0,0.0,0.0,0.7,0
22,E21_I1,7.750330362413238e-15,0.0,0.0,0.0,0.81,0
23,E22_I1,8.28368983301991e-15,0.0,0.0,0.0,0.8,0
24,E23_I1,9.61436172628526e-15,0.0,0.0,0.0,0.77,0
25,E24_I1,1.115616790801745e-14,0.0,0.0,0.0,0.74,0
26,E25_I1,6.892158119743167e-15,0.0,0.0,0.0,0.83,0
27,E26_I1,8.822608232160735e-15,0.0,0.0,0.0,0.79,0
28,E27_I1,8.275006194177809e-15,0.0,0.0,0.0,0.8,0
29,E28_I1,9.185127074920632e-15,2.2097650705930765e-14,1.2970716365660752e-14,4.106227871442498e-15,0.78,1
30,E29_I1,1.0695164106476918e-14,8.895219668397097e-14,5.211996078030378e-14,1.6529400082253353e-14,0.75,4
31,E30_I1,1.1138704408582e-14,2.212542535595014e-14,1.2977730782001964e-14,4.109316043633668e-15,0.74,1
32,E31_I1,1.5480958542172443e-14,4.453031117264047e-14,2.6105432447766008e-14,8.284762424561708e-15,0.66,2
33,E32_I1,8.232008590673564e-15,2.2050910791171897e-14,1.2948872669236298e-14,4.09661628367852e-15,0.8,1
34,E33_I1,1.0112754567113375e-14,0.0,0.0,0.0,0.76,0
35,E34_I1,1.1118197644438118e-14,0.0,0.0,0.0,0.74,0
36,E35_I1,1.020253416807e-14,0.0,0.0,0.0,0.76,0
37,E36_I1,1.3673871465421792e-14,0.0,0.0,0.0,0.69,0
38,E37_I1,9.194531939341738e-15,0.0,0.0,0.0,0.78,0
39,E38_I1,6.450403458968108e-15,2.2114931821342627e-14,1.297869556675347e-14,4.109740865631582e-15,0.84,1
40,E39_I1,7.79010015652148e-15,6.631425249413255e-14,3.8912790248148413e-14,1.231896585112363e-14,0.81,3
41,E40_I1,9.252934785918304e-15,0.0,0.0,0.0,0.78,0
42,E41_I1,1.1243705687196125e-14,0.0,0.0,0.0,0.74,0
43,E42_I1,1.0670485070594365e-14,2.2179144656064016e-14,1.300567098308531e-14,4.121625281143434e-15,0.75,1
44,E43_I1,7.383940386895952e-15,6.670888021847927e-14,3.9116206432455154e-14,1.2408627372795102e-14,0.82,3
45,E44_I1,8.742783829513143e-15,0.0,0.0,0.0,0.79,0
46,E45_I1,1.3655095233184186e-14,0.0,0.0,0.0,0.69,0
47,E46_I1,9.159268673485025e-15,0.0,0.0,0.0,0.78,0
48,E47_I1,1.0640318409240665e-14,1.1050758022852636e-13,6.487962011569673e-14,2.0542602595032122e-14,0.75,5
49,E48_I1,1.1177672931434702e-14,0.0,0.0,0.0,0.74,0
50,E49_I1,1.2754673339060178e-14,4.455979151653516e-14,2.6096218719794858e-14,8.280694104355112e-15,0.71,2
51,E50_I1,8.754242862210548e-15,0.0,0.0,0.0,0.79,0
52,E51_I1,1.1217934095513833e-14,2.2272629567356272e-14,1.3052330024921077e-14,4.142210672400599e-15,0.74,1
53,E52_I1,9.180933605073222e-15,2.2096564255298173e-14,1.2965925792181583e-14,4.104119248525354e-15,0.78,1
54,E53_I1,6.906638847515101e-15,0.0,0.0,0.0,0.83,0
55,E54_I1,9.646527001997032e-15,0.0,0.0,0.0,0.77,0
56,E55_I1,1.4825664100898743e-14,0.0,0.0,0.0,0.67,0
57,E56_I1,8.735827524670603e-15,0.0,0.0,0.0,0.79,0
58,E57_I1,1.0639468056076067e-14,0.0,0.0,0.0,0.75,0
59,E58_I1,8.69411867638544e-15,0.0,0.0,0.0,0.79,0
60,E59_I1,1.2233681476231542e-14,0.0,0.0,0.0,0.72,0
61,E60_I1,9.202366428780892e-15,4.428541843918942e-14,2.5980808739441388e-14,8.229795676340079e-15,0.78,2
62,E61_I1,1.1650952817549808e-14,0.0,0.0,0.0,0.73,0
63,E62_I1,1.0208263501213528e-14,0.0,0.0,0.0,0.76,0
64,E63_I1,9.703583902636994e-15,0.0,0.0,0.0,0.77,0
65,E64_I1,1.1099118577647428e-14,0.0,0.0,0.0,0.74,0
66,E65_I1,8.31038978459063e-15,0.0,0.0,0.0,0.8,0
67,E66_I1,1.269912606493064e-14,0.0,0.0,0.0,0.71,0
68,E67_I1,9.235367103888895e-15,2.221809823064376e-14,1.3028065343052302e-14,4.13150079878901e-15,0.78,1
69,E68_I1,1.0653478087778032e-14,4.429873388542188e-14,2.5977806681952482e-14,8.228473204346933e-15,0.75,2
70,E69_I1,9.208117130753729e-15,0.0,0.0,0.0,0.78,0
71,E70_I1,1.0714153815115153e-14,0.0,0.0,0.0,0.75,0
72,E71_I1,1.0173343443868037e-14,0.0,0.0,0.0,0.76,0
73,E72_I1,8.253057410729595e-15,0.0,0.0,0.0,0.8,0
74,E73_I1,1.426160526579286e-14,0.0,0.0,0.0,0.68,0
75,E74_I1,1.0216327866977782e-14,2.2248796371135878e-14,1.3044013300490571e-14,4.1385387392671654e-15,0.76,1
76,E75_I1,8.744550477827766e-15,0.0,0.0,0.0,0.79,0
77,E76_I1,1.2621251669629907e-14,4.4062858672964554e-14,2.5875207723508826e-14,8.183321959734521e-15,0.71,2
78,E77_I1,1.115585375089724e-14,0.0,0.0,0.0,0.74,0
79,E78_I1,1.067344632444396e-14,0.0,0.0,0.0,0.75,0
80,E79_I1,9.671097469765993e-15,4.4241254928183565e-14,2.596088346928913e-14,8.221019585537767e-15,0.77,2
81,E80_I1,1.164891874421358e-14,0.0,0.0,0.0,0.73,0
82,E81_I1,1.0609956158432456e-14,0.0,0.0,0.0,0.75,0
83,E82_I1,1.0154293356254204e-14,0.0,0.0,0.0,0.76,0
84,E83_I1,1.1100247089750273e-14,2.203283806881225e-14,1.2941470703051508e-14,4.093361128141201e-15,0.74,1
85,E84_I1,7.363076325061262e-15,0.0,0.0,0.0,0.82,0
86,E85_I1,7.336547074973498e-15,0.0,0.0,0.0,0.82,0
87,E86_I1,1.110136488093132e-14,0.0,0.0,0.0,0.74,0
88,E87_I1,1.117615376224003e-14,4.4349730985043714e-14,2.602601767091908e-14,8.249720419865492e-15,0.74,2
89,E88_I1,9.712153288152659e-15,0.0,0.0,0.0,0.77,0
90,E89_I1,1.1149709351724665e-14,0.0,0.0,0.0,0.74,0
91,E90_I1,1.1136179022184127e-14,0.0,0.0,0.0,0.74,0
