,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,6.141666666666667,8.748611111111112,8.748611111111112,8.748611111111112,n/a,n/a
1,E0_I1,1.2523229756458047e-14,1.1114728760542031e-14,1.2424907462156221e-14,2.0674295358361167e-15,0.51,1
2,E1_I1,9.752313543609915e-15,2.2105292005850753e-14,2.470483099071615e-14,4.106010937048315e-15,0.59,2
3,E2_I1,7.666381741431469e-15,1.1033546727900488e-14,1.2331770708341418e-14,2.0489012743411848e-15,0.66,1
4,E3_I1,1.097023462797041e-14,0.0,0.0,0.0,0.55,0
5,E4_I1,9.80881868022373e-15,1.111485035287341e-14,1.2419690094204152e-14,2.0663907559694922e-15,0.59,1
6,E5_I1,1.5207595504598257e-14,0.0,0.0,0.0,0.44,0
7,E6_I1,1.0782594338172718e-14,2.222792496409986e-14,2.4847244136940173e-14,4.13434720810355e-15,0.56,2
8,E7_I1,9.139368721998342e-15,0.0,0.0,0.0,0.61,0
9,E8_I1,1.0388966174435174e-14,2.2094899257153722e-14,2.470313096075245e-14,4.105672907222784e-15,0.57,2
10,E9_I1,8.91798399737939e-15,0.0,0.0,0.0,0.62,0
11,E10_I1,1.070009466816174e-14,2.20674270969179e-14,2.466846948928504e-14,4.0987820842468496e-15,0.56,2
12,E11_I1,1.2080507745449384e-14,0.0,0.0,0.0,0.52,0
13,E12_I1,1.041830326352139e-14,0.0,0.0,0.0,0.57,0
14,E13_I1,9.741626435550831e-15,7.727805669836574e-14,8.637781650294805e-14,1.4353325430890503e-14,0.59,7
15,E14_I1,1.1030230860504326e-14,1.1021044386958428e-14,1.2331731764940418e-14,2.0488935338816672e-15,0.55,1
16,E15_I1,1.0457732646229466e-14,0.0,0.0,0.0,0.57,0
17,E16_I1,8.512073243287002e-15,0.0,0.0,0.0,0.63,0
18,E17_I1,7.386235239784396e-15,1.1024336134325421e-14,1.2327544415523366e-14,2.0480612820306796e-15,0.67,1
19,E18_I1,8.53243017285848e-15,1.1044461012857555e-14,1.2342298385138776e-14,2.0509939824237068e-15,0.63,1
20,E19_I1,1.2890530848409036e-14,1.1118237615517561e-14,1.2424002320418987e-14,2.067249314501656e-15,0.5,1
21,E20_I1,8.269074629083595e-15,1.1078893635606022e-14,1.2380971767204867e-14,2.0586850992525243e-15,0.64,1
