,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,4.610555555555556,6.562222222222222,6.562222222222222,6.562222222222222,n/a,n/a
1,E0_I1,inf,8.634809622984777e-15,8.633775945209452e-15,1.43573914690651e-15,0.0,14
2,E1_I1,inf,5.529362043561082e-15,5.530628427739205e-15,9.190658523167122e-16,0.0,9
3,E2_I1,inf,1.3641110405528154e-14,1.3633013151737251e-14,2.2692312679423855e-15,0.0,22
4,E3_I1,inf,1.113472603973384e-14,1.1130456558490084e-14,1.851898830999789e-15,0.0,18
5,E4_I1,inf,9.881926321040697e-15,9.879512082076574e-15,1.643300270063043e-15,0.0,16
6,E5_I1,inf,1.0420390717950117e-14,1.0424917604127665e-14,1.7316754514090497e-15,0.0,17
7,E6_I1,inf,1.1692750840791823e-14,1.1693672679124003e-14,1.943809655580587e-15,0.0,19
8,E7_I1,inf,1.4130624684399477e-14,1.4133851267126607e-14,2.3487284297927095e-15,0.0,23
9,E8_I1,inf,1.1092398433501328e-14,1.1091921266141135e-14,1.844229855646311e-15,0.0,18
10,E9_I1,inf,7.354372775458004e-15,7.357674205862628e-15,1.2221423247242597e-15,0.0,12
11,E10_I1,inf,2.83659224867381e-14,2.8363057613772262e-14,4.7164212047570356e-15,0.0,46
12,E11_I1,inf,7.40468363856993e-15,7.403481544877364e-15,1.2312508141475367e-15,0.0,12
13,E12_I1,inf,7.389657735277084e-15,7.389813202199606e-15,1.2285315779140997e-15,0.0,12
14,E13_I1,inf,2.4573695037824153e-15,2.457943217881203e-15,4.0845107629249778e-16,0.0,4
15,E14_I1,5.669295307858283e-15,9.873007601474336e-15,9.87141351607067e-15,1.6416886039704053e-15,0.01,16
16,E15_I1,5.644716039283441e-15,6.143844940589552e-15,6.145239402559118e-15,1.0212035056785404e-15,0.01,10
17,E16_I1,inf,4.9642363169974284e-15,4.9609426893862915e-15,8.258689183329259e-16,0.0,8
18,E17_I1,inf,3.699628394577377e-15,3.6992762337266715e-15,6.15135034229235e-16,0.0,6
19,E18_I1,inf,1.5458610042137083e-14,1.5453248017502266e-14,2.5709430668499934e-15,0.0,25
20,E19_I1,inf,4.311220099266932e-15,4.311253682663435e-15,7.16748703355131e-16,0.0,7
21,E20_I1,inf,1.0528873504058255e-14,1.0523693203355344e-14,1.7513243993591773e-15,0.0,17
22,E21_I1,inf,4.296255859351498e-15,4.2976225110546764e-15,7.140383653675997e-16,0.0,7
23,E22_I1,inf,1.4046850506642818e-14,1.4057531694925034e-14,2.3335653708485294e-15,0.0,23
24,E23_I1,inf,4.958038699141273e-15,4.95530455883674e-15,8.247458171788108e-16,0.0,8
