,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.352777777777778,4.265833333333333,4.265833333333333,4.265833333333333,n/a,n/a
1,E0_I1,1.2086919604025997e-06,1.0159735119115257e-06,1.0239609212046684e-06,2.3565578021241127e-07,0.5,52
2,E1_I1,4.48887116704256e-07,7.995507494156299e-07,7.920938889501603e-07,1.8816885888744567e-07,0.8,36
3,E2_I1,1.4070366481294885e-06,5.462901206228456e-07,5.389208797372329e-07,1.2878768072092227e-07,0.5,24
4,E3_I1,1.2730706927549852e-06,9.192578614950056e-07,9.132416774858186e-07,2.1620501358450926e-07,0.5,42
5,E4_I1,9.941947478702775e-07,7.87384479154651e-07,7.833648574291743e-07,1.840369419674798e-07,0.6,37
6,E0_I2_P0,,1.3014386698987931e-06,1.293823542336697e-06,3.07060848259378e-07,,59
7,E0_I2_P1,,1.687083070261417e-06,1.7350311983782877e-06,3.877232579378411e-07,,98
8,E0_I2_P2,,9.03607284776748e-07,9.095069115625919e-07,2.0955496981380998e-07,,46
9,E0_I2_P3,,4.1729420686721087e-07,4.208360217008113e-07,9.606928887556884e-08,,22
10,E0_I2_P4,,8.387464126549649e-07,8.347173919622431e-07,1.9671461810300835e-07,,39
11,E0_I2_P5,,8.21282239615756e-07,8.366010645534442e-07,1.8833275173117487e-07,,46
12,E0_I2_P6,,1.147751182224911e-06,1.1554608582735227e-06,2.667908817842516e-07,,58
13,E0_I2_P7,,1.360226529961971e-06,1.3984277173081039e-06,3.103775981538285e-07,,81
14,E0_I2_P8,,8.274369517560967e-07,8.503847413165601e-07,1.8797934517077275e-07,,50
15,E0_I2_P9,,9.669775320022328e-07,9.656859290498458e-07,2.263182808959116e-07,,46
16,E1_I2_P0,,8.261629296167284e-07,8.452459661396421e-07,1.8860846500654149e-07,,48
17,E1_I2_P1,,1.472367250794752e-06,1.4684716432541276e-06,3.469631208296081e-07,,68
18,E1_I2_P2,,7.041691187357818e-07,7.111173248495281e-07,1.625490017377404e-07,,37
19,E1_I2_P3,,8.645045916872632e-07,8.747608355264594e-07,1.9936491023241997e-07,,46
20,E1_I2_P4,,7.206675425324343e-07,7.135538751285694e-07,1.6865737149143054e-07,,33
21,E1_I2_P5,,1.2315101071847528e-06,1.2552795974801248e-06,2.837447785992987e-07,,68
22,E1_I2_P6,,8.474374732348381e-07,8.47653606448382e-07,1.9778927558949397e-07,,41
23,E1_I2_P7,,6.187783713299923e-07,6.069941756589781e-07,1.4672631536192597e-07,,26
24,E1_I2_P8,,7.859364176289772e-07,7.981501513755193e-07,1.8068825430821634e-07,,43
25,E1_I2_P9,,1.694656045718745e-06,1.7186132868022207e-06,3.9460871990974094e-07,,88
26,E2_I2_P0,,8.824143580866032e-07,8.924449103941404e-07,2.0331088852703367e-07,,47
27,E2_I2_P1,,8.019116170863376e-07,7.971939792545325e-07,1.8823241665747244e-07,,37
28,E2_I2_P2,,1.0392476772391032e-06,1.0220046125164844e-06,2.466732355295185e-07,,44
29,E2_I2_P3,,8.098672807560216e-07,8.066937941123585e-07,1.8966354317124386e-07,,38
30,E2_I2_P4,,7.256001892610617e-07,7.298502041329637e-07,1.6805051516331816e-07,,37
31,E2_I2_P5,,1.353083036395382e-06,1.3587041203516982e-06,3.1665098800444904e-07,,66
32,E2_I2_P6,,2.0534213703653943e-06,2.058371547829412e-06,4.853390016267446e-07,,96
33,E2_I2_P7,,8.173186031773711e-07,8.012548607186091e-07,1.942247222846247e-07,,34
34,E2_I2_P8,,1.0528361220811393e-06,1.0714576978494703e-06,2.422419854690962e-07,,58
35,E2_I2_P9,,1.0775434934329553e-06,1.078935036272125e-06,2.520136654371312e-07,,52
36,E3_I2_P0,,1.9575898244340252e-06,1.9421974305267317e-06,4.665099211034744e-07,,85
37,E3_I2_P1,,7.659766293942206e-07,7.513706350502266e-07,1.8193520709176342e-07,,32
38,E3_I2_P2,,4.764303649657601e-06,4.732503609041776e-06,1.166354168818249e-06,,190
39,E3_I2_P3,,1.4653811708076898e-06,1.4958629066013418e-06,3.3816410557484073e-07,,81
40,E3_I2_P4,,7.812731828421058e-07,7.810355836881264e-07,1.8194042424204856e-07,,38
41,E3_I2_P5,,8.19287958008859e-07,8.278545788269246e-07,1.8932384534778773e-07,,43
42,E3_I2_P6,,9.89876626996419e-07,9.611594675920526e-07,2.3798943691618903e-07,,38
43,E3_I2_P7,,1.3801551678808364e-06,1.4026541915416374e-06,3.193870563034867e-07,,74
44,E3_I2_P8,,9.554920901866565e-07,9.473162017412063e-07,2.2512653072755648e-07,,43
45,E3_I2_P9,,4.3892178411780066e-07,4.374199422799179e-07,1.0228441729402181e-07,,21
46,E4_I2_P0,,1.0225450704512182e-06,1.0110378256000591e-06,2.416502630802313e-07,,45
47,E4_I2_P1,,1.1400045574149991e-06,1.1456217196913985e-06,2.651802839533745e-07,,57
48,E4_I2_P2,,5.128969277073364e-07,4.979390921706295e-07,1.2270377951166278e-07,,20
49,E4_I2_P3,,8.43132127544994e-07,8.381636949183911e-07,1.9776169914004132e-07,,39
50,E4_I2_P4,,8.960087995133277e-07,8.895220976818532e-07,2.104542732087433e-07,,41
51,E4_I2_P5,,9.051251021449274e-07,9.196197267487001e-07,2.076618380383681e-07,,50
52,E4_I2_P6,,7.224632311450214e-07,7.249175476079592e-07,1.678883221319574e-07,,36
53,E4_I2_P7,,2.3048278163653787e-06,2.348001857609714e-06,5.381553070300545e-07,,121
54,E4_I2_P8,,1.6624873925252925e-06,1.6989237643841938e-06,3.840642609588623e-07,,92
55,E4_I2_P9,,9.755489567996069e-07,9.837270805780246e-07,2.263413191613272e-07,,50
