,Experiments,LDM,SIM
0,time,4.610277777777778,6.561944444444444
1,E0_I1,7.914572304314948e-15,4.205880262317762e-14
2,E1_I1,1.480810044710257e-14,3.160121384559397e-14
3,E2_I1,9.518098833350975e-15,0.0
4,E3_I1,5.922086527143375e-15,0.0
5,E4_I1,1.2851402825599669e-14,3.019992466285924e-14
6,E5_I1,9.50906361067457e-15,3.190930923576407e-14
7,E6_I1,1.4157913807743523e-14,0.0
8,E7_I1,1.3165857867025703e-14,1.5529955507154836e-13
9,E8_I1,9.14166834682518e-15,0.0
10,E9_I1,1.3779741752422585e-14,0.0
11,E10_I1,5.108117303808877e-15,0.0
12,E11_I1,1.6790862166467753e-14,0.0
13,E12_I1,1.0362922181995192e-14,0.0
14,E13_I1,1.4453370076417205e-14,0.0
15,E14_I1,1.0052523329229877e-14,0.0
16,E15_I1,4.916662482519014e-15,8.468073492025888e-14
17,E16_I1,7.561057587464362e-15,0.0
18,E17_I1,1.1378715819749173e-14,0.0
19,E18_I1,1.5914943651464176e-14,0.0
20,E19_I1,6.1145167684833435e-15,0.0
21,E20_I1,1.1758550031183567e-14,2.3439888080980614e-14
22,E21_I1,6.922727188813815e-15,1.9547907430775626e-14
23,E22_I1,8.900683082420743e-15,5.2290456026262824e-14
24,E23_I1,5.672927821923847e-15,0.0
25,E24_I1,1.1720745180224393e-14,0.0
26,E25_I1,1.7897450378205376e-14,0.0
27,E26_I1,8.594228420695856e-15,0.0
28,E27_I1,1.529032335362322e-14,0.0
29,E28_I1,1.538250115766775e-14,0.0
30,E29_I1,9.559433516051849e-15,0.0
31,E30_I1,7.420908358431384e-15,0.0
32,E31_I1,8.502474487370002e-15,0.0
33,E32_I1,7.310434794416565e-15,0.0
34,E33_I1,1.359534055259424e-14,0.0
35,E34_I1,1.7745577109258644e-14,3.07371394221348e-14
36,E35_I1,1.3545408241965836e-14,0.0
37,E36_I1,8.953026536151217e-15,0.0
38,E37_I1,8.071723784447794e-15,0.0
39,E38_I1,1.0950791978051843e-14,3.5397082607099425e-13
40,E39_I1,1.078143390265336e-14,0.0
41,E40_I1,1.2263917680042877e-14,0.0
42,E41_I1,1.1854486805101554e-14,0.0
43,E42_I1,1.0210656816104497e-14,7.385160901211163e-14
44,E43_I1,8.84957347300919e-15,2.20923973246999e-14
45,E44_I1,9.992133493557903e-15,3.160121384559397e-14
46,E45_I1,8.962582602322657e-15,0.0
47,E46_I1,7.083613659394717e-15,5.2025080473595064e-14
48,E47_I1,7.084288269590232e-15,0.0
49,E48_I1,1.3022499260324723e-14,0.0
50,E49_I1,2.1107803874588606e-14,0.0
51,E50_I1,8.907619505877606e-15,2.7874244140844666e-14
52,E51_I1,8.327749563169128e-15,0.0
53,E52_I1,1.4218056130891226e-14,0.0
54,E53_I1,1.4696694953057313e-14,0.0
55,E54_I1,1.1543753098050979e-14,0.0
56,E55_I1,1.2745047770076552e-14,0.0
57,E56_I1,1.0430869981822632e-14,0.0
58,E57_I1,6.930606581968593e-15,0.0
59,E58_I1,7.723679171219817e-15,0.0
60,E59_I1,1.1731863623534273e-14,0.0
61,E60_I1,1.1469215486367606e-14,0.0
62,E61_I1,1.2061545239254215e-14,0.0
63,E62_I1,5.869600134506183e-15,3.8045516947862686e-14
64,E63_I1,1.8410188519519686e-14,1.858873025662684e-14
65,E64_I1,9.272666951687923e-15,0.0
66,E65_I1,1.1242102297082152e-14,0.0
67,E66_I1,1.1448515348830012e-14,2.0425598190141282e-14
68,E67_I1,9.764220109857767e-15,0.0
69,E68_I1,1.1657615964031593e-14,0.0
70,E69_I1,1.3122978108730567e-14,0.0
71,E70_I1,1.6275730332974013e-14,0.0
72,E71_I1,1.1765608719359843e-14,0.0
73,E72_I1,8.249402229725465e-15,0.0
74,E73_I1,2.1706447821158356e-14,1.5900277612152204e-14
75,E74_I1,6.770795089476309e-15,0.0
76,E75_I1,9.239044293020363e-15,0.0
77,E76_I1,9.469459160839418e-15,0.0
78,E77_I1,1.2439311566255998e-14,0.0
79,E78_I1,6.473121589145777e-15,1.569342593439347e-14
80,E79_I1,9.732936837724041e-15,0.0
81,E80_I1,5.357105617163284e-15,0.0
82,E81_I1,1.2855498793025503e-14,0.0
83,E82_I1,9.726502137018811e-15,0.0
84,E83_I1,8.309480880884717e-15,5.868014614701624e-14
85,E84_I1,1.6669282550076855e-14,0.0
86,E85_I1,7.761337550744583e-15,0.0
87,E86_I1,3.242541324984073e-15,0.0
88,E87_I1,8.747603491727302e-15,0.0
89,E88_I1,5.7275575983524616e-15,0.0
90,E89_I1,1.4287449912046875e-14,0.0
91,E90_I1,9.101289845171548e-15,0.0
92,E91_I1,1.0651677866133608e-14,2.5254567982804674e-13
93,E92_I1,1.0844597222016213e-14,0.0
94,E93_I1,8.00269257487848e-15,0.0
95,E94_I1,1.0227166136317966e-14,0.0
96,E95_I1,6.244177808957107e-15,0.0
97,E96_I1,9.114978080814592e-15,0.0
98,E97_I1,1.226735915622258e-14,0.0
99,E98_I1,1.1517655529377292e-14,0.0
100,E99_I1,6.999974611561798e-15,1.8245399289832936e-14
101,E0_I2_P0,,0.0
102,E0_I2_P1,,4.4213932977533987e-14
103,E0_I2_P2,,0.0
104,E0_I2_P3,,0.0
105,E0_I2_P4,,0.0
106,E0_I2_P5,,0.0
107,E0_I2_P6,,0.0
108,E0_I2_P7,,0.0
109,E0_I2_P8,,2.7704615138189536e-14
110,E0_I2_P9,,0.0
111,E0_I2_P10,,0.0
112,E0_I2_P11,,3.08832500676969e-14
113,E0_I2_P12,,0.0
114,E0_I2_P13,,2.7629408371745284e-14
115,E0_I2_P14,,0.0
116,E0_I2_P15,,0.0
117,E0_I2_P16,,0.0
118,E0_I2_P17,,0.0
119,E0_I2_P18,,0.0
120,E0_I2_P19,,0.0
121,E0_I2_P20,,0.0
122,E0_I2_P21,,0.0
123,E0_I2_P22,,0.0
124,E0_I2_P23,,4.487173453654082e-14
125,E0_I2_P24,,0.0
126,E0_I2_P25,,0.0
127,E0_I2_P26,,0.0
128,E0_I2_P27,,0.0
129,E0_I2_P28,,3.2188535395646786e-14
130,E0_I2_P29,,0.0
131,E0_I2_P30,,0.0
132,E0_I2_P31,,0.0
133,E0_I2_P32,,1.9397350943985213e-14
134,E0_I2_P33,,0.0
135,E0_I2_P34,,1.513900642328001e-14
136,E0_I2_P35,,0.0
137,E0_I2_P36,,0.0
138,E0_I2_P37,,0.0
139,E0_I2_P38,,0.0
140,E0_I2_P39,,0.0
141,E0_I2_P40,,0.0
142,E0_I2_P41,,0.0
143,E0_I2_P42,,0.0
144,E0_I2_P43,,0.0
145,E0_I2_P44,,0.0
146,E0_I2_P45,,1.0625857833634541e-13
147,E0_I2_P46,,0.0
148,E0_I2_P47,,6.05913069783146e-14
149,E0_I2_P48,,0.0
150,E0_I2_P49,,2.5732143233103605e-14
151,E0_I2_P50,,4.641985332877481e-14
152,E0_I2_P51,,2.818589449933069e-13
153,E0_I2_P52,,0.0
154,E0_I2_P53,,0.0
155,E0_I2_P54,,0.0
156,E0_I2_P55,,2.088735709047374e-14
157,E0_I2_P56,,0.0
158,E0_I2_P57,,4.017205876713486e-14
159,E0_I2_P58,,0.0
160,E0_I2_P59,,2.764752365652949e-14
161,E0_I2_P60,,0.0
162,E0_I2_P61,,0.0
163,E0_I2_P62,,0.0
164,E0_I2_P63,,0.0
165,E0_I2_P64,,0.0
166,E0_I2_P65,,0.0
167,E0_I2_P66,,0.0
168,E0_I2_P67,,3.140402231489894e-14
169,E0_I2_P68,,0.0
170,E0_I2_P69,,0.0
171,E0_I2_P70,,1.9194430076792674e-14
172,E0_I2_P71,,0.0
173,E0_I2_P72,,0.0
174,E0_I2_P73,,0.0
175,E0_I2_P74,,2.451432302265613e-14
176,E0_I2_P75,,0.0
177,E0_I2_P76,,0.0
178,E0_I2_P77,,0.0
179,E0_I2_P78,,0.0
180,E0_I2_P79,,3.77429053300503e-14
181,E0_I2_P80,,2.3952248350473117e-14
182,E0_I2_P81,,0.0
183,E0_I2_P82,,0.0
184,E0_I2_P83,,4.176840762857102e-13
185,E0_I2_P84,,0.0
186,E0_I2_P85,,1.8852572859279862e-13
187,E0_I2_P86,,0.0
188,E0_I2_P87,,0.0
189,E0_I2_P88,,2.3974335712239056e-13
190,E0_I2_P89,,0.0
191,E0_I2_P90,,0.0
192,E0_I2_P91,,1.4824789871378703e-14
193,E0_I2_P92,,0.0
194,E0_I2_P93,,0.0
195,E0_I2_P94,,0.0
196,E0_I2_P95,,0.0
197,E0_I2_P96,,0.0
198,E0_I2_P97,,0.0
199,E0_I2_P98,,0.0
200,E0_I2_P99,,0.0
201,E1_I2_P0,,3.344785259035741e-14
202,E1_I2_P1,,0.0
203,E1_I2_P2,,0.0
204,E1_I2_P3,,1.3922973515505788e-14
205,E1_I2_P4,,2.2444251389994756e-14
206,E1_I2_P5,,3.175546991069572e-13
207,E1_I2_P6,,0.0
208,E1_I2_P7,,0.0
209,E1_I2_P8,,0.0
210,E1_I2_P9,,0.0
211,E1_I2_P10,,0.0
212,E1_I2_P11,,1.818790795487859e-14
213,E1_I2_P12,,0.0
214,E1_I2_P13,,0.0
215,E1_I2_P14,,0.0
216,E1_I2_P15,,9.568773170336107e-14
217,E1_I2_P16,,0.0
218,E1_I2_P17,,4.55319065574074e-14
219,E1_I2_P18,,0.0
220,E1_I2_P19,,0.0
221,E1_I2_P20,,0.0
222,E1_I2_P21,,0.0
223,E1_I2_P22,,0.0
224,E1_I2_P23,,0.0
225,E1_I2_P24,,0.0
226,E1_I2_P25,,2.07125021208836e-14
227,E1_I2_P26,,0.0
228,E1_I2_P27,,0.0
229,E1_I2_P28,,2.0540868452778896e-13
230,E1_I2_P29,,4.5581760414496043e-14
231,E1_I2_P30,,2.8335841727176318e-14
232,E1_I2_P31,,0.0
233,E1_I2_P32,,2.6629297622465202e-14
234,E1_I2_P33,,0.0
235,E1_I2_P34,,0.0
236,E1_I2_P35,,4.552416006856996e-14
237,E1_I2_P36,,0.0
238,E1_I2_P37,,0.0
239,E1_I2_P38,,0.0
240,E1_I2_P39,,0.0
241,E1_I2_P40,,2.4428472748662327e-14
242,E1_I2_P41,,0.0
243,E1_I2_P42,,0.0
244,E1_I2_P43,,4.5999847638690316e-14
245,E1_I2_P44,,0.0
246,E1_I2_P45,,0.0
247,E1_I2_P46,,5.496155233453309e-14
248,E1_I2_P47,,0.0
249,E1_I2_P48,,0.0
250,E1_I2_P49,,0.0
251,E1_I2_P50,,4.275372448427779e-14
252,E1_I2_P51,,0.0
253,E1_I2_P52,,0.0
254,E1_I2_P53,,0.0
255,E1_I2_P54,,2.525496928527063e-14
256,E1_I2_P55,,0.0
257,E1_I2_P56,,0.0
258,E1_I2_P57,,0.0
259,E1_I2_P58,,0.0
260,E1_I2_P59,,0.0
261,E1_I2_P60,,0.0
262,E1_I2_P61,,8.343979866399134e-14
263,E1_I2_P62,,1.723059750148556e-14
264,E1_I2_P63,,0.0
265,E1_I2_P64,,0.0
266,E1_I2_P65,,1.5552073726643987e-13
267,E1_I2_P66,,0.0
268,E1_I2_P67,,0.0
269,E1_I2_P68,,0.0
270,E1_I2_P69,,0.0
271,E1_I2_P70,,0.0
272,E1_I2_P71,,0.0
273,E1_I2_P72,,3.068042576077451e-14
274,E1_I2_P73,,0.0
275,E1_I2_P74,,0.0
276,E1_I2_P75,,4.6507147494325e-14
277,E1_I2_P76,,0.0
278,E1_I2_P77,,0.0
279,E1_I2_P78,,0.0
280,E1_I2_P79,,0.0
281,E1_I2_P80,,0.0
282,E1_I2_P81,,0.0
283,E1_I2_P82,,0.0
284,E1_I2_P83,,0.0
285,E1_I2_P84,,0.0
286,E1_I2_P85,,0.0
287,E1_I2_P86,,0.0
288,E1_I2_P87,,0.0
289,E1_I2_P88,,5.221644706902528e-14
290,E1_I2_P89,,3.4186124440100597e-14
291,E1_I2_P90,,7.426941999743807e-14
292,E1_I2_P91,,0.0
293,E1_I2_P92,,0.0
294,E1_I2_P93,,0.0
295,E1_I2_P94,,0.0
296,E1_I2_P95,,0.0
297,E1_I2_P96,,0.0
298,E1_I2_P97,,0.0
299,E1_I2_P98,,3.8536519461046955e-14
300,E1_I2_P99,,3.7475376438523847e-14
301,E2_I2_P0,,5.88425892785282e-14
302,E2_I2_P1,,0.0
303,E2_I2_P2,,0.0
304,E2_I2_P3,,0.0
305,E2_I2_P4,,0.0
306,E2_I2_P5,,1.9188416081828368e-14
307,E2_I2_P6,,0.0
308,E2_I2_P7,,0.0
309,E2_I2_P8,,2.6034290064858567e-14
310,E2_I2_P9,,9.790577850807185e-14
311,E2_I2_P10,,0.0
312,E2_I2_P11,,6.957724444332641e-14
313,E2_I2_P12,,0.0
314,E2_I2_P13,,0.0
315,E2_I2_P14,,0.0
316,E2_I2_P15,,0.0
317,E2_I2_P16,,0.0
318,E2_I2_P17,,0.0
319,E2_I2_P18,,0.0
320,E2_I2_P19,,0.0
321,E2_I2_P20,,0.0
322,E2_I2_P21,,0.0
323,E2_I2_P22,,0.0
324,E2_I2_P23,,5.75312522887249e-14
325,E2_I2_P24,,0.0
326,E2_I2_P25,,3.626333961751285e-14
327,E2_I2_P26,,0.0
328,E2_I2_P27,,0.0
329,E2_I2_P28,,0.0
330,E2_I2_P29,,0.0
331,E2_I2_P30,,0.0
332,E2_I2_P31,,3.750906194105979e-12
333,E2_I2_P32,,0.0
334,E2_I2_P33,,0.0
335,E2_I2_P34,,0.0
336,E2_I2_P35,,0.0
337,E2_I2_P36,,4.2729588809278105e-14
338,E2_I2_P37,,4.8023513873295186e-14
339,E2_I2_P38,,0.0
340,E2_I2_P39,,0.0
341,E2_I2_P40,,0.0
342,E2_I2_P41,,0.0
343,E2_I2_P42,,0.0
344,E2_I2_P43,,0.0
345,E2_I2_P44,,0.0
346,E2_I2_P45,,0.0
347,E2_I2_P46,,0.0
348,E2_I2_P47,,0.0
349,E2_I2_P48,,2.219634229316776e-14
350,E2_I2_P49,,0.0
351,E2_I2_P50,,0.0
352,E2_I2_P51,,0.0
353,E2_I2_P52,,0.0
354,E2_I2_P53,,0.0
355,E2_I2_P54,,2.1974781106674815e-14
