,Experiments,LDM,SIM
0,time,4.610277777777778,6.561944444444444
1,E0_I1,1.6102694989524018e-14,0.0
2,E1_I1,8.659894336736252e-15,4.702852396020844e-14
3,E2_I1,6.286890986588476e-15,0.0
4,E3_I1,1.2996544481560822e-14,0.0
5,E4_I1,1.1997004370360043e-14,0.0
6,E5_I1,9.642852829247308e-15,3.3664298164064844e-14
7,E6_I1,1.3168569528263308e-14,0.0
8,E7_I1,6.882309016264921e-15,2.2756085384872267e-14
9,E8_I1,1.1521961849399151e-14,2.0886102350533705e-14
10,E9_I1,1.469213736838247e-14,1.1631306667155563e-14
11,E10_I1,1.0682209705188691e-14,0.0
12,E11_I1,1.4828270974263483e-14,0.0
13,E12_I1,4.305215110811584e-15,0.0
14,E13_I1,9.462922582378254e-15,1.96692991387529e-14
15,E14_I1,7.562869600769725e-15,0.0
16,E15_I1,9.978615884676379e-15,0.0
17,E16_I1,8.858029435203454e-15,0.0
18,E17_I1,7.132791546116426e-15,2.845005091869677e-14
19,E18_I1,1.0972475122972062e-14,2.146052786422971e-14
20,E19_I1,9.712472102625268e-15,0.0
21,E20_I1,8.954719077894451e-15,0.0
22,E21_I1,1.0257164669263407e-14,0.0
23,E22_I1,7.38549271390653e-15,0.0
24,E23_I1,1.4431716790678057e-14,0.0
25,E24_I1,9.520253516276995e-15,0.0
26,E25_I1,1.473561764388304e-14,0.0
27,E26_I1,1.0831201545734416e-14,0.0
28,E27_I1,1.2109227021527729e-14,0.0
29,E28_I1,1.1672634290631622e-14,0.0
30,E29_I1,6.614323449251277e-15,2.7961275529407468e-14
31,E30_I1,8.524519033544153e-15,0.0
32,E31_I1,8.434322076812399e-15,4.572859557899267e-14
33,E32_I1,8.895314632486922e-15,0.0
34,E33_I1,1.2218369189610191e-14,2.1488684805050643e-14
35,E34_I1,8.340135806914934e-15,0.0
36,E35_I1,5.9834882328217184e-15,3.0080788962934897e-14
37,E36_I1,7.20099180263244e-15,0.0
38,E37_I1,1.42874198410125e-14,3.371490750008236e-14
39,E38_I1,5.9241233606024585e-15,0.0
40,E39_I1,1.6983398140898592e-14,0.0
41,E40_I1,6.416338893833616e-15,0.0
42,E41_I1,6.333209291438662e-15,1.552262791633679e-14
43,E42_I1,9.305721001974769e-15,0.0
44,E43_I1,1.0247041691231715e-14,0.0
45,E44_I1,1.428001383697678e-14,0.0
46,E45_I1,7.417051333081392e-15,0.0
47,E46_I1,1.1568538527155604e-14,2.4647623208300243e-14
48,E47_I1,8.566419929665743e-15,0.0
49,E48_I1,1.3078822682877302e-14,0.0
50,E49_I1,1.9611062812374516e-14,0.0
51,E50_I1,8.099861530722344e-15,2.607310829452789e-14
52,E51_I1,8.992515977112425e-15,1.1786560531003569e-14
53,E52_I1,1.52747743025935e-14,0.0
54,E53_I1,8.365013852919134e-15,0.0
55,E54_I1,inf,0.0
56,E55_I1,7.900198312224405e-15,0.0
57,E56_I1,1.1419933586584743e-14,1.5172867434754676e-14
58,E57_I1,1.107749325293307e-14,2.2103139772697475e-14
59,E58_I1,6.2190895433142515e-15,0.0
60,E59_I1,7.000398715709849e-15,0.0
61,E60_I1,7.868381218773891e-15,2.313348969878115e-14
62,E61_I1,1.5344809342719014e-14,2.256089292338627e-14
63,E62_I1,9.723688773468122e-15,7.451886728340189e-14
64,E63_I1,9.66927866149113e-15,2.2042001297699823e-14
65,E64_I1,7.302937185356385e-15,0.0
66,E65_I1,1.6358472333963507e-14,1.467747679838434e-13
67,E66_I1,1.0817957953448502e-14,3.282584486140847e-14
68,E67_I1,8.290125271856858e-15,0.0
69,E68_I1,1.4850459434607376e-14,2.0694645212423377e-14
70,E69_I1,1.8723349022933415e-14,0.0
71,E70_I1,1.1764458279126646e-14,0.0
72,E71_I1,8.596631199186222e-15,0.0
73,E72_I1,9.316988480504467e-15,0.0
74,E73_I1,1.3320873552356606e-14,0.0
75,E74_I1,9.437816762011976e-15,0.0
76,E75_I1,1.1994766118202001e-14,0.0
77,E76_I1,5.08123519449387e-15,4.9451864050107756e-14
78,E77_I1,2.078196373813931e-14,0.0
79,E78_I1,7.748671032578365e-15,6.16496527810391e-14
80,E79_I1,8.35807432253778e-15,0.0
81,E80_I1,1.195878509599764e-14,0.0
