,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.352777777777778,4.265833333333333,4.265833333333333,4.265833333333333,n/a,n/a
1,E0_I1,1.0212241799912202e-06,4.6342447636605973e-07,4.4499965218541666e-07,1.3082218834581655e-07,0.01,4
2,E1_I1,1.037999281324426e-06,1.6875120590227326e-06,1.5655019554402258e-06,5.053734985812788e-07,0.03,11
3,E2_I1,6.338842971509667e-07,1.8340697931306677e-06,1.8645798379679638e-06,4.98963748684706e-07,0.02,22
4,E3_I1,inf,3.3982512790054706e-07,3.5306292549226837e-07,8.912596156997271e-08,0.0,5
5,E4_I1,inf,9.562854195068004e-07,9.517350369313111e-07,2.6480845279173646e-07,0.0,10
6,E5_I1,4.9213230326118e-07,9.803300386547396e-07,1.0566814330480978e-06,2.5231883638963286e-07,0.01,18
7,E6_I1,7.67323158031368e-07,1.2965397204483522e-06,1.3026792344041521e-06,3.514217404927797e-07,0.01,15
8,E7_I1,inf,1.8971293247907045e-06,1.8421514871564034e-06,5.256508641853522e-07,0.0,18
9,E8_I1,1.990867009372631e-06,8.051184130291816e-07,6.694569389743724e-07,2.630340841319779e-07,0.02,3
10,E9_I1,5.511809834453148e-07,4.331233843592708e-07,4.5443854812957864e-07,1.1180509777579411e-07,0.01,7
11,E10_I1,3.3545493605045464e-07,1.995310620362433e-06,2.1805126908036447e-06,5.060725153158681e-07,0.03,41
12,E11_I1,9.603552974535992e-07,4.3377432243825125e-07,4.2205937557278815e-07,1.2174129742987687e-07,0.01,4
13,E12_I1,4.236937712655112e-07,6.55484832380285e-07,7.190178686598015e-07,1.6524036689971066e-07,0.01,14
14,E13_I1,1.484203165711361e-06,0.0,0.0,0.0,0.01,0
15,E14_I1,5.96049071858903e-07,1.3274512702338743e-07,1.3914564757523692e-07,3.4964643752237736e-08,0.01,2
16,E15_I1,1.0723853030487534e-06,8.428212414287202e-07,8.121313629462424e-07,2.4244363791527564e-07,0.01,7
17,E16_I1,9.84764319271552e-07,2.196677032766066e-06,2.1564572298205168e-06,6.268474664008582e-07,0.01,20
18,E17_I1,inf,1.115906910091116e-06,1.1751712525055077e-06,2.947144846812352e-07,0.0,17
19,E18_I1,6.305071691001892e-07,9.101561964109514e-07,9.27947322997607e-07,2.4793839226828914e-07,0.02,11
20,E19_I1,9.822506584458983e-07,3.921839549188888e-07,3.7122872097382265e-07,1.1351712765341556e-07,0.02,3
21,E20_I1,1.6145992638564474e-06,8.643432292206251e-07,7.516640974215523e-07,2.727761709556457e-07,0.02,4
22,E21_I1,2.626644186050707e-06,0.0,0.0,0.0,0.01,0
23,E22_I1,8.084648738197693e-07,1.2019008498356047e-06,1.1139839579026936e-06,3.406768112650465e-07,0.04,9
24,E23_I1,4.5833720945367344e-07,1.0937588450399695e-06,1.1570393651792193e-06,2.712565689299109e-07,0.01,21
25,E24_I1,4.7119981874351675e-07,9.11246166807891e-07,9.304660240143618e-07,2.4190637219484616e-07,0.04,12
26,E25_I1,3.446984560418908e-07,5.50448985913378e-07,5.928893054573096e-07,1.347899423429282e-07,0.02,12
27,E26_I1,1.050855060551585e-06,1.1802198873246743e-07,1.1401747795098004e-07,3.3820602537032204e-08,0.01,1
28,E27_I1,7.310517431898569e-07,8.699286692137928e-07,8.636501533537942e-07,2.4098112089637263e-07,0.02,9
