,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.352777777777778,4.265833333333333,4.265833333333333,4.265833333333333,n/a,n/a
1,E0_I1,1.5557816624638975e-06,0.0,0.0,0.0,0.88,0
2,E1_I1,5.00457288070321e-07,0.0,0.0,0.0,0.93,0
3,E2_I1,8.683214212935828e-07,0.0,0.0,0.0,0.93,0
4,E3_I1,8.028809938211506e-07,0.0,0.0,0.0,0.9,0
5,E4_I1,1.0834366298518941e-06,0.0,0.0,0.0,0.91,0
6,E5_I1,1.443998104095038e-06,0.0,0.0,0.0,0.89,0
7,E6_I1,1.4413938851129614e-06,0.0,0.0,0.0,0.91,0
8,E7_I1,1.9168835089106037e-06,0.0,0.0,0.0,0.82,0
9,E8_I1,1.7177319565117703e-06,0.0,0.0,0.0,0.89,0
10,E9_I1,1.9322696563100574e-06,0.0,0.0,0.0,0.85,0
11,E10_I1,7.826027429539337e-07,0.0,0.0,0.0,0.95,0
12,E11_I1,1.2370820829218395e-06,0.0,0.0,0.0,0.91,0
13,E12_I1,1.573693366485485e-06,0.0,0.0,0.0,0.88,0
14,E13_I1,2.296108468740261e-06,0.0,0.0,0.0,0.83,0
15,E14_I1,3.9029422113467135e-07,0.0,0.0,0.0,0.91,0
16,E15_I1,1.186161847417111e-06,0.0,0.0,0.0,0.91,0
17,E16_I1,1.8906492840769172e-06,0.0,0.0,0.0,0.86,0
18,E17_I1,1.1228292029880052e-06,6.459943984215395e-05,6.502402343016434e-05,3.3978240334889535e-05,0.9,10
19,E18_I1,1.3273015447458386e-06,0.0,0.0,0.0,0.91,0
20,E19_I1,6.027958447727878e-07,0.0,0.0,0.0,0.89,0
21,E20_I1,7.967340538312217e-07,0.0,0.0,0.0,0.95,0
22,E21_I1,1.366667892641705e-06,0.0,0.0,0.0,0.87,0
23,E22_I1,1.4964011825680974e-06,0.0,0.0,0.0,0.86,0
24,E23_I1,3.406093299014721e-06,0.0,0.0,0.0,0.82,0
25,E24_I1,1.3526313755056227e-06,0.0,0.0,0.0,0.86,0
26,E25_I1,1.0301942566293836e-06,0.0,0.0,0.0,0.89,0
27,E26_I1,5.425312433776495e-07,0.0,0.0,0.0,0.91,0
28,E27_I1,7.454150648790789e-07,0.0,0.0,0.0,0.91,0
29,E28_I1,6.207186392055634e-07,0.0,0.0,0.0,0.93,0
30,E29_I1,2.167627924317726e-06,0.0,0.0,0.0,0.88,0
31,E30_I1,1.8544241791463302e-06,0.0,0.0,0.0,0.88,0
32,E31_I1,1.4760637694044283e-06,0.0,0.0,0.0,0.9,0
33,E32_I1,1.1067159965346128e-06,0.0,0.0,0.0,0.87,0
34,E33_I1,7.441278650695566e-07,0.0,0.0,0.0,0.92,0
35,E34_I1,1.8192273919361144e-06,6.89166372136062e-06,6.783455704760292e-06,3.6393479016429836e-06,0.85,1
36,E35_I1,1.3592143708936872e-06,0.0,0.0,0.0,0.92,0
37,E36_I1,7.451979489031305e-07,0.0,0.0,0.0,0.9,0
38,E37_I1,6.028997011045385e-07,7.31323767747527e-06,8.80328710633649e-06,3.059544862106313e-06,0.87,3
39,E38_I1,7.144560473212026e-07,0.0,0.0,0.0,0.9,0
40,E39_I1,8.718342101419195e-07,0.0,0.0,0.0,0.87,0
41,E40_I1,6.885561778428151e-07,0.0,0.0,0.0,0.92,0
42,E41_I1,1.3616255972207707e-06,0.0,0.0,0.0,0.88,0
43,E42_I1,5.710831411803243e-07,1.3714130932275922e-05,1.3504096179291405e-05,7.223880704834039e-06,0.95,2
44,E43_I1,1.4862940412522281e-06,6.732356515831903e-06,6.510617905383007e-06,3.4047653095272143e-06,0.87,1
45,E44_I1,1.1897656857964832e-06,0.0,0.0,0.0,0.9,0
46,E45_I1,5.027486359889667e-07,0.0,0.0,0.0,0.93,0
47,E46_I1,1.0534639222807247e-06,0.0,0.0,0.0,0.9,0
48,E47_I1,1.8838839331753076e-06,0.0,0.0,0.0,0.85,0
49,E48_I1,2.094817832317655e-06,0.0,0.0,0.0,0.85,0
50,E49_I1,1.3461272367148444e-06,0.0,0.0,0.0,0.91,0
51,E50_I1,5.796419172085073e-07,0.0,0.0,0.0,0.93,0
52,E51_I1,1.2837960428979114e-06,0.0,0.0,0.0,0.84,0
53,E52_I1,1.3237654939536854e-06,0.0,0.0,0.0,0.89,0
54,E53_I1,1.073764104829249e-06,0.0,0.0,0.0,0.89,0
55,E54_I1,8.44461800764627e-07,0.0,0.0,0.0,0.92,0
56,E55_I1,1.9125774373801513e-06,0.0,0.0,0.0,0.89,0
57,E56_I1,8.400847574385042e-07,0.0,0.0,0.0,0.94,0
58,E57_I1,1.5489776030913227e-06,0.0,0.0,0.0,0.86,0
59,E58_I1,6.246209737599963e-07,0.0,0.0,0.0,0.9,0
60,E59_I1,1.3744387637688785e-06,8.214738286403617e-06,7.732416103198521e-06,4.518119919938915e-06,0.9,1
61,E60_I1,1.8496916608612632e-06,0.0,0.0,0.0,0.86,0
62,E61_I1,1.0876045417513098e-06,0.0,0.0,0.0,0.88,0
63,E62_I1,5.490634313413608e-07,0.0,0.0,0.0,0.92,0
64,E63_I1,4.480091717290871e-07,0.0,0.0,0.0,0.96,0
65,E64_I1,6.769521342261689e-07,0.0,0.0,0.0,0.93,0
66,E65_I1,1.111633514311564e-06,0.0,0.0,0.0,0.88,0
67,E66_I1,1.5850985767087652e-06,0.0,0.0,0.0,0.88,0
68,E67_I1,7.807768869610324e-07,0.0,0.0,0.0,0.94,0
69,E68_I1,1.969284368395647e-06,1.1090754370942754e-05,9.621110361867167e-06,6.576048715368884e-06,0.89,1
70,E69_I1,7.531209148272082e-07,0.0,0.0,0.0,0.91,0
71,E70_I1,1.5608408551260726e-06,0.0,0.0,0.0,0.91,0
72,E71_I1,1.2994017757521729e-06,0.0,0.0,0.0,0.87,0
73,E72_I1,1.4578287750521867e-06,0.0,0.0,0.0,0.88,0
74,E73_I1,1.2785203227961226e-06,0.0,0.0,0.0,0.87,0
75,E74_I1,6.731801993825411e-07,0.0,0.0,0.0,0.92,0
76,E75_I1,1.4102459638317587e-06,0.0,0.0,0.0,0.88,0
77,E76_I1,1.4382104599169426e-06,0.0,0.0,0.0,0.89,0
78,E77_I1,1.158427274723177e-06,0.0,0.0,0.0,0.85,0
79,E78_I1,1.3935974565971082e-06,1.4371989523896424e-05,1.5191181154187677e-05,6.868131868131868e-06,0.84,3
80,E79_I1,1.5812830949723499e-06,0.0,0.0,0.0,0.86,0
81,E80_I1,8.364952572104576e-07,0.0,0.0,0.0,0.89,0
82,E81_I1,1.719906780843278e-06,1.5448288256602587e-05,1.4759311822900607e-05,8.359718695465898e-06,0.87,2
83,E82_I1,1.8359650570069205e-06,8.309633611525748e-06,7.802200282467281e-06,4.586693086018842e-06,0.87,1
84,E83_I1,1.014012422922681e-06,4.698375678003588e-06,5.030034265890252e-06,2.265908946714885e-06,0.88,1
85,E84_I1,3.7539120652030387e-07,0.0,0.0,0.0,0.95,0
86,E85_I1,8.377272922044838e-07,3.803057851018689e-06,4.251042576597615e-06,1.7540536179109923e-06,0.88,1
87,E86_I1,5.965554864793973e-07,0.0,0.0,0.0,0.9,0
88,E87_I1,2.2948783347582527e-06,0.0,0.0,0.0,0.84,0
89,E88_I1,1.5641430268935217e-06,0.0,0.0,0.0,0.84,0
90,E89_I1,6.105395190278093e-07,0.0,0.0,0.0,0.94,0
91,E90_I1,1.2278539734060847e-06,0.0,0.0,0.0,0.88,0
92,E91_I1,7.161108877667818e-07,0.0,0.0,0.0,0.92,0
93,E92_I1,4.268563968767978e-07,8.908455555422642e-06,8.217667920872098e-06,5.006470863591191e-06,0.97,1
94,E93_I1,6.062071537215962e-07,0.0,0.0,0.0,0.92,0
95,E94_I1,1.2892474801713323e-06,0.0,0.0,0.0,0.9,0
96,E95_I1,9.479520428347548e-07,0.0,0.0,0.0,0.89,0
97,E96_I1,1.105382547019011e-06,0.0,0.0,0.0,0.92,0
98,E97_I1,1.9328323312660196e-06,0.0,0.0,0.0,0.89,0
99,E98_I1,1.3937604504316702e-06,0.0,0.0,0.0,0.88,0
100,E99_I1,1.7688575668989988e-06,1.3328286071231242e-05,1.3243113249720152e-05,6.99839037021485e-06,0.85,2
101,E0_I2_P0,,0.0,0.0,0.0,,0
102,E0_I2_P1,,0.0,0.0,0.0,,0
103,E0_I2_P2,,5.409552787998473e-06,5.628303564858319e-06,2.6993504013259204e-06,,1
104,E0_I2_P3,,8.845952355949148e-06,9.511591441497464e-06,4.158038736288867e-06,,2
105,E0_I2_P4,,0.0,0.0,0.0,,0
106,E0_I2_P5,,0.0,0.0,0.0,,0
107,E0_I2_P6,,0.0,0.0,0.0,,0
108,E0_I2_P7,,1.3516453705184592e-05,1.3372784478103449e-05,7.109973515348654e-06,,2
109,E0_I2_P8,,2.8074117282087904e-06,3.309550009608278e-06,1.2125136256218679e-06,,1
110,E0_I2_P9,,0.0,0.0,0.0,,0
111,E0_I2_P10,,0.0,0.0,0.0,,0
112,E0_I2_P11,,0.0,0.0,0.0,,0
113,E0_I2_P12,,8.642809607743283e-06,8.004129633918229e-06,4.788240082357729e-06,,1
114,E0_I2_P13,,0.0,0.0,0.0,,0
115,E0_I2_P14,,0.0,0.0,0.0,,0
116,E0_I2_P15,,0.0,0.0,0.0,,0
117,E0_I2_P16,,0.0,0.0,0.0,,0
118,E0_I2_P17,,0.0,0.0,0.0,,0
119,E0_I2_P18,,0.0,0.0,0.0,,0
120,E0_I2_P19,,0.0,0.0,0.0,,0
121,E0_I2_P20,,0.0,0.0,0.0,,0
122,E0_I2_P21,,3.2200799193494325e-05,3.2302026894580736e-05,1.681226084558947e-05,,5
123,E0_I2_P22,,0.0,0.0,0.0,,0
124,E0_I2_P23,,0.0,0.0,0.0,,0
125,E0_I2_P24,,0.0,0.0,0.0,,0
126,E0_I2_P25,,0.0,0.0,0.0,,0
127,E0_I2_P26,,0.0,0.0,0.0,,0
128,E0_I2_P27,,0.0,0.0,0.0,,0
129,E0_I2_P28,,0.0,0.0,0.0,,0
130,E0_I2_P29,,0.00010796733061073588,0.0001031174566744904,6.130571746552732e-05,,13
131,E0_I2_P30,,0.0,0.0,0.0,,0
132,E0_I2_P31,,0.0,0.0,0.0,,0
133,E0_I2_P32,,5.5918820607486386e-06,5.698028134328739e-06,2.7521938425167163e-06,,1
134,E0_I2_P33,,0.0,0.0,0.0,,0
135,E0_I2_P34,,0.0,0.0,0.0,,0
136,E0_I2_P35,,0.0,0.0,0.0,,0
137,E0_I2_P36,,0.0,0.0,0.0,,0
138,E0_I2_P37,,0.0,0.0,0.0,,0
139,E0_I2_P38,,0.0,0.0,0.0,,0
140,E0_I2_P39,,0.0,0.0,0.0,,0
141,E0_I2_P40,,0.0,0.0,0.0,,0
142,E0_I2_P41,,0.0,0.0,0.0,,0
143,E0_I2_P42,,0.0,0.0,0.0,,0
144,E0_I2_P43,,0.0,0.0,0.0,,0
145,E0_I2_P44,,0.0,0.0,0.0,,0
146,E0_I2_P45,,2.7874432375184573e-05,2.2637774991046252e-05,1.7622698035069167e-05,,2
147,E0_I2_P46,,0.0,0.0,0.0,,0
148,E0_I2_P47,,0.0,0.0,0.0,,0
149,E0_I2_P48,,0.0,0.0,0.0,,0
150,E0_I2_P49,,0.0,0.0,0.0,,0
151,E0_I2_P50,,0.0,0.0,0.0,,0
152,E0_I2_P51,,0.0,0.0,0.0,,0
153,E0_I2_P52,,0.0,0.0,0.0,,0
154,E0_I2_P53,,0.0,0.0,0.0,,0
155,E0_I2_P54,,0.0,0.0,0.0,,0
156,E0_I2_P55,,0.0,0.0,0.0,,0
157,E0_I2_P56,,0.0,0.0,0.0,,0
158,E0_I2_P57,,0.0,0.0,0.0,,0
159,E0_I2_P58,,0.0,0.0,0.0,,0
160,E0_I2_P59,,0.0,0.0,0.0,,0
161,E0_I2_P60,,0.0,0.0,0.0,,0
162,E0_I2_P61,,0.0,0.0,0.0,,0
163,E0_I2_P62,,1.0002948154680454e-05,8.936070314363695e-06,5.780012716027975e-06,,1
164,E0_I2_P63,,0.0,0.0,0.0,,0
