,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,3.0858333333333334,4.378333333333333,4.378333333333333,4.378333333333333,n/a,n/a
1,E0_I1,9.751477947916828e-15,1.1598548289453321e-14,6.371257207459183e-15,1.4351495239077406e-15,0.71,32
2,E1_I1,1.4127989007324316e-14,2.002670445852488e-14,1.099624384257071e-14,2.4797781434922917e-15,0.61,55
3,E2_I1,9.028582678239266e-15,1.5719707618459024e-14,8.617232355424616e-15,1.9445369906824e-15,0.73,43
4,E3_I1,8.956174308601215e-15,1.9939252685076093e-14,1.0952142594208165e-14,2.4671066425608446e-15,0.73,55
5,E4_I1,1.1436075338322017e-14,9.83028708832068e-15,5.394497705667359e-15,1.2162938916900144e-15,0.67,27
6,E5_I1,8.980050867471709e-15,2.1470442925890757e-14,1.1785535313535978e-14,2.6571256908594393e-15,0.73,59
7,E6_I1,1.0977215488958292e-14,9.423129890272825e-15,5.177562242301461e-15,1.1663219278005556e-15,0.68,26
8,E7_I1,9.385304224157458e-15,1.783663985082953e-14,9.792007055648714e-15,2.2079210092119828e-15,0.72,49
9,E8_I1,8.172916249226315e-15,1.2661585778947708e-14,6.960117551515121e-15,1.567270569983862e-15,0.75,35
10,E9_I1,1.1903622949109536e-14,1.3511468593456345e-14,7.413216600828448e-15,1.6727426282951282e-15,0.66,37
11,E10_I1,1.0651886087448599e-14,1.1707994249101416e-14,6.420532162666276e-15,1.4493157596483712e-15,0.69,32
12,E11_I1,1.3262086004271668e-14,1.6823922501901213e-14,9.23004119790082e-15,2.0835428865193558e-15,0.63,46
13,E12_I1,9.830491014068235e-15,1.9750260908618313e-14,1.083462960367169e-14,2.445715041628441e-15,0.71,54
14,E13_I1,9.046181143013789e-15,1.5615771798553682e-13,8.563003432471362e-14,1.9339139074671588e-14,0.73,426
15,E14_I1,1.0143880430409425e-14,1.5568237047987392e-14,8.553960323793338e-15,1.9263530584760253e-15,0.7,43
16,E15_I1,1.0650267684451883e-14,9.868505196752582e-15,5.412452057779544e-15,1.2214579029723178e-15,0.69,27
