,Experiments,LDM,SIM,ASM,TDR,p0,Tt
0,time,2.620833333333333,4.5744444444444445,4.5744444444444445,4.5744444444444445,n/a,n/a
1,E0_I1,inf,5.480007147715656e-07,1.0205658621968082e-06,1.209650116868834e-07,0.0,44
2,E1_I1,inf,6.226341480736852e-07,1.158803732989032e-06,1.3889044197086906e-07,0.0,46
3,E2_I1,inf,6.110181062045041e-07,1.1383526884497456e-06,1.3458987626202468e-07,0.0,50
4,E3_I1,inf,5.231370557536559e-07,9.738252493613302e-07,1.1579395271024395e-07,0.0,41
5,E4_I1,inf,5.219732609299731e-07,9.704823179955045e-07,1.1653593558077486e-07,0.0,38
6,E5_I1,inf,6.876094849291334e-07,1.279043309605287e-06,1.5448170494892278e-07,0.0,48
7,E6_I1,inf,6.162040216386669e-07,1.147853665629105e-06,1.338336225334523e-07,0.0,56
8,E7_I1,inf,6.295658976076974e-07,1.1742137121856583e-06,1.3798161029391565e-07,0.0,54
9,E8_I1,inf,5.570088464377157e-07,1.036037428052843e-06,1.24228149298723e-07,0.0,41
10,E9_I1,inf,5.723341714681675e-07,1.0660898214448097e-06,1.2254203729056876e-07,0.0,58
11,E10_I1,inf,5.256025116089642e-07,9.767324033961804e-07,1.1697495145179592e-07,0.0,39
12,E11_I1,inf,4.373934231913549e-07,8.152641167814712e-07,9.530229337638064e-08,0.0,39
13,E12_I1,inf,5.603237425860333e-07,1.045211408977273e-06,1.2250969434525063e-07,0.0,49
14,E13_I1,inf,5.988564007852298e-07,1.117753358470553e-06,1.30492517037103e-07,0.0,54
15,E14_I1,inf,6.839571018201488e-07,1.2789476369670846e-06,1.4744845607458885e-07,0.0,68
16,E15_I1,inf,4.6314582540702174e-07,8.633048140315579e-07,1.0101485385976599e-07,0.0,41
17,E16_I1,inf,4.259547712508e-07,7.913748236384036e-07,9.50231624782541e-08,0.0,31
18,E17_I1,inf,4.427338330614514e-07,8.228550247826163e-07,9.848780922374146e-08,0.0,33
19,E18_I1,inf,4.6280637992700174e-07,8.617277288623467e-07,1.0182992693067645e-07,0.0,38
