"","Strain","Cell.type","Time","N","CFUs","SD","SE"
"1","BK450","D",0,2,7550000,3040559.15910215,2150000
"2","BK450","D",2,2,18150000,11525840.5333407,8150000
"3","BK450","D",3,2,81500000,13435028.8425444,9500000
"4","BK450","D",4,2,1.26e+08,22627416.9979695,1.6e+07
"5","BK450","D",5,2,2.04e+08,2828427.12474619,2e+06
"6","BK451","R",0,2,9750000,3040559.15910215,2150000
"7","BK451","R",2,2,57450000,21142492.7574778,14950000
"8","BK451","R",3,2,2.56e+08,18384776.3108502,1.3e+07
"9","BK451","R",4,2,4.15e+08,24041630.5603426,1.7e+07
"10","BK451","R",5,2,5.95e+08,131521861.300698,9.3e+07
